Belarusian	Macedonian	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ɛ	1.0
j	j	1.0
k	k	1.0
kʲ	o_k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
nʲ	n	1.0
p	p	1.0
pʲ	p	1.0
s	s	1.0
sʲ	s	1.0
t	t	1.0
v	v	1.0
vʲ	v	1.0
x	k	1.0
z	z	1.0
ɣ	ɡ	1.0
ɫ	ɫ	1.0
ʂ	ʃ	1.0
ʌ	-	1.0
ʐ	ʒ	1.0
ʣʲ	d	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈu	ˈa	1.0
a	ˈa	0.051
a	a	0.141
r	ɛ_#>	0.081
r	r	0.741
ˈa	a	0.861
w	f	0.252
zʲ	ʣ	0.312
æ	ˈɛ	0.712
ʦʲ	-	0.062
ˈɨ	i	0.292
a	ɛ	0.133
a	o	0.23
lʲ	ɫ	0.3
ˈi	i	0.543
ˈɛ	-	0.793
a	ˈo	0.264
a	ˈɛ	0.135
ˈe	ɛ	0.195
ˈe	ˈɛ	0.805
ˈo	ˈa	0.15
ˈæ	ɛ	0.135
ˈæ	ˈɛ	0.865
ˈo	ˈo	0.646
lʲ	l	0.7
ˈi	ˈi	0.457
ˈo	-	0.077
ˈo	o	0.087
ˈɛ	ˈɛ	0.207
r	ˈr̩	0.178
w	ɫ	0.748
zʲ	z	0.688
æ	ɛ	0.288
ʦʲ	t	0.938
ˈɨ	ˈi	0.708
ˈa	ˈa	0.139
