Luxembourgish	Limburgish	probability
b	b	1.0
d	d	0.929
d	-	0.068
d_ɐ	ʀ	1.0
e	ɪ	0.492
f	v	0.573
f	p	0.23
f	f	0.16
f	ˈv	0.034
h	ɦ	1.0
j	j	1.0
k	k	0.704
k	-	0.12
k	ŋ	0.089
k	x	0.068
kʰ	k	1.0
l	l	0.89
l	j	0.059
l	-	0.03
l	w	0.03
m	m	0.961
m	-	0.044
n	n	0.567
n	-	0.433
p	p	1.0
s	t	0.514
s	s	0.475
s	-	0.031
t	t	0.754
t	-	0.198
t	j	0.051
tʰ	t	1.0
v	β	0.776
v	v	0.206
w	β	1.0
z	z	1.0
ŋ	ŋ	0.757
ŋ	n	0.16
ŋ	ɣ	0.071
ɐ	ʀ	0.538
ɐ	ə_ʀ	0.308
ɐ	ʀ_ə	0.116
ɐ	ə	0.037
ɕ	x	0.539
ɕ	k	0.376
ɕ	ŋ	0.077
ɕ_t	x	1.0
ə	ə	0.811
ə	-	0.16
ə	ɪ	0.029
ɡ	ɣ	0.937
ɡ	-	0.061
ʀ	ʀ	0.96
ʀ	-	0.04
ʃ	s	0.664
ʃ	z	0.141
ʃ	ʃ	0.123
ʃ	ʦ	0.04
ʃ	x	0.035
ʑ	ɣ	1.0
ʦ	t	1.0
ˈaː	ˈɑ	0.31
ˈaː	ˈaː	0.271
ˈaː	ˈɔː	0.148
ˈaː	ˈʊː	0.118
ˈaː	ˈɔu̯	0.05
ˈe	ˈœ	0.251
ˈe	ˈɪː	0.19
ˈe	ˈøː	0.165
ˈe	ˈeː	0.116
ˈe	ˈi	0.107
ˈeː	ˈɛː	0.538
ˈeː	ˈɛːi̯	0.15
ˈeː	ˈeː	0.099
ˈeː	ˈi	0.086
ˈeː	ˈœi̯	0.064
ˈi	ˈøː	0.391
ˈi	ˈeː	0.314
ˈi	ˈi	0.18
ˈi	ˈiː	0.083
ˈiə̯	ˈeː	0.734
ˈiə̯	ˈæ	0.232
ˈiː	ˈeː	0.479
ˈiː	-	0.123
ˈiː	ˈɛː	0.123
ˈiː	ˈæ	0.094
ˈiː	ˈɔ	0.068
ˈo	ˈɔ	0.41
ˈo	ˈʊː	0.35
ˈo	ˈɔː	0.231
ˈoː	ˈɒː	0.614
ˈoː	ˈʊː	0.135
ˈoː	ˈɛ	0.135
ˈoː	ˈaː	0.101
ˈu	ˈoː	0.337
ˈu	ˈɔ	0.143
ˈu	ˈʊː	0.143
ˈu	ˈœ	0.143
ˈu	ˈɒː	0.104
ˈuə̯	ˈɒː	0.407
ˈuə̯	ˈɑ	0.407
ˈuə̯	ˈoː	0.101
ˈuː	ˈœː	0.561
ˈuː	ˈʊː	0.182
ˈuː	ˈɔ	0.121
ˈæ	ˈæ	0.392
ˈæ	ˈaː	0.221
ˈæ	ˈɑ	0.221
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.38
ˈæːɪ̯	ˈɛːi̯	0.141
ˈæːɪ̯	ˈɪ	0.141
ˈæːɪ̯	ˈɛi̯	0.099
ˈæːɪ̯	ˈɛ	0.099
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈɪː	0.274
ˈɑ	ˈɑː	0.255
ˈɑ	ˈaː	0.23
ˈɑ	ˈɒː	0.052
ˈɑ	ɪː	0.051
ˈɑɪ̯	ˈœi̯	0.341
ˈɑɪ̯	ˈyː	0.141
ˈɑɪ̯	ʀ	0.141
ˈɑɪ̯	ˈøː	0.096
ˈɑɪ̯	ˈʏː	0.096
ˈɔ	ˈuː	0.254
ˈɔ	ˈʊ	0.125
ˈɔ	ˈʊː	0.125
ˈə	ˈɪ	0.194
ˈə	ˈi	0.133
ˈə	ˈʏː	0.133
ˈə	ˈɛː	0.133
ˈə	ə	0.076
ˈəɪ̯	ˈeː	0.354
ˈəɪ̯	ˈi	0.247
ˈəɪ̯	ˈu	0.12
ˈəɪ̯	ˈyː	0.091
ˈəɪ̯	ˈøː	0.079
ˈəʊ̯	ˈu	0.527
ˈəʊ̯	ˈɒː	0.148
ˈəʊ̯	ˈoː	0.104
ˈəʊ̯	ˈuː	0.104
ˈəʊ̯	ˈʊː	0.076
ˈɛ	ˈeː	0.461
ˈɛ	ˈɛ	0.304
ˈɛ	ˈɛː	0.172
ˈɛː	ˈeː	0.608
ˈɛː	ˈaː	0.172
ˈɛː	ˈɑ	0.105
ˈʊ	ˈʊː	0.758
ˈʊ	ˈøː	0.182
ˈʊɪ̯	ˈɔ	0.242
χ	x	0.605
χ	k	0.359
