Luxembourgish	Limburgish	probability
b	b	1.0
d	d	0.834
d	-	0.166
e	ɪ	1.0
f	v	0.574
f	p	0.272
f	f	0.134
h	ɦ	1.0
j	j	1.0
k	k	0.621
k	-	0.187
k	ŋ	0.115
k	x	0.077
kʰ	k	0.978
l	l	0.891
l	-	0.062
m	m	0.915
m	-	0.085
n	n	0.835
n	-	0.165
p	p	0.948
p	t	0.052
s	t	0.55
s	s	0.433
t	t	0.875
t	j	0.066
t	-	0.059
tʰ	t	1.0
v	β	0.753
v	v	0.247
w	β	1.0
z	z	1.0
ŋ	ŋ	0.731
ŋ	n	0.196
ŋ	ɣ	0.073
ɐ	ʀ	0.586
ɐ	ə_ʀ	0.231
ɐ	ʀ_ə	0.123
ɕ	x	0.623
ɕ	k	0.332
ə	ə	0.876
ə	-	0.078
ɡ	ɣ	0.981
ʀ	ʀ	1.0
ʃ	s	0.658
ʃ	ʃ	0.202
ʃ	z	0.113
ʑ	ɣ	1.0
ʦ	t	1.0
ˈaː	ˈɑ	0.243
ˈaː	ˈaː	0.192
ˈaː	ˈʊː	0.172
ˈaː	ˈɔː	0.157
ˈaː	ˈæ	0.069
ˈaː	ˈæː_ʀ	0.066
ˈaː	ˈɔu̯	0.062
ˈe	ˈɪː	0.287
ˈe	ˈøː	0.25
ˈe	ˈeː	0.16
ˈe	ˈi	0.156
ˈe	ˈœ	0.104
ˈeː	ˈɛː	0.533
ˈeː	ˈɛːi̯	0.182
ˈeː	ˈœi̯	0.09
ˈeː	ˈeː	0.085
ˈeː	ˈi	0.084
ˈi	ˈøː	0.392
ˈi	ˈeː	0.349
ˈi	ˈiː	0.14
ˈi	ˈi	0.118
ˈiə̯	ˈeː	0.653
ˈiə̯	ˈæ	0.347
ˈiː	ˈeː	0.471
ˈiː	ˈɛː	0.15
ˈiː	ˈi	0.122
ˈiː	ˈæ	0.112
ˈiː	ˈɔ	0.065
ˈo	ˈʊː	0.447
ˈo	ˈɔ	0.323
ˈo	ˈɔː	0.161
ˈo	-	0.069
ˈoː	ˈɒː	0.562
ˈoː	ˈaː	0.146
ˈoː	ˈɛ	0.146
ˈoː	ˈʊː	0.146
ˈu	ˈoː	0.268
ˈu	ˈœ	0.227
ˈu	ˈɔ	0.227
ˈu	ˈɒː	0.146
ˈu	ˈʊː	0.069
ˈu	ˈuː	0.065
ˈuə̯	ˈɑ	0.458
ˈuə̯	ˈɒː	0.458
ˈuə̯	ˈoː	0.083
ˈuː	ˈœː	0.691
ˈuː	ˈʊː	0.203
ˈuː	ˈɔ	0.107
ˈæ	ˈæ	0.404
ˈæ	j	0.298
ˈæ	ˈɑ	0.298
ˈæɪ̯	ˈiː	1.0
ˈæːɪ̯	ˈiː	0.442
ˈæːɪ̯	ˈɪ	0.151
ˈæːɪ̯	ˈɛːi̯	0.147
ˈæːɪ̯	ˈœi̯	0.093
ˈæːɪ̯	ˈɛ	0.093
ˈæːɪ̯	ˈɛi̯	0.074
ˈæːʊ̯	ˈuː	1.0
ˈɑ	ˈɪː	0.338
ˈɑ	ˈɑː	0.289
ˈɑ	ˈaː	0.17
ˈɑ	ˈʏ	0.062
ˈɑ	ɪː	0.062
ˈɑɪ̯	ˈœi̯	0.405
ˈɑɪ̯	ˈeː	0.193
ˈɑɪ̯	ˈyː	0.159
ˈɑɪ̯	ˈøː	0.08
ˈɑɪ̯	ˈʏː	0.08
ˈɔ	ˈuː	0.465
ˈɔ	ˈʊ	0.405
ˈɔ	ˈʊː	0.129
ˈə	ˈɪ	0.286
ˈə	ˈʏː	0.191
ˈə	ˈiː	0.096
ˈə	ˈɛː	0.094
ˈə	ˈɪː	0.066
ˈə	ˈʏ	0.066
ˈə	ˈi	0.064
ˈəɪ̯	ˈeː	0.347
ˈəɪ̯	ˈi	0.151
ˈəɪ̯	ˈu	0.141
ˈəɪ̯	ˈɒː	0.129
ˈəɪ̯	-	0.112
ˈəɪ̯	ˈøː	0.062
ˈəɪ̯	j	0.052
ˈəʊ̯	ˈu	0.521
ˈəʊ̯	ˈɒː	0.283
ˈəʊ̯	ˈoː	0.067
ˈəʊ̯	ˈuː	0.067
ˈəʊ̯	ˈʊː	0.063
ˈɛ	ˈeː	0.44
ˈɛ	ˈɛ	0.355
ˈɛ	ˈɛː	0.205
ˈɛː	ˈeː	0.687
ˈɛː	ˈaː	0.197
ˈɛː	ˈɑ	0.116
ˈʊ	ˈʊː	0.835
ˈʊ	ˈøː	0.165
ˈʊɪ̯	ˈɔ	1.0
χ	x	0.734
χ	k	0.266
