Zeelandic	Mainland North Frisian	probability
ˈɛː_t	ˈɒː_d	1.0
ˈɒː_ɫ	l	1.0
ˈæi̯	ˈiː	1.0
ˈæ_ɾ	ʀ	1.0
ˈuːə̯	-	1.0
ˈoː_v	ˈɔu̯	1.0
ˈiːə̯	ˈiː	1.0
ˈiː_x	w	1.0
ˈiː	ˈiː	1.0
ʋ	v	1.0
ɫ_ə	l	1.0
ɪ	i	1.0
ə_ɫ	ə_l	1.0
ŋ	ŋ	1.0
w	-	1.0
v	f	1.0
s_x	ʃ	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
j	j	1.0
iː	ɛi̯	1.0
i	i	1.0
b	b	1.0
ɾ	ʀ	0.932
z	s	0.866
ɫ	l	0.853
v̥	v̥	0.806
t	t	0.772
ˈu	ˈʊ	0.755
k	k	0.74
v_ə	v_ə	0.73
ˈøː	-	0.726
n	n	0.724
ˈʏ	-	0.662
s	s	0.659
ə	ə	0.658
ˈɪə̯	ˈiː	0.578
d	d	0.571
ˈuː	ˈœ	0.525
ˈɑu̯	ˈœ	0.516
ˈɑu̯	-	0.484
ˈuː	ˈɛi̯	0.475
ˈyː	ˈʏ	0.473
ˈi	ˈi	0.465
d̥	d̥	0.464
x	j	0.443
ˈæ	ˈa	0.442
ˈeː	ˈɛː	0.434
ˈɪə̯	-	0.422
ˈɑ	-	0.415
x	x	0.407
ˈʊə̯	ˈuː	0.398
ˈeː	-	0.377
ˈɪ	-	0.366
ˈæ	ˈeː	0.347
ə	-	0.342
ˈʏ	ˈʊ	0.338
d	t	0.337
ˈɪ	ˈi	0.331
ˈɔ	ˈʊ	0.314
ˈɛː	-	0.301
s	ʃ	0.278
ˈøː	ˈaː	0.274
v_ə	v̥	0.27
ˈyː	-	0.266
ˈyː	ˈœː	0.26
k	-	0.26
ˈu	-	0.245
ˈɔ	ˈʏ	0.237
ˈɑ	ˈœ	0.234
ˈɔ	ˈa	0.231
ˈʊə̯	ˈɔ	0.23
ˈɛː	ˈɛi̯	0.226
ˈæ	-	0.211
d̥	z̥	0.195
d̥	dʲ	0.195
v̥	ə_n	0.194
ˈeː	ˈaː	0.189
ˈi	ˈɛ	0.181
ˈi	ˈai̯	0.181
ˈɛː	ˈeː	0.178
ˈɪ	ˈa	0.177
ˈi	-	0.173
ˈʊə̯	ˈyː	0.17
n	nʲ	0.166
ˈɛː	ˈɔu̯	0.164
x	d	0.15
ˈɔ	-	0.149
d̥	lʲ	0.146
z	-	0.134
ˈɛː	ˈɛː	0.13
ˈɪ	ˈʊ	0.126
ˈʊə̯	ˈiː	0.118
ˈɑ	ˈa	0.114
n	-	0.11
t	tʲ	0.108
ˈɑ	ˈɒ	0.093
d	tʲ	0.092
ˈɑ	ˈɔː	0.088
ɫ	lʲ	0.086
ˈʊə̯	-	0.083
ˈɔ	ˈɔː	0.069
ɾ	ˈɔ_ʀ	0.068
s	ʀ_s	0.063
ɫ	-	0.061
t	z	0.06
t	-	0.06
ˈɑ	ˈeː	0.056
