Danish	German	probability
d̥	tʰ	1.0
f	f	1.0
h	h	1.0
i	ɪ	1.0
jˀ	ɡ	1.0
kʰ	kʰ	1.0
m	m	1.0
mˀ	m	1.0
n	n	1.0
p	f	1.0
pʰ	p͡f	1.0
wˀ	-	1.0
ŋˀ	ŋ	1.0
ʁ	ʁ	1.0
ʋ	v	1.0
ʌ	ɐ	1.0
ˈi	ˈɪ	1.0
ˈiː	ˈaɪ̯	1.0
ˈo	ˈɔ	1.0
ˈoˀ	ˈuː	1.0
ˈuˀ	ˈaʊ̯	1.0
ˈuː	ˈaʊ̯	1.0
ˈyː	ˈiː	1.0
ˈæ	ˈɛ	1.0
ˈø	ˈʏ	1.0
ˈœ	ˈʏ	1.0
ˈɑˀ	ˈa_ɐ	1.0
ˈɑː	ˈaː	1.0
ˈɔ	ˈʊ	1.0
ˈɔː	ˈoː	1.0
ˈɛˀ	ˈaɪ̯	1.0
ˈɛː	ˈaː	1.0
j	ɡ̊	0.211
k	k	0.821
ɐ	d_ɐ	0.121
ə	ɡ_ə	0.051
ʦʰ	d	0.851
ˈœˀ	ˈoː	0.51
ˈɑ	ˈa	0.891
b̥	b	0.82
k	ŋ_k	0.102
l	l	0.982
s	s	0.252
ˈa	ˈaː	0.142
ˈyˀ	ˈiː	0.632
ˈʌ	ˈɔ	0.22
t	ʦ	0.243
w	ɡ̊	0.153
w	ɡ	0.273
ɐ	ɐ	0.733
ɐˀ	ɐ_t	0.163
ˈa	ɐ_#>	0.063
ˈa	ə_#>	0.103
ˈa	ˈa	0.463
ˈe	ˈɛ	0.253
ˈeˀ	ˈaɪ̯	0.713
ˈiˀ	ˈiː	0.093
ˈɔˀ	ˈa	0.133
lˀ	l	0.634
s	z	0.374
t	x_t	0.054
t	ç_t	0.064
ə	ə	0.184
ˈʌ	ˈaʊ̯	0.484
j	ç	0.165
j	h	0.185
nˀ	-	0.075
s	ʃ	0.355
ŋ	-	0.145
ŋ	ŋ	0.855
ə	ə_n	0.15
ə	-	0.205
ˈa	ç_#>	0.055
ˈu	v_ˈɔ	0.255
ˈøː	ˈøː	0.155
ˈøː	ˈuː	0.845
lˀ	l_d̥	0.366
ð̞ˠ	-	0.096
ð̞ˠ	t	0.376
ɡ̊	ɡ	0.736
ˈa	n_#>	0.076
ˈɔˀ	ˈeː	0.306
ˈɔˀ	ˈaː	0.56
ˈʌ	ˈa	0.296
k	ç	0.077
nˀ	n	0.587
w	x	0.07
w	b	0.457
ɐˀ	ɐ	0.837
ɡ̊	k	0.217
ˈe	ˈɪ	0.747
ˈeˀ	ˈeː	0.287
ˈu	ˈʊ	0.267
ˈɛ	ˈa	0.387
ˈɛ	ˈɛ	0.497
b̥	f	0.18
j	-	0.438
nˀ	n_d̥	0.338
ð̞ˠ	s	0.528
ɐ	t_ɐ	0.08
ˈiˀ	ˈɪ	0.128
ˈu	ˈɔ	0.478
ˈyˀ	ˈɔʏ̯	0.368
t	t	0.639
ə	n	0.369
ʦʰ	ʦ	0.149
ˈiˀ	ˈaɪ̯	0.779
ˈœˀ	ˈaʊ̯	0.49
ˈɑ	ˈɪ	0.109
ˈɛ	ˈaɪ̯	0.109
