Dutch	Bavarian	probability
χ_ə	ŋ	1.0
χ_t	x_d̥	1.0
ˈɑu̯	ˈo_j	1.0
ˈyː_ɾ	ˈai̯_a	1.0
ʋ	ʋ	1.0
ɾ_ə	ɐ	1.0
ɫ_ˈɪ	l	1.0
ɫ_#>	j_#>	1.0
ɪ	-	1.0
ɦ	h	1.0
ə_ɾ	a	1.0
ə_ɫ_#>	l_#>	1.0
ə_v̥	f_ə	1.0
ə_n	n	1.0
z̥	s	1.0
w	-	1.0
v̥_#>	b̥_#>	1.0
v_ə_n_#>	m_#>	1.0
t_ə	s	1.0
s_χ	ʃ	1.0
s_t	ʃ_d̥	1.0
p_ə	f_a	1.0
p_#>	f_#>	1.0
p	b̥͡v̥	1.0
n_#>	#>	1.0
m	m	1.0
k_ə	ɡ̊_a	1.0
k_#>	#>	1.0
j	j	1.0
d̥	d̥	1.0
d_ˈɔ	d̥_ˈo	1.0
d_ɾ	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
<#_ˈɪ	<#_ˈi	1.0
<#_ˈɛi̯	<#_ˈoɐ̯	1.0
<#_ɾ	<#_r	1.0
<#_z	<#_s	1.0
<#_t	<#_ʦ	1.0
<#_p	<#_b̥͡v̥	1.0
<#_n	<#_n	1.0
#>	n_#>	1.0
v	f	0.926
n	n	0.896
ˈɛi̯	ˈai̯	0.833
χ	ɡ̊	0.808
ə	a	0.786
ˈœy̯	ˈau̯	0.778
ˈɪ	ˈi	0.75
d_ə	d̥	0.75
s	ʃ	0.692
ɫ	l	0.667
ŋ	ŋ	0.667
z	ʃ	0.667
ˈɔ	ˈu	0.647
ˈu	ˈuɐ̯	0.647
ˈi	ˈiɐ̯	0.588
ˈʏ	ˈu	0.571
t	s	0.565
ˈɛ	ˈe	0.5
v̥	β	0.5
v̥	f	0.5
k	kʰ	0.5
ɾ	ɐ	0.474
ˈʏ	-	0.429
ˈeː	ˈoɐ̯	0.385
ˈɔ	ˈo	0.353
ɾ	r	0.342
ɫ	j	0.333
ŋ	ŋ_ɡ̊	0.333
z	s	0.333
ˈeː	ˈeː	0.308
k	x	0.308
ˈɑ	ˈɑ	0.286
t	ʦ	0.261
ˈɑ	ˈɒː	0.25
ˈaː	ˈɒː	0.25
ˈaː	-	0.25
d_ə	d̥_n	0.25
ˈɛ	ˈi	0.222
ˈœy̯	ˈai̯	0.222
ˈɑ	ˈo	0.214
ə	-	0.214
ˈoː	ˈo	0.2
ˈoː	ˈaː	0.2
ˈaː	ˈɑː	0.2
ˈaː	ˈe	0.2
ˈeː	ˈe	0.192
ˈi	ˈai̯	0.176
t	d̥	0.174
ˈɛi̯	-	0.167
ˈɛ	ˈeː	0.167
ˈoː	ˈou̯	0.167
s	ɡ̊_s	0.154
s	s	0.154
ˈoː	ˈu	0.133
ˈɪ	ˈiː	0.125
ˈɪ	-	0.125
ˈu	ˈu	0.118
ˈu	ˈiɐ̯	0.118
ˈu	-	0.118
ˈi	ˈeː	0.118
ˈi	-	0.118
χ	ɡ̊_a	0.115
ˈeː	ˈai̯	0.115
k	ɡ̊	0.115
ˈɛ	-	0.111
ˈɑ	ˈa	0.107
ˈoː	ˈoː	0.1
ˈoː	ˈi	0.1
ˈoː	ˈeː	0.1
ˈaː	ˈɑ	0.1
ɾ	-	0.079
χ	x	0.077
k	ç	0.077
v	β	0.074
ˈɑ	ˈɑː	0.071
ˈɑ	ˈe	0.071
n	ŋ	0.062
ɾ	d̥_a	0.053
ɾ	a	0.053
