Wymysorys	Middle English	probability
ˈɪ	ˈiː	1.0
ˈɑ_n	ˈoː	1.0
ˈai̯	ˈiː	1.0
ʧ	ʃ	1.0
ʦ	t	1.0
ɪ	-	1.0
ɛ_r	r	1.0
ɑ	eː	1.0
u	-	1.0
p	p	1.0
m	m	1.0
k	k	1.0
h	h	1.0
d̥	d	1.0
d_ɛ	d_ə	1.0
c	k	1.0
b	b	1.0
s	t	0.935
z	s	0.895
ɡ	ɡ	0.86
ɛ	ə	0.854
r	r	0.805
f	f	0.779
n	n	0.753
a	ə_n	0.735
ˈu	ˈu	0.727
ɟ	ə	0.696
v	w	0.672
ˈɛ	-	0.667
ŋ	ŋ	0.667
ə	ə	0.663
t	d	0.634
w	l	0.629
ˈa	ˈɔː	0.606
ɡ̊	ɡ	0.604
ˈi̯ø	ˈa_r	0.575
ʃ	s	0.558
j	ˈɛː	0.551
ˈɘ̟	ˈi	0.531
l	ɫ	0.522
ˈei̯	-	0.506
x	k	0.481
ˈi	ˈeː	0.48
l	l	0.478
d	θ	0.47
ˈɔ	ˈaː	0.465
j	j	0.449
ˈʏ	ˈoː	0.445
ʃ	ʃ	0.442
ˈɑi̯	ˈuː	0.432
ˈi̯ø	ˈæi̯	0.425
ɡ̊	ə	0.396
ˈø	ˈoː	0.38
t	t	0.366
x	ç	0.358
ˈʏ	-	0.357
ə	-	0.337
ˈɛ	ˈɛ	0.333
ŋ	-	0.333
ˈø	ˈɛː	0.323
d	ð	0.315
ɟ	ɡ	0.304
ˈɔ	ˈa	0.302
ˈi	-	0.302
ˈø	-	0.297
ˈei̯	ˈɔː	0.289
ˈɘ̟	ˈiː	0.286
ˈɑ	ˈɔː	0.283
w	ɫ	0.26
ˈɔ	-	0.233
ˈɑi̯	ˈiː	0.228
ˈɑi̯	ˈeː	0.228
v	v	0.225
f	p	0.221
d	d	0.215
ˈei̯	ˈɔu̯	0.204
ˈa	ˈæi̯	0.2
ˈʏ	ˈu_r	0.198
ˈɑ	-	0.163
x	x	0.161
ɛ	r	0.146
ˈa	ˈi	0.142
ˈɑ	ˈa	0.141
ˈɘ̟	-	0.14
ɡ	j	0.14
ˈi	ˈoː	0.129
ˈu	-	0.123
n	n_ə	0.12
ˈɑ	ˈi	0.119
a	ə	0.118
ˈɑi̯	-	0.111
w	-	0.11
z	-	0.105
v	-	0.103
ˈɑ	ˈɛ_r	0.096
ˈu	ˈɛː	0.096
ˈɑ	ˈɛ	0.093
ˈi	ˈiː	0.09
a	n	0.088
r	ə	0.077
n	-	0.075
s	s	0.065
ˈɑ	ˈɛː	0.064
r	r_ə	0.064
a	-	0.059
ˈu	ˈɔ	0.054
r	-	0.054
ˈa	ɛ	0.052
n	v_ə_n	0.052
