Galician	Romanian	probability
a	a	0.265
a	ˈa	0.257
a	-	0.219
a	ə	0.12
a	o	0.055
b	v	0.46
b	b	0.44
b	-	0.08
d	d	0.619
d	z	0.31
d	-	0.066
e	-	0.53
e	e	0.167
e	i	0.099
e	o̯ˈa	0.065
e	u	0.058
e	ə	0.051
f	f	1.0
i	i	0.287
i	-	0.171
i	e	0.129
i	j	0.129
i	ə	0.129
i	ˈi	0.129
j	p	0.467
j	-	0.132
j	w	0.107
j	l	0.098
j	e	0.087
j	j	0.083
j_ʃ	ʃ	1.0
k	k	0.817
k	ʧ	0.064
k	-	0.064
k_ʊ	k	1.0
l	l	0.645
l	r_e	0.112
l	r	0.103
l	-	0.095
l_ʊ	l	1.0
m	m	0.895
m	-	0.103
n	n	0.924
n	-	0.054
o	u	0.455
o	-	0.33
o	o̯ˈa	0.084
o	o	0.055
o	ə	0.05
p	p	0.878
p	p_j	0.111
r	r	0.907
r	m	0.091
s	s	0.561
s	-	0.239
s	ʃ	0.128
s_ʊ	s	1.0
s_ˈo	ˈo	1.0
t	t	0.862
t	ʦ	0.076
t_ʊ	t	1.0
u	o	0.5
u	u	0.5
v	v	0.5
v	n	0.295
v	z	0.06
w	-	0.324
w	u	0.178
w	j	0.117
w	l	0.117
w	r	0.093
w	w	0.079
w	z	0.071
w_t	j	1.0
ð	t	0.823
ð	d	0.067
ð	ʃ	0.062
ð	ʦʲ	0.062
ð_ʊ	t	1.0
ŋ	n_e	0.366
ŋ	-	0.25
ŋ	n	0.239
ŋ	m	0.073
ŋ	w	0.055
ɐ	ə	0.67
ɐ	e	0.183
ɐ	-	0.092
ɡ	ɡ	0.435
ɡ	b	0.152
ɡ	ʤ	0.152
ɡ	-	0.115
ɡ	ʧʲ	0.115
ɣ	k	0.689
ɣ	ɡ	0.196
ɣ	p	0.098
ɣ_ʊ	k	1.0
ɪ	e	0.75
ɪ	-	0.109
ɪ	ə	0.07
ɲ	n	0.583
ɲ	j	0.155
ɲ	m_n	0.155
ɲ	ŋ	0.053
ɲ_ʊ	n	1.0
ɾ	r	0.519
ɾ	r_e	0.355
ɾ	-	0.109
ɾ_ʊ	r	1.0
ʃ	ʒ	0.357
ʃ	ʤ	0.318
ʃ	s	0.217
ʃ	b	0.1
ʊ	-	0.636
ʊ	e	0.122
ʊ	ə	0.096
ʊ	u	0.09
ʎ	-	0.397
ʎ	j	0.254
ʎ	k	0.193
ʎ	n	0.111
ʧ	p_l	0.407
ʧ	k	0.301
ʧ	f_l	0.262
ˈa	ˈa	0.792
ˈa	ˈɨ	0.114
ˈe	ˈe	0.319
ˈe	ˈi	0.233
ˈe	e̯ˈa	0.101
ˈe	ˈa	0.074
ˈe	ˈə	0.057
ˈe	t_e	0.053
ˈi	ˈi	0.722
ˈi	e	0.093
ˈi	-	0.07
ˈo	ˈu	0.452
ˈo	ˈo	0.229
ˈo	o̯ˈa	0.161
ˈo	ˈa	0.074
ˈo	o̯ˈa_m	0.052
ˈu	ˈu	0.756
ˈu	ˈo	0.155
ˈu	-	0.076
ˈɑ	ˈɨ_j	0.339
ˈɑ	ˈɨ	0.295
ˈɑ	ˈa	0.174
ˈɑ	-	0.097
ˈɔ	ˈo	0.637
ˈɔ	o̯ˈa	0.199
ˈɔ	ˈu	0.16
ˈɛ	ˈe	0.328
ˈɛ	ˈa	0.261
ˈɛ	j_ˈe	0.172
ˈɛ	e̯ˈa	0.097
ˈɛ	ˈi	0.063
ˈɛ	j_ˈa	0.061
β	-	0.372
β	b	0.269
β	p	0.269
β	w	0.057
β_ʊ	w	1.0
β_ˈa	ˈa	1.0
θ	ʧ	0.674
θ	k	0.089
θ	ʃ	0.089
θ	ʦ	0.089
θ	s	0.053
θ_ʊ	ʦ	1.0
