Gothic	Saterland Frisian	probability
a	ə	0.681
a	-	0.298
a	ɪ	0.037
aː	ə	0.508
b	b	0.823
b	-	0.176
d	d	0.946
d	-	0.06
e	ə	1.0
f	f	0.746
f	-	0.162
f	x	0.086
f_s	f	1.0
h	h	0.495
h	x	0.195
h	-	0.182
h	k	0.062
h	ŋ	0.057
i	-	0.634
i	ə	0.163
i	ɪ	0.153
i_s	s	1.0
iː	-	0.508
j	-	0.341
j	j	0.259
j	ˈyː	0.153
j	r	0.115
k	k	0.786
k	-	0.204
k_s	k	1.0
l	l	1.0
lː	ɫ	0.508
lː_s	l	0.258
m	m	0.891
m	w	0.086
m	-	0.042
m_s	m	1.0
n	n	0.597
n	-	0.403
nː	n	1.0
oː	ə	0.677
oː	-	0.216
oː	r	0.097
p	p	1.0
r	r	0.846
r	-	0.125
r	d	0.034
s	-	0.57
s	s	0.383
s	t	0.036
t	t	0.916
t	d	0.08
t_s	t	1.0
u	-	0.587
u	ə	0.327
u	ˈoː	0.084
w	v	0.861
w	ˈaːu̯	0.057
w	ˈʊ	0.055
w	w	0.048
x	-	0.758
x	x	0.099
z	r	0.335
z	s	0.335
ð	-	0.53
ð	d	0.192
ð	t	0.177
ŋ	ŋ	0.309
ŋ	-	0.304
ŋ	ˈʊ	0.192
ŋ_ɡ	ŋ	1.0
ɔː	ə	0.258
ɡ	-	0.383
ɡ	ɣ	0.349
ɡ	k	0.147
ɡ	x	0.097
ɡʷ	ŋ	0.508
ɡːʷ	-	0.258
ɣ	x	0.335
ɣ	ɣ	0.335
ʍ	ˈoː	0.335
ʍ	v	0.335
ˈa	ˈɔː	0.23
ˈa	ˈoː	0.207
ˈa	ˈoːu̯	0.137
ˈa	ˈɔ	0.077
ˈa	ˈeː	0.073
ˈeː	ˈɛɪ̯	0.339
ˈeː	ˈi	0.194
ˈeː	ˈɛ	0.136
ˈeː	ˈoːu̯	0.13
ˈeː	ˈiː	0.13
ˈi	ˈɪ	0.315
ˈi	ˈiː	0.168
ˈi	ˈi	0.091
ˈi	-	0.089
ˈi	j	0.08
ˈiu̯	ˈɛɪ̯	0.488
ˈiu̯	ˈyː	0.216
ˈiu̯	j	0.126
ˈiː	ˈi	0.567
ˈiː	ˈɛɪ̯	0.234
ˈiː	ˈiː	0.091
ˈiː	ˈɪ	0.078
ˈoː	ˈoːu̯	0.839
ˈoː	ˈuː	0.136
ˈu	ˈʊ	0.433
ˈu	ˈuː	0.344
ˈu	ˈɔ	0.096
ˈu	ˈoːu̯	0.073
ˈu	ˈu	0.053
ˈuː	ˈuː	0.796
ˈuː	ˈʊ	0.162
ˈɔ	ˈoːu̯	0.204
ˈɔ	ˈaːu̯	0.193
ˈɔ	ˈoː	0.185
ˈɔ	ˈʊ	0.122
ˈɔ	ˈɔ	0.122
ˈɔː	ˈoː	0.716
ˈɔː	ˈeː	0.195
ˈɔː	ˈɔ	0.076
ˈɛ	j	0.305
ˈɛ	ˈiː	0.208
ˈɛ	ˈɔː	0.136
ˈɛ	ˈaː	0.1
ˈɛ	ˈɛɪ̯	0.1
ˈɛː	ˈeː	0.199
ˈɛː	ˈaː	0.173
ˈɛː	ˈɛɪ̯	0.173
ˈɛː	ˈoː	0.126
ˈɛː	ˈɪ	0.121
ˈɛː_w	ˈeː	1.0
β	-	0.194
β	v	0.194
β	ɣ	0.194
β	p	0.136
β	b	0.13
θ	d	0.73
θ	-	0.204
θ	t	0.057
θ_s	d	1.0
