East Frisian Low Saxon	Pennsylvania German	probability
ˈʏə̯	ˈɪ	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈaɪ̯	1.0
ˈɛə̯	ˈɔː	1.0
ˈɔː	ˈɔː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	ˈaʊ̯	1.0
ˈɑːɑ̯_j	ˈɔɪ̯	1.0
ˈɑːɑ̯	ˈa	1.0
ˈɑɪ̯	ˈeː	1.0
ˈɑ_d̥	ˈɔː_d̥	1.0
ˈœːy̯	ˈʊ	1.0
ˈœy̯	ˈiː	1.0
ˈøy̯	ˈuː	1.0
ˈæːɪ̯	ˈeː	1.0
ˈæː	ˈiː	1.0
ˈæɪ̯_n	ˈeː	1.0
ˈyː	ˈaɪ̯	1.0
ˈuːu̯	ˈaʊ̯	1.0
ˈeːe̯	ˈɛ_d	1.0
ʊ	ˈʊ	1.0
ɫ	l	1.0
ɡ̊	ç	1.0
ə	-	1.0
ɑɪ̯	eː	1.0
ŋ	ŋ	1.0
w	ʋ	1.0
v̥	b̥	1.0
v	ʋ	1.0
t_n	s_ə	1.0
s_k	ʃ	1.0
r	ɾ	1.0
o	ˈa	1.0
n_ɐ	n_ɑ	1.0
n_n	n_ə	1.0
m	m	1.0
l	l	1.0
j	j	1.0
h	h	1.0
f	f	1.0
d̥	d̥	1.0
b	b	1.0
d	d	0.979
s	ʃ	0.943
ˈɑ	ˈa	0.919
ˈʊ	ˈʊ	0.876
z	s	0.857
ˈɪ	ˈɪ	0.838
p	f	0.825
ˈɑʊ̯	ˈuː	0.818
ˈiː	ˈaɪ̯	0.816
ˈuː	ˈaʊ̯	0.8
ˈʏ	ˈɪ	0.737
ˈœ	ˈʊ	0.732
ɐ	ɑ	0.688
ˈæɪ̯	ˈeː	0.683
ɣ̊	ɡ̊	0.667
ˈɔ	ˈɔ	0.603
χ	ç	0.598
ˈøːø̯	-	0.593
z̥	s	0.588
k	k	0.575
ˈoː_ɐ	ˈaː	0.558
ˈɛ	ˈɛ	0.545
n	n	0.545
ɡ	ɡ	0.502
ˈɛːɪ̯	ˈiː	0.5
ˈɛːɪ̯	ˈeː	0.5
ˈeː	ˈɛ	0.5
ˈɑː	ˈaː	0.442
ˈoː_ɐ	ˈa	0.442
ˈɒː	ˈoː	0.44
ˈoː	ˈɔː	0.426
z̥	ˈɔː_s	0.412
ˈøːø̯	ˈʊ	0.407
χ	x	0.402
n	ə	0.354
t	s	0.348
ˈoː	ˈoː	0.345
ˈæɪ̯	ˈiː	0.317
ˈøː	ˈɔː	0.314
ˈeː	-	0.3
ˈɒː	ˈa	0.294
ˈɑː	ˈɛː	0.279
ˈɑː	-	0.279
ˈœ	-	0.268
ˈɛ	ˈɪ	0.267
ˈɒː	ˈɔː	0.267
ˈʏ	ˈɛ	0.263
k	ç	0.252
t	d̥	0.244
t	ʦ	0.242
ˈøː	-	0.229
ˈoː	-	0.229
ˈøː	ˈɛ	0.228
ˈøː	ˈeː	0.228
ɣ̊	k	0.217
ɡ	j	0.202
ˈɔ	-	0.201
ˈuː	-	0.2
ˈeː	ˈɛː	0.2
ˈɔ	ˈa	0.196
ˈɛ	-	0.189
ˈiː	ˈeː_ɑ	0.184
ˈɑʊ̯	-	0.182
p	p	0.175
k	x	0.172
ɡ	-	0.151
ɡ	ɣ	0.144
z	-	0.143
ˈʊ	ˈɔ	0.124
ɣ̊	ç	0.116
ˈɪ	ˈa	0.11
ɐ	ɾ_ə	0.11
t	t	0.094
ˈɑ	-	0.081
n	-	0.077
ɐ	ɾ	0.075
ɐ	-	0.075
t	d	0.071
s	n_s	0.057
ˈɪ	ˈaɪ̯	0.052
