Ripuarian	Pennsylvania German	probability
b	b	0.951
b	-	0.051
d	d	1.0
f	f	0.849
f	p	0.112
h	h	0.981
j	ɡ	0.735
j	j	0.248
k	kʰ	0.3
k	k	0.276
k	t	0.219
k	-	0.102
l	l	0.989
m	m	0.97
n	n	0.85
n	-	0.06
p	p	0.474
p	f	0.219
p	p_t	0.197
s	s	0.854
s	ʃ	0.146
t	t	0.777
t	d	0.135
v	v	0.611
v	ʋ	0.224
v	f	0.148
x	x	0.398
x	x_t	0.355
x	k	0.224
z	s	0.846
z	ʃ	0.154
ŋ	ŋ	0.491
ŋ	n	0.391
ŋ	-	0.073
ɐ	ɑ	0.725
ɐ	ɾ_ə	0.103
ɐ	ɾ_ɪ	0.103
ɐ	-	0.061
ɕ	ç	0.604
ɕ	ç_t	0.204
ɕ	k	0.139
ɕ	-	0.051
ə	ə	0.815
ə	-	0.134
ɣ	ɣ	0.699
ɣ	j	0.149
ɪ	ɪ	1.0
ʀ	ɾ	0.97
ʃ	ʃ	1.0
ʋ	ʋ	0.946
ʋ	v	0.056
ʦ	ʦ	0.853
ʦ	s	0.141
ˈa	ˈa	0.748
ˈa	ˈɔː	0.159
ˈaʊ̯	ˈɔː	0.677
ˈaʊ̯	ˈaʊ̯	0.272
ˈaː	ˈa	0.49
ˈaː	ˈɔː	0.448
ˈaː	ˈaː	0.057
ˈe	ˈɪ	0.797
ˈe	ˈɛ	0.102
ˈe	ˈa	0.074
ˈeɪ̯	ˈaɪ̯	0.397
ˈeɪ̯	ˈɔɪ̯	0.129
ˈeɪ̯	ˈiː	0.08
ˈeː	ˈiː	0.456
ˈeː	ˈeː	0.453
ˈeː	ˈɪ	0.054
ˈeː_n	ˈeː	1.0
ˈiː	ˈaɪ̯	0.36
ˈiː	ˈeː	0.194
ˈiː	ˈɛː	0.189
ˈiː	ˈiː	0.165
ˈiː	ˈɛ	0.077
ˈo	ˈʊ	0.792
ˈo	ˈɔ	0.203
ˈoː	ˈuː	0.315
ˈoː	ˈɔː	0.253
ˈoː	ˈoː	0.194
ˈoː	ˈʊ	0.079
ˈoː	ˈaː	0.069
ˈu	ˈʊ	0.784
ˈu	ˈɔ	0.126
ˈuː	ˈoː	0.515
ˈuː	ˈaʊ̯	0.438
ˈyː	ˈaɪ̯	0.416
ˈyː	ˈeː	0.384
ˈyː	ɑ	0.098
ˈøː	ˈiː	0.547
ˈøː	ˈaɪ̯	0.163
ˈøː	ˈɔː	0.163
ˈøː	ˈoː	0.111
ˈœ	ˈɪ	0.424
ˈœ	ˈɛ	0.361
ˈœ	ˈʊ	0.087
ˈœ	ˈaɪ̯	0.084
ˈɔ	ˈɔ	0.647
ˈɔ	ˈaː	0.141
ˈɔ	ˈoː	0.093
ˈɔʏ̯	ˈaɪ̯	0.244
ˈɛ	ˈɛ	0.603
ˈɛ	ˈɛː	0.132
ˈɛ	ˈaɪ̯	0.1
ˈɛ	ˈɪ	0.1
ˈɛ	ˈɔː	0.053
ˈɛː	ˈɛ	0.273
ˈɛː	ˈɛː_ɑ	0.176
ˈɛː	ˈeː	0.153
ˈɛː	ˈaː	0.133
ˈɛː	ˈɛː	0.133
ˈɛː	ˈa	0.101
ˈɪ	ˈɪ	0.71
ˈɪ	ˈɛ	0.111
ˈɪ	ˈiː	0.087
ˈɪ	ˈaɪ̯	0.079
ˈʊ	ˈaː	0.5
ˈʊ	ˈʊ	0.5
ˈʏ	ˈɪ	0.467
ˈʏ	ˈaɪ̯	0.25
ˈʏ	ˈeː	0.108
