Spanish	Spanish	probability
θ_ˈe	j	1.0
θ_#>	s_#>	1.0
β_ˈa	v_ˈa	1.0
β_o	w	1.0
β_e	w	1.0
ˈu_ɾ	ˈy	1.0
ˈu_n	ˈũ	1.0
ˈi_ʝ	ˈɛ	1.0
ˈe_s	ˈe_s	1.0
ˈe_j	ˈɛ_j	1.0
ʝ_o	w	1.0
ʝ	l	1.0
ɾ_ˈe	ɾ_ˈe	1.0
ɾ_t	ʀ	1.0
ɾ_n	ʀ	1.0
ɾ_e	e	1.0
ɾ_a	ɾ_ɔ	1.0
ɾ_#>	#>	1.0
ɣ_w	ɡ	1.0
ɡ	ɡ	1.0
ŋ_ɡ	ŋ_k	1.0
ŋ	ŋ	1.0
ð_ɾ	j_ɾ	1.0
ð_a	d_ɔ	1.0
x_o	j	1.0
x_a	j_ɔ	1.0
u	u	1.0
t_o	ŋ	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
r	ʀ	1.0
p	p	1.0
o_s	ˈa	1.0
o_l	u_l	1.0
o_#>	#>	1.0
n_t	ŋ	1.0
n_o	ŋ	1.0
n_d	ŋ	1.0
l_o	w	1.0
l_#>	w_#>	1.0
k	k	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b_w	b_w	1.0
b_j	v	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_f	1.0
#>	e_#>	1.0
m	m	0.914
s	s	0.882
e	e	0.846
s_#>	#>	0.778
j_ˈe	ˈɛ	0.765
ɲ	ɲ	0.75
w	w	0.75
ˈa	ˈa	0.742
β	b	0.722
ˈi	ˈi	0.714
a	ɔ	0.699
θ	s	0.636
ɣ	ɡ	0.6
n	n	0.577
ɾ	ɾ	0.552
ˈe	ˈe	0.541
l	l	0.538
b	v	0.533
ɟ͡ʝ	p_l	0.5
ð	d	0.5
ð	-	0.5
i	i	0.5
ˈo	ˈu	0.444
ˈu	ˈy	0.429
x	ˈe_j	0.429
n	ŋ	0.423
ɣ	k	0.4
j	j	0.375
j	-	0.375
ʧ	ˈe_ʧ	0.333
ʧ	ʧ	0.333
ʧ	-	0.333
i	e	0.333
b	b	0.333
x	j	0.286
x	-	0.286
θ	z	0.273
o	e	0.27
ˈa	ˈã	0.258
ɲ	-	0.25
ɟ͡ʝ	l	0.25
ɟ͡ʝ	k_l	0.25
j	ˈɛ	0.25
j_ˈe	ˈẽ	0.235
l	w	0.231
l	-	0.231
s_#>	j_#>	0.222
a	a	0.219
o	w	0.216
ˈu	ˈỹ	0.214
ˈu	ɥ	0.214
ɾ	ʀ	0.19
o	u	0.189
β	-	0.167
i	ĩ	0.167
e	-	0.154
ˈe	ˈẽ	0.148
ˈu	ˈu	0.143
ˈi	ˈĩ	0.143
ˈi	-	0.143
w	-	0.143
ˈo	ˈũ	0.133
ˈo	ɥ	0.133
ˈo	w	0.133
b	-	0.133
s	-	0.118
β	v	0.111
ˈo	ˈa_w	0.111
w	ɥ	0.107
θ	-	0.091
ɾ	-	0.086
ˈe	-	0.082
o	ŋ	0.081
o	j	0.081
o	-	0.081
ˈe	ˈɔ	0.066
ˈe	j	0.066
m	-	0.057
o	ˈe	0.054
ɾ	ˈe_ʀ	0.052
ɾ	e	0.052
