Lower Sorbian	Russian	probability
ʒ	ʐ	1.0
ʑ	dʲ	1.0
ʐ̊	ʐ̊	1.0
ʐ	ʐ	1.0
ʂ	r	1.0
ɲ	nʲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z̥	z̥	1.0
w	ɫ	1.0
vʲ	vʲ	1.0
v_ɛ	ɐ	1.0
t͡ʂ	tʲ_i	1.0
rʲ	rʲ	1.0
r	r	1.0
pʲ	pʲ	1.0
p	p	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
kʲ	kʲ	1.0
k_ɛ	k_o	1.0
k_a	k_a	1.0
j_kʲ	ɡʲ	1.0
f	f	1.0
e_ɕ	ɪ_tʲ	1.0
e_n	n	1.0
d̥	d̥	1.0
d_w	ɫ	1.0
bʲ	bʲ	1.0
v	v	0.873
t	t	0.856
l	lʲ	0.836
k	k	0.813
b	b	0.799
m	m	0.765
ɕ	tʲ	0.758
ʨ	-	0.75
d	d	0.748
b̥	b̥	0.743
x	x	0.667
z	z	0.659
s	s	0.615
ʦ	ʨ	0.572
i	i	0.57
ɔ	o	0.546
ɪ	e	0.527
a	a	0.527
e	ɪ	0.497
u	u	0.469
ʦ	ʦ	0.428
ɨ	ɨ_j	0.403
s	sʲ	0.361
z	zʲ	0.341
e	e	0.33
u	ʊ	0.312
ɨ	ɨ	0.29
i	ɪ_j	0.287
ɪ	ɪ	0.286
b̥	b̥ʲ	0.257
d	dʲ	0.252
ɛ	o	0.251
ʨ	d̥ʲ	0.25
ɛ	ɐ	0.237
m	mʲ	0.235
ɛ	e_ˈ	0.223
b	bʲ	0.201
ɨ	-	0.183
x	x_o	0.177
u	-	0.176
e	-	0.173
a	ə	0.17
ɛ	ɪ	0.165
l	ɫ	0.164
x	xʲ	0.156
ɔ	ɐ	0.151
t	-	0.144
i	-	0.143
v	-	0.127
ɕ	-	0.126
ɨ	j	0.124
a	ɵ_ˈ	0.121
k	x	0.12
ɕ	rʲ	0.116
ɔ	ɪ	0.107
a	-	0.107
ɪ	-	0.094
ɪ	a	0.093
ɛ	-	0.076
a	e_ˈ	0.076
k	ʦ	0.067
ɔ	ɵ_ˈ	0.065
ɔ	ə	0.065
ɔ	-	0.064
