Old Prussian	Upper Sorbian	probability
ɡ_i	ʒ̊	1.0
ŋ	u	1.0
uː	ɪ	1.0
t_o	ʨ	1.0
oːu̯	i	1.0
n_a	n	1.0
j	e	1.0
iː	-	1.0
eː	a	1.0
aːu̯	u	1.0
aː	ɛ_ɲ	1.0
au̯_s	xʲ	1.0
ai̯	j_ɛ	1.0
a_n	ɪ	1.0
b	b	0.851
k	k	0.846
r	ʀ	0.715
v	w	0.711
n	-	0.689
s	-	0.631
z	z	0.627
u	-	0.614
ɡ	ʒ	0.605
i	-	0.58
l	w	0.511
o	a	0.504
l	l	0.489
p	-	0.462
p	p	0.457
m	mʲ	0.45
t	ʨ	0.426
i	ɔ	0.42
ɡ	ɦ	0.395
d	ʥ	0.387
u	u	0.386
z	e_z	0.373
m	m	0.37
t	t	0.361
d	d̥	0.346
a	ɔ	0.326
n	n	0.311
v	ɥ_e	0.289
e	-	0.286
r	ʀʲ	0.285
e	a	0.269
d	d	0.267
o	ɔ	0.256
o	-	0.239
t	-	0.214
e	ɛ	0.207
a	-	0.189
s	s	0.183
m	-	0.179
a	o	0.178
k	ʃ	0.154
a	w	0.154
b	bʲ	0.149
e	ɔ	0.139
a	ɪ	0.11
s	x	0.109
e	ɪ	0.099
p	pʲ	0.081
s	a	0.077
