Old Norse	Yiddish	probability
a	n	0.49
a	ə	0.253
a	ˈɔɪ̯	0.152
a	-	0.105
b	b	0.994
c	-	0.319
c	k	0.276
c	χ	0.218
c	ʧ	0.188
cʰ	k	1.0
cː	k	1.0
d	t	0.719
d	d	0.258
f	f	0.923
f	b	0.077
h	h	0.961
i	ə	0.578
i	-	0.255
i	t_ə	0.11
i	ɛ	0.057
j	ˈɛ	0.42
j	ˈɪ	0.351
j	-	0.186
k	χ	0.796
k	-	0.103
k	k	0.065
kʰ	k	0.875
kʰ	f	0.125
kː	k	0.628
kː	ŋ_k	0.372
l	l	0.968
lː	l	1.0
l̥	l	1.0
m	m	0.82
m	ɛ_m	0.096
m	ə_m	0.084
mː	m	0.657
mː	f	0.343
n	n	0.907
n	-	0.078
nː	n	0.736
nː	l	0.094
nː	-	0.085
nː	t	0.085
p	f	0.893
p	p	0.107
pː	f	1.0
r	-	0.513
r	ʀ	0.419
r	ə_ʀ	0.063
rː	ə	0.703
rː	ʀ	0.213
rː	k	0.083
r̥	ʀ	1.0
s	z	0.52
s	ʃ	0.337
s	-	0.132
sː	z	1.0
t	s	0.759
t	ʦ	0.14
t	t	0.101
tʰ	ʦ	0.834
tʰ	t	0.104
tʰ	b	0.061
tː	χ	0.908
tː	ʦ	0.092
u	ɪ	0.413
u	n	0.365
u	-	0.221
v	v	0.501
v	b	0.27
v	f	0.073
v	z	0.07
v	m	0.06
w	-	0.782
w	ˈɔ	0.218
x	v	1.0
ç	h	1.0
ð	t	0.665
ð	-	0.171
ð	d	0.164
ŋ	ŋ	0.814
ŋ	-	0.118
ŋ	ˈɛɪ̯	0.068
ɑ	n	0.784
ɑ	ə	0.165
ɑː	-	1.0
ɟ	ɡ	1.0
ɟː	k	1.0
ɡ	ɡ	0.882
ɡ	χ	0.053
ɡː	-	0.5
ɡː	k	0.5
ɣ	ɡ	0.792
ɣ	k	0.156
ɣ	-	0.052
ʝː	ɡ	1.0
ʦ	t	1.0
ˈa	ˈa	1.0
ˈe	ˈɛ	0.579
ˈe	ˈɔ	0.148
ˈe	ˈɪ	0.11
ˈe	-	0.093
ˈe	ˈaɪ̯	0.069
ˈeː	ˈɪ	0.49
ˈeː	ˈaɪ̯	0.286
ˈeː	ˈɛ	0.174
ˈi	ˈɪ	0.922
ˈiː	ˈaɪ̯	0.84
ˈiː	ˈɛ	0.114
ˈo	ˈʊ	0.385
ˈo	ˈɔ	0.217
ˈo	ˈɛ	0.188
ˈo	v_ˈɔ	0.132
ˈo	ˈɔɪ̯	0.078
ˈoː	ˈʊ	0.402
ˈoː	-	0.285
ˈoː	ʀ	0.171
ˈoː	ˈɔ	0.072
ˈoː	ˈɪ	0.071
ˈu	ˈʊ	0.533
ˈu	ˈɔɪ̯	0.106
ˈu	ˈɔ	0.106
ˈu	ˈɪ	0.093
ˈu	ˈɛ	0.083
ˈu	v_ˈɔ	0.055
ˈuː	ˈɔɪ̯	0.636
ˈuː	ə	0.201
ˈuː	-	0.121
ˈy	ˈɪ	0.433
ˈy	ˈɔ	0.271
ˈy	ˈa	0.182
ˈy	ˈɛ	0.068
ˈyː	ˈaɪ̯	0.775
ˈyː	ˈʊ	0.173
ˈyː	ˈɪ	0.052
ˈøy̯	ˈɔɪ̯	0.656
ˈøy̯	ˈɛ	0.344
ˈøː	ˈɪ	0.852
ˈøː	ˈʊ	0.148
ˈɑ	ˈa	0.619
ˈɑ	-	0.194
ˈɑ	ˈɔ	0.144
ˈɑu̯	ˈɔɪ̯	0.952
ˈɑː	ˈɔ	0.357
ˈɑː	ˈa	0.18
ˈɑː	ˈɛ	0.165
ˈɑː	-	0.123
ˈɑː	ˈɔɪ̯	0.099
ˈɑː	j	0.076
ˈɒu̯	ˈʊ	0.724
ˈɒu̯	ˈɔɪ̯	0.276
ˈɔ	-	0.539
ˈɔ	ˈɔ	0.285
ˈɔ	ˈa	0.091
ˈɔ	ˈɪ	0.054
ˈɔː	ˈʊ	1.0
ˈɛ	ˈɛ	0.481
ˈɛ	ˈɛɪ̯	0.158
ˈɛ	ˈa	0.146
ˈɛ	ˈaɪ̯	0.13
ˈɛ	ˈɔ	0.084
ˈɛi̯	ˈɛɪ̯	1.0
ˈɛː	ˈɛɪ̯	0.754
ˈɛː	-	0.206
θ	d	0.961
