Asturian	Asturian	probability
θ_ˈe	ʃː_ɪ	1.0
β_ˈa	v_ˈa	1.0
ˈu	ˈu	1.0
ˈo_s	ɖː	1.0
ˈo_n	ˈɔ_n	1.0
ˈe_ʎ	ɖː	1.0
ˈe_u	k_ʊ	1.0
ˈe_r	ʐː	1.0
ʎ_ˈe	l_ˈi	1.0
ɾ_n	ɾ_n	1.0
ɾ_m	ˈɛ	1.0
ɾ_e	ɽ_ɪ	1.0
ɾ_a	a	1.0
ɡ	ɡ	1.0
w_ˈe	ˈɔ	1.0
u_#>	#>	1.0
t_e	t_ɪ	1.0
s_#>	#>	1.0
p_ˈe	p_ˈi	1.0
p	p	1.0
o_s	ɪ	1.0
o_#>	ʊ_#>	1.0
n_d	nː	1.0
l_u	l_ʊ	1.0
j_ˈe	ˈɛ	1.0
i	-	1.0
f_e	b	1.0
e_#>	#>	1.0
a_ð	a_t	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_e	<#	1.0
<#_a	<#_a	1.0
f	f	0.95
ˈa	ˈa	0.943
n	n	0.938
a	a	0.929
#>	ɪ_#>	0.891
k	k	0.886
u	ʊ	0.859
m	m	0.815
e_s	ʃ	0.778
θ	ɕ	0.75
r	ʐ	0.75
d	d	0.75
s	s	0.727
ʎ	l	0.72
ˈi	ˈi	0.692
ʧ	tː	0.667
t	t	0.652
ɣ	k	0.625
b	v	0.607
ð	t	0.6
ɾ	ɾ	0.538
ŋ	n	0.538
ˈo	ˈu	0.531
ʃ	j	0.5
ɲ	ɲː	0.5
w	ˈɔ	0.5
<#	<#_n	0.5
<#	<#_a	0.5
j	ˈɛ	0.467
ŋ	ŋ	0.462
β	v	0.458
e	ɪ	0.45
ˈe	ˈi	0.432
l	l	0.421
ɲ	nː	0.4
j	-	0.4
ɣ	ɡ	0.375
ʝ	ɟː	0.357
ʝ	cː	0.357
β	p	0.333
ʧ	-	0.333
w	w	0.333
o	u	0.333
b	b	0.321
ʝ	-	0.286
e	i	0.275
s	sː	0.273
ɾ	r	0.256
ʃ	ʤ	0.25
ʃ	-	0.25
r	-	0.25
d	j	0.25
e_s	a_s	0.222
ˈo	ˈɔ	0.219
ð	ʈ	0.2
ð	-	0.2
θ	-	0.167
w	ˈu	0.167
o	ˈu	0.167
o	ɪ	0.167
o	w	0.167
o	o	0.167
ʎ	ɖː	0.16
ˈe	ˈɛ	0.159
l	ɾ	0.158
l	w	0.158
l	-	0.158
ˈe	ɪ	0.136
j	j	0.133
t	tː	0.13
ˈo	ˈo	0.125
e	-	0.125
ʎ	c	0.12
k	kː	0.114
m	-	0.111
l	ɪ	0.105
ɲ	ɲ	0.1
e	ʊ	0.1
ˈe	-	0.091
t	ʧː	0.087
t	ʈ	0.087
θ	z	0.083
β	b	0.083
β	-	0.083
ˈi	ˈi_ɟː	0.077
ˈi	ɾ	0.077
ˈi	i	0.077
ˈi	-	0.077
m	mː	0.074
#>	ʊ_#>	0.073
b	-	0.071
a	ˈa	0.071
ˈe	ˈe	0.068
ˈe	ɾ	0.068
ɾ	ɽ	0.064
ɾ	ɪ	0.064
ˈo	ˈu_ɾ	0.062
ˈo	ˈu_tː	0.062
n	-	0.062
ˈa	-	0.057
u	u	0.051
u	-	0.051
