Standard Serbian	Upper Sorbian	probability
̌	-	1.0
̂	-	1.0
ʧ	ʧ	1.0
ʎ	l	1.0
ʋ_eː	ɥ_a	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	-	1.0
ɡ_a	ɦ	1.0
ɡ	ɦ	1.0
x	x	1.0
uː_̂	w	1.0
t_i	ʨ	1.0
s	s	1.0
o_̌	ɔ	1.0
o_̂	o	1.0
l_a	w_a	1.0
k_a	x	1.0
j	j	1.0
eː_̂	ɪ	1.0
e_̌	ɛ	1.0
e_̂	e	1.0
d̥	d̥	1.0
aː_̌	ɔ	1.0
aː_̂	o	1.0
aː	a	1.0
a_̂	ɔ	1.0
a_m	ɔ_m	1.0
uː	u	0.882
z	z	0.881
k	k	0.869
o	ɔ	0.841
n	n	0.781
t	t	0.758
d	d	0.717
ʒ	ʒ	0.674
m	m	0.658
a	a	0.655
b	b	0.646
oː	o	0.608
i	-	0.607
u	u	0.592
r̩ː	ɔ_ʀ	0.585
p	p	0.581
r̩	-	0.571
i_̂	i	0.553
eː	e	0.538
l	l	0.532
iː	ɪ	0.532
r	ʀ	0.525
ʦ	ʦ	0.502
a_r	ʀ_ɪ	0.5
a_r	ʀ	0.5
ʦ	-	0.498
iː	i	0.468
ʋ	w	0.464
i_̂	ɪ	0.447
ʋ	ɥ	0.435
r̩	ʀʲ	0.429
p	pʲ	0.419
r̩ː	ʀ	0.415
r	ʀʲ	0.411
u	-	0.408
l	w	0.392
e	ɛ	0.369
e	-	0.353
m	mʲ	0.342
ʒ	ʒ̊	0.326
d	ʥ	0.283
e	ɔ	0.279
oː	ɔ	0.27
a	-	0.261
t	ʨ	0.242
n	ɲ	0.219
i	i	0.208
b	bʲ	0.205
eː	ɛ	0.191
i	ɪ	0.185
eː	-	0.159
b	b̥	0.149
k	kʲ	0.131
o	w	0.124
oː	ɔ_w	0.122
z	-	0.119
uː	-	0.118
eː	a	0.111
ʋ	-	0.078
l	d_w	0.076
r	ʃ	0.063
