English	Bavarian	probability
b	b̥	1.0
d	d̥	0.772
d	t	0.206
f	f	0.785
f	b̥	0.16
f	-	0.055
h	h	1.0
j	ɡ̊	0.386
j	j	0.384
j	ˈeː	0.136
j	ˈai̯	0.094
k	x	0.543
k	k	0.265
k	ɡ̊	0.091
k	ç	0.07
kʰ	kʰ	0.926
kʰ	-	0.074
l	l	0.885
l	-	0.115
m	m	0.982
n	n	0.95
p	f	0.79
p	p͡f	0.168
pʰ	p͡f	1.0
s	s	0.795
s	ʃ	0.205
t	s	0.515
t	ʦ	0.179
t	t	0.141
t	x_t	0.115
tʰ	ʦ	0.921
tʰ	-	0.079
v	f	0.405
v	b̥	0.31
v	m	0.285
w	ʋ	0.89
w	ˈau̯	0.06
z	s	0.923
z	r	0.077
ð	d̥	0.871
ð	t	0.129
ŋ	ŋ	0.782
ŋ	i	0.218
ə	a	0.603
ə	ɐ	0.216
ə	-	0.149
əʊ̯	j	0.73
əʊ̯	ɐ	0.27
ɜː	ˈai̯	1.0
ɡ	ɡ̊	0.883
ɡ	-	0.117
ɪ	-	0.327
ɪ	ɐ	0.237
ɪ	i	0.148
ɪ	ɪ	0.148
ɪ	a	0.081
ɪ	ŋ	0.06
ɫ	j	0.6
ɫ	l	0.234
ɫ	ə	0.106
ɹ	r	0.898
ɹ	-	0.063
ʃ	ʃ	1.0
ʤ	ɡ̊	0.891
ʤ	k	0.109
ʧ	kʰ	0.538
ʧ	ç	0.297
ʧ	x	0.12
ˈaɪ̯	ˈai̯	0.401
ˈaɪ̯	ˈi	0.202
ˈaɪ̯	ˈiɐ̯	0.118
ˈaɪ̯	ˈɔ	0.057
ˈaɪ̯	ˈau̯	0.056
ˈaʊ̯	ˈau̯	0.593
ˈaʊ̯	ˈuɐ̯	0.177
ˈaʊ̯	ˈu	0.134
ˈaʊ̯	ˈoː	0.096
ˈe	ˈe	0.196
ˈe	ˈɛ	0.15
ˈe	ˈou̯	0.089
ˈe	ˈɒ	0.081
ˈe	ˈa	0.069
ˈe	ˈeɐ̯	0.069
ˈe	ˈai̯	0.069
ˈe	ˈoɐ̯	0.055
ˈeɪ̯	ˈaː	0.187
ˈeɪ̯	ˈa	0.158
ˈeɪ̯	ˈo	0.148
ˈeɪ̯	ˈeː	0.11
ˈeɪ̯	ˈoː	0.102
ˈeɪ̯	ˈɔ	0.102
ˈeɪ̯	ˈɒ	0.098
ˈeɪ̯	ˈou̯	0.095
ˈiː	ˈaː	0.167
ˈiː	ˈiɐ̯	0.108
ˈiː	ˈeɐ̯	0.096
ˈiː	-	0.067
ˈiː	ˈeː	0.067
ˈiː	ˈuɐ̯	0.058
ˈiː	eɐ̯	0.051
ˈuː	-	0.343
ˈuː	ˈeɐ̯	0.222
ˈuː	ˈɔ	0.124
ˈuː	ˈiɐ̯	0.124
ˈuː	ˈoɐ̯	0.089
ˈuː	ˈuɐ̯	0.051
ˈæ	ˈa	0.361
ˈæ	ˈo	0.347
ˈæ	ˈɒː	0.125
ˈæ	ˈɔ	0.078
ˈæ	ˈɛ	0.066
ˈɐ	ˈu	0.422
ˈɐ	ˈo	0.179
ˈɐ	ˈaː	0.128
ˈɐ	ˈoː	0.098
ˈɐ	ˈuɐ̯	0.06
ˈɐ	-	0.057
ˈɑː	ˈa	0.399
ˈɑː	ˈoː	0.186
ˈɑː	ˈaː	0.121
ˈɑː	ˈe	0.103
ˈɑː	j	0.087
ˈɑː	ˈɒː	0.062
ˈɒ	ˈo	0.338
ˈɒ	ˈu	0.295
ˈɒ	ˈoɐ̯	0.179
ˈɒ	ˈɔ	0.115
ˈɒ	ˈɒ	0.073
ˈɔː	ˈoɐ̯	0.369
ˈɔː	ˈo	0.205
ˈɔː	ˈi_ɐ	0.136
ˈɔː	ˈɒ	0.119
ˈɔː	ɐ	0.104
ˈəʊ̯	ˈoɐ̯	0.432
ˈəʊ̯	ˈo	0.22
ˈəʊ̯	ˈai̯	0.116
ˈəʊ̯	ˈi	0.067
ˈəʊ̯	ˈy	0.059
ˈɛ	ˈeː	0.44
ˈɛ	ˈe	0.226
ˈɛ	ˈoɐ̯	0.137
ˈɛ	ˈɛ	0.137
ˈɛ	ˈoː	0.06
ˈɜː	ɐ	0.525
ˈɜː	ˈuɐ̯	0.475
ˈɪ	ˈi	0.531
ˈɪ	ˈu	0.096
ˈɪ	ˈʏ	0.09
ˈɪ	ˈai̯	0.074
ˈʊ	ˈuɐ̯	0.594
ˈʊ	ˈo	0.406
θ	d̥	0.825
θ	t	0.137
