Ligurian	Romansch	probability
a	ə	0.89
a	-	0.078
b	b	0.967
d	d	0.914
d	-	0.081
d_e	t	1.0
d_u	t	1.0
e	-	0.318
e	ə	0.215
e	ə_r	0.179
e	i	0.139
e	ə_s	0.063
f	f	0.928
f	f_j	0.072
i	-	0.513
i	ə	0.156
i	l	0.09
i	ˈi	0.09
i	u	0.075
i	i	0.073
j	j	0.454
j	-	0.242
j	ə	0.146
j	r	0.122
j_ˈaː	ˈu	1.0
k	ʨ	0.534
k	k	0.401
k	w_k	0.051
k_u	ʨ	1.0
l	l	0.676
l	-	0.116
l	j_l	0.065
l	ʎ	0.065
l	l_j	0.061
m	m	0.944
m	n	0.056
m_e	m	1.0
n	n	0.891
n	n_d	0.063
o	-	1.0
p	p	0.967
r	r	0.923
s	s	0.596
s	ʧ	0.182
s	ʃ	0.167
s	ʦ	0.051
s_u	s	1.0
t	t	0.853
t	ʨ	0.067
t_e	ʨ	0.51
t_r	s	1.0
t_u	ʨ	1.0
u	-	0.694
u	r	0.087
u	w	0.056
v	v	0.885
v	-	0.082
v_e	f	1.0
v_u	f	1.0
w	-	0.271
w	u	0.265
w	ˈu	0.259
w	w	0.11
w	l	0.069
y	i	0.51
z	ʃ	0.314
z	ʥ	0.258
z	ʦ	0.116
z	s	0.112
z	d	0.096
z	z	0.071
ŋ	n	0.701
ŋ	w_n	0.157
ŋ	j_n	0.058
ŋ_ɡ	ŋ	1.0
ɔː	o	0.425
ɔː	u	0.249
ɔː	ə	0.146
ɡ	ɡ	0.466
ɡ	-	0.373
ɡ	ʥ	0.086
ɡ_u	w	0.641
ɡ_u	k	0.256
ɥ	u	0.51
ɲ	ɲ	0.927
ɲ	n	0.065
ʃ	ʃ	0.5
ʃ	s	0.217
ʃ	f_l	0.143
ʒ	ʃ	0.533
ʒ	ʧ	0.364
ʒ	ʒ	0.073
ʒ_e	ʃ	1.0
ʤ	ʎ	0.495
ʤ	ɡ_l	0.156
ʤ	ʥ	0.11
ʤ	d	0.089
ʤ	v	0.072
ʤ	ɡ	0.063
ʤ_u	ʎ	1.0
ʧ	p_l	0.351
ʧ	ʧ	0.231
ʧ	p	0.175
ʧ	k	0.118
ʧ	k_l	0.086
ˈa	ˈa	0.819
ˈa	ˈɔ	0.122
ˈaː	ˈaː	0.443
ˈaː	ˈa	0.254
ˈaː	ˈɔ	0.088
ˈaː	l_ˈa	0.077
ˈaː	ˈa_l	0.051
ˈe	ˈa	0.414
ˈe	ˈɛ	0.329
ˈe	ˈe	0.107
ˈe	ˈi	0.103
ˈeː	ˈɛ	0.468
ˈeː	ˈi	0.137
ˈeː	ə	0.11
ˈeː	r_ˈe	0.096
ˈeː	ˈi_ə	0.073
ˈeː	ˈeː	0.054
ˈeː	ˈe	0.053
ˈi	ˈi	0.762
ˈi	ə	0.074
ˈi	ˈɛ	0.074
ˈi	ˈiː	0.062
ˈiː	ˈi	0.422
ˈiː	-	0.272
ˈiː	ˈiː_r	0.147
ˈiː	ˈɛ	0.088
ˈu	ˈu	0.937
ˈu	ˈɔ	0.063
ˈuː	ˈu	0.451
ˈuː	ˈuː	0.232
ˈuː	ˈu_l	0.182
ˈuː	ˈo	0.105
ˈy	ˈu	0.471
ˈy	ˈi	0.407
ˈy	ˈe	0.114
ˈyː	ˈi	0.82
ˈyː	ˈu	0.145
ˈø	ˈɛ	0.257
ˈø	ˈɔ	0.194
ˈø	ˈu	0.147
ˈø	ˈuɔ̯	0.111
ˈø	ˈe	0.108
ˈø	ˈo	0.108
ˈøː	ˈɔ	0.613
ˈøː	j_ˈɛ	0.311
ˈøː	ˈoː	0.061
ˈɔ	ˈɔ	0.725
ˈɔ	ˈu	0.198
ˈɔː	ˈɔ	0.339
ˈɔː	ˈa	0.295
ˈɔː	ˈɔː	0.207
ˈɔː	ˈa_w	0.068
ˈɛ	ˈɛ	0.466
ˈɛ	ə	0.337
ˈɛ	ˈe	0.119
ˈɛ	j	0.061
ˈɛː	ˈa	0.41
ˈɛː	ˈɛ	0.193
ˈɛː	ˈeː	0.143
ˈɛː	ˈɛː	0.124
ˈɛː	ˈe	0.069
ˈɛː	-	0.058
