French	French	probability
ʃ	k	1.0
ʁ_i	r_ˈi	1.0
ɲ	ɲ	1.0
ɛ_ʁ	e_r	1.0
ɑ̃_#>	ˈe_ŋ_t_o_#>	1.0
œ_ʁ	ˈo_r	1.0
z	z	1.0
w_a	ˈe	1.0
t_#>	t_a_#>	1.0
s_ɛ	s_ˈe	1.0
p_a	p_a	1.0
p	p	1.0
n	n	1.0
m_#>	m_a_#>	1.0
k_l	ʧ	1.0
j_ɛ	j_ˈe	1.0
i_ʁ	ˈi_r	1.0
e_p	s_p	1.0
e_k	s_k	1.0
d	d	1.0
b	b	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_a	<#_ˈa	1.0
v	v	0.933
m	m	0.923
s	s	0.875
k	k	0.857
f	f	0.808
t	t	0.8
ʒ	z	0.789
ɡ	ɡ	0.769
ʁ	r	0.757
y	ˈu	0.692
ɔ̃	ˈo_ŋ	0.667
ə	e	0.625
œ	ˈɔ	0.625
l_#>	a_#>	0.6
a_#>	o_#>	0.6
<#	<#_ˈa	0.6
<#_l	<#_ɰ	0.583
ø	o	0.571
ɔ	ˈɔ	0.524
e	ˈa_r	0.5
i	ˈi	0.483
ɥ	ˈu	0.429
ø	ˈo_ɡ	0.429
#>	o_#>	0.428
a	a	0.417
o	ˈɛ_o	0.4
l_#>	#>	0.4
a_#>	#>	0.4
<#	<#_z	0.4
ɛ̃	ˈa_ŋ	0.391
ə	a	0.375
œ	ˈo	0.375
j	j	0.368
w	ˈe	0.364
l	ɰ	0.355
ɛ	ˈa	0.349
#>	a_#>	0.345
ɑ̃	ŋ	0.333
w	-	0.318
y	-	0.308
a	ˈa	0.306
u	ˈo	0.292
l	j	0.29
ɥ	ˈɔ_t	0.286
ɥ	ˈo	0.286
ɛ	ˈɛ	0.279
o	ˈɔ_s	0.267
ɛ̃	ˈi_ŋ	0.261
l	l	0.258
<#_l	<#	0.25
i	-	0.241
ɔ	ˈo	0.238
ɔ	o	0.238
ɡ	ʤ	0.231
e	ˈa	0.227
ɛ̃	ŋ	0.217
ʒ	-	0.211
j	-	0.211
u	o	0.208
#>	e_#>	0.207
ɑ̃	ˈa_ŋ	0.2
ɑ̃	n	0.2
t	s	0.2
o	ˈɔ	0.2
ɔ̃	ˈo	0.167
ɔ̃	e	0.167
<#_l	<#_ˈe	0.167
ɛ	ˈe	0.163
k	k_w	0.143
w	ˈo_z	0.136
ɑ̃	ˈe_ŋ	0.133
ɑ̃	a_ŋ	0.133
o	o	0.133
ɛ̃	ɲ_o	0.13
u	ˈɔ	0.125
u	ˈu	0.125
f	v	0.115
a	e	0.111
j	ˈe	0.105
j	ʧ_o	0.105
j	ʧ_a	0.105
j	o	0.105
l	-	0.097
w	ˈo	0.091
w	i	0.091
e	ˈa_z	0.091
e	s	0.091
e	o	0.091
u	ˈɔ_ʧ	0.083
u	ˈu_t	0.083
u	ˈo_s	0.083
m	e_m	0.077
f	-	0.077
s	z	0.075
ʁ	a_r	0.071
ɛ	-	0.07
i	ˈe	0.069
i	t_o	0.069
i	s_o	0.069
i	o	0.069
v	-	0.067
ʁ	e_r	0.057
a	w_ˈa	0.056
a	o	0.056
a	d_e	0.056
