Slovenian	Upper Sorbian	probability
<#	<#_β	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_r	<#_ʀ	1.0
<#_s	<#_s	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɡ	<#_ɦ	1.0
<#_ʃ	<#_ʃ	1.0
<#_ʒ	<#_ʒ	1.0
a_#>	a_#>	1.0
àː	ˈa	1.0
á	ˈa	1.0
áː	ˈo	1.0
d_a	d_a	1.0
e	e	1.0
èː	ˈe	1.0
íː	ˈi	1.0
j	-	1.0
k	k	1.0
l_èː	l_ˈɛ	1.0
l_ɔ	d_w	1.0
m	mʲ	1.0
m_#>	m_#>	1.0
o	ˈɔ	1.0
òː	ˈɔ	1.0
óː_#>	ɔ_#>	1.0
p	-	1.0
p_#>	p_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
s_ə	s	1.0
t_ɔ	t_ɔ	1.0
t_ə	t	1.0
úː	ˈu	1.0
w	l_#>	1.0
x	x	1.0
x_#>	xʲ_i	1.0
z	z	1.0
ɔ	-	1.0
ɔ̀ː	ˈɔ	1.0
ɔ́ː_w	ˈɔ_w	1.0
ə̀	ˈɔ	1.0
ə́	ˈɔ	1.0
ə́_r	ˈe_ʀ	1.0
ɛ_#>	ɔ_#>	1.0
ɛ̀ː	ˈɛ	1.0
ɡ	ɦ	1.0
ʃ_#>	ʃ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
r	ʃ	0.091
óː	ˈɔ	0.182
óː	ˈu	0.182
t_#>	ʧ_#>	0.562
<#_d	<#_ʤ	0.333
<#_m	<#_mʲ	0.333
<#_p	<#_pʲ	0.333
<#_t	<#_t	0.333
éː	ˈe	0.833
i	<#	0.333
k_#>	i_#>	0.3
k_#>	x_#>	0.3
l	w	0.533
w_#>	w_#>	0.333
ʋ	ɥ	0.333
ìː	ˈɪ	0.4
k_#>	k_#>	0.4
n	ɲ	0.4
r	ʀʲ	0.364
ɛ	-	0.4
#>	j_#>	0.25
#>	ɔ_#>	0.75
<#_ʋ	<#_ɥ	0.5
<#_ʋ	<#_β	0.5
b	bʲ	0.5
b	b	0.5
n_#>	n_ɪ	0.5
n_#>	ɲ_#>	0.5
r	ʀ	0.545
t	ʧ_#>	0.375
t	t	0.625
ə	ˈɔ	0.25
ə	-	0.25
ə	kʲ	0.25
ə	p	0.25
ʋ	β	0.5
ìː	ˈi	0.6
n	n	0.6
óː	ˈo	0.636
ɛ	ɛ	0.6
<#_d	<#_d	0.667
<#_m	<#_m	0.667
<#_p	<#_p	0.667
<#_t	<#_ʧ	0.667
éː	ɛ	0.167
i	-	0.667
l	l	0.467
w_#>	w_ɪ	0.667
ʋ	ɥ_ˈɛ	0.167
t_#>	t_#>	0.438
