Corsican	Auvergnat	probability
ˈɛ_rː	ˈe_ʀ	1.0
ˈɔ_r	u_ʀ	1.0
ˈu_tː	ˈu	1.0
ˈo_r	ˈu	1.0
ˈe_l	ˈa_l	1.0
ˈa_t	ˈe_j	1.0
ˈa_r	ˈa	1.0
ˈa_l	ˈa_w	1.0
ˈa_k	ɡʲ	1.0
ʧː	-	1.0
ʦː	s	1.0
ʤ	-	1.0
ʣ	j	1.0
ʒ	-	1.0
ʎ	ʎ	1.0
ʃː	j_s	1.0
ʃ	ɪ	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	lː	1.0
w	-	1.0
v_u	ˈɔ_w	1.0
v_e	w	1.0
tː_u	j	1.0
tː_e	j	1.0
tː	t	1.0
t_a	d_ɔ	1.0
s_t	t	1.0
s_k	ʧ	1.0
r_t	ˈɔ_ʀ	1.0
nː	-	1.0
n_ˈɛ	n_ˈe	1.0
n_t	ŋ	1.0
mː	m	1.0
kː	ʧ	1.0
j_u	y	1.0
fː	f	1.0
dː	j	1.0
c	ʎ	1.0
bː	b	1.0
r	ʀ	0.929
lː	l	0.923
f	f	0.842
p	p	0.826
b	b	0.823
r_u	ʀ_ə	0.813
ˈe	ˈe	0.807
ɟ	ʤ	0.797
m	m	0.786
s	s	0.765
a	ɔ	0.752
l	l	0.655
d	-	0.633
ʧ	s	0.63
v	v	0.63
ɡ	ɡ	0.618
j	l	0.591
sː	-	0.589
ˈa	ˈa	0.522
ˈi	ˈi	0.494
e	ə	0.486
n	ŋ	0.483
i	ə	0.47
n	n	0.447
t	t	0.446
o	œ	0.423
sː	ˈɔ_s	0.411
ˈɛ	ˈɪ	0.408
k	ʧ	0.407
k	k	0.405
ˈu	ˈy	0.396
ɡ	-	0.382
ˈa	ˈã	0.371
l	-	0.345
ˈɔ	ˈu	0.309
t	d	0.308
ˈi	ˈĩ	0.302
u	ə	0.294
o	u	0.288
o	-	0.288
j	w	0.275
ˈɔ	w	0.274
ˈɔ	w_ˈɔ	0.262
ˈɛ	ˈẽ	0.255
ˈu	ˈỹ	0.235
s	ɪ	0.235
e	ʀ_ə	0.234
ˈu	w_ˈẽ	0.227
ˈi	-	0.205
ɟ	-	0.203
ˈɛ	ˈe	0.199
v	vʲ	0.199
ˈo	ˈu	0.194
ˈe	ˈɪ	0.193
ˈo	w_ˈɔ̃	0.191
k	-	0.188
t	-	0.187
r_u	ə	0.187
b	-	0.177
i	ɒ	0.174
e	-	0.174
ˈo	ˈũ	0.171
v	-	0.171
ˈo	ˈa_w	0.168
u	ɔ	0.166
u	-	0.159
f	fʲ	0.158
ˈo	ˈœ	0.156
d	z	0.145
a	ɒ	0.144
ˈu	ˈu	0.142
i	-	0.136
j	j	0.134
i	i	0.13
d	d	0.129
p	b	0.128
ʧ	-	0.115
ʧ	z	0.111
e	e	0.105
u	ŋ	0.093
u	s	0.093
d	dʲ	0.093
m	-	0.092
i	ĩ	0.09
m	mʲ	0.081
ˈɛ	ˈɪ̃	0.078
lː	-	0.077
ʧ	ʃ	0.073
ʧ	ʒ	0.071
ˈɛ	ə	0.061
ˈo	w	0.06
ˈo	u	0.06
t	ʧ	0.059
u	ʎ	0.058
u	k	0.058
ˈɔ	ˈœ	0.057
ˈa	ˈe	0.057
ˈɔ	ˈɔ	0.054
n	-	0.054
