Hessian	Hessian	probability
ˈɛ̃ː	ˈɛː_n	1.0
ˈɛː	-	1.0
ˈɑː_#>	ˈɛː_ɾ_#>	1.0
ˈæː	-	1.0
ˈõː	ˈøː_n	1.0
ˈoĩ̯	ˈeː_x	1.0
ˈĩː	ˈuː_n	1.0
ˈeː	-	1.0
ˈãː	ˈɪə̯_n	1.0
ˈaː_l	ˈɑu̯_d̥	1.0
ˈau̯	ˈyː	1.0
ʦ	t	1.0
ʤ̥	-	1.0
ʣ̥	-	1.0
ʒ̊	-	1.0
ʃ_d̥	s_t	1.0
ɡ̊	-	1.0
ɛː	iː	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
v̥	p	1.0
v_æ̆	ə_v̥	1.0
s_ˈeː	z	1.0
pʰ	p	1.0
oː	ˈʊə̯	1.0
n_#>	#>	1.0
m	m	1.0
kʰ	k	1.0
f_#>	p_#>	1.0
<#_ʦ	<#_t	1.0
<#_ʀ	<#_ɾ	1.0
<#_ɡ̊	<#_x	1.0
<#_h_ˈau̯	<#_ˈyː	1.0
<#_h	<#	1.0
<#	<#_ˈoː	1.0
l	ɫ	0.897
ʀ	ɾ	0.882
v	ʋ	0.857
ˈɑ	ˈɑ	0.846
n	n	0.841
ˈiː	ˈiː	0.8
f	v	0.8
#>	ə_#>	0.735
p	b	0.714
ɣ̊	x	0.667
æ̆	ə_ɾ	0.667
j	j	0.667
i	-	0.667
x	x	0.625
ˈu	ˈɔ	0.615
ˈɔ	ˈʊə̯	0.6
ˈæ	ˈæ	0.6
ˈoi̯	ˈiː	0.6
z̥	t	0.6
k	x	0.6
ˈɑː	ˈɛː	0.571
b̥	b	0.571
ˈoː	ˈʊə̯	0.556
ˈo	ˈɔ	0.556
ˈaː	ˈʊə̯	0.556
ˈai̯	ˈi	0.556
ˈi	ˈɪ	0.538
ɐ	ɾ	0.533
ˈuː	ˈuː	0.5
ˈuː	-	0.5
t	t	0.5
ɐ	ɾ_ə	0.467
ˈɛ	-	0.444
ˈai̯	-	0.444
d̥	d	0.439
ˈe	ˈæ	0.429
s	z	0.429
ˈɔ	-	0.4
ˈæ	-	0.4
ˈoi̯	-	0.4
z̥	ˈeː_t	0.4
d̥	d̥	0.39
ˈa	ˈɑ	0.385
x	k	0.375
ˈɛ	ˈæ	0.333
ɣ̊	x_ə	0.333
æ̆	ɾ	0.333
j	ˈiːə̯	0.333
i	i	0.333
ʃ	s	0.292
ˈe	ˈʏ	0.286
ˈe	-	0.286
t	d	0.286
p	p	0.286
b̥	v̥	0.286
ʃ	x	0.25
ˈu	ˈu	0.231
ˈa	ˈɛː	0.231
ˈa	ˈɒː	0.231
s	t	0.229
ˈɛ	ˈɑ	0.222
ˈoː	ˈɛː	0.222
ˈoː	ˈøː	0.222
ˈo	ˈʏ	0.222
ˈo	-	0.222
ˈaː	ˈɪə̯	0.222
ˈaː	ˈæi̯	0.222
t	d̥	0.214
ʃ	s_x	0.208
ˈiː	-	0.2
s	z̥	0.2
k	k	0.2
k	-	0.2
ˈi	ˈi	0.192
ˈi	-	0.192
ʃ	k	0.167
n	n_d	0.159
ˈɑ	-	0.154
ˈu	-	0.154
ˈa	-	0.154
ˈɑː	ˈɑ	0.143
ˈɑː	ˈæ	0.143
ˈɑː	-	0.143
v	v	0.143
s	s	0.143
b̥	-	0.143
d̥	-	0.122
#>	k_#>	0.122
f	v̥	0.12
ʀ	-	0.118
ʃ	ŋ_k	0.083
f	p	0.08
ˈi	ˈeː	0.077
#>	n_#>	0.061
l	ˈɑu̯	0.051
l	l	0.051
