Aragonese	Western Lombard	probability
d	d	1.0
f	f	1.0
i	ĩ	1.0
p	p	1.0
r	r	1.0
u	-	1.0
ŋ	ˈũː	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʧ	ʤ	1.0
e	a	0.061
j	e	0.051
k	k	0.951
m	m	0.931
s	ʃ	0.061
ˈa	ˈãː	0.061
ˈo	ˈyː	0.391
ˈu	ˈyː	0.121
β	-	0.21
θ	s	0.481
a	-	0.092
j	j	0.232
o	ˈũː	0.122
ˈe	ˈeː	0.072
ˈe	ˈa	0.122
ˈe	ˈe	0.252
ˈi	ˈa	0.102
ˈu	ˈy	0.772
β	ʋ	0.742
b	b	0.283
l	l	0.83
o	-	0.53
ɾ	r	0.73
ʎ	ʤ	0.253
ʎ	-	0.423
ʝ	d	0.143
ˈo	ˈu	0.503
w	f	0.274
ð	t	0.054
θ	ʧ	0.424
e	i	0.085
j	-	0.15
l	j	0.055
l	-	0.115
ɡ	ɡ	0.645
ɣ	-	0.25
ɣ	ɡ	0.75
n	n	0.576
ɾ	-	0.266
ʎ	j	0.166
ˈo	ˈɔ	0.106
b	ʋ	0.717
e	-	0.177
e	e	0.677
j	ʧ	0.567
n	-	0.307
w	-	0.587
ð	d	0.667
ɡ	-	0.117
ʝ	-	0.857
ˈa	ˈaː	0.217
ˈu	ˈu	0.107
n	ɲ	0.118
o	u	0.348
ɡ	k	0.238
ʎ	l	0.158
ˈa	ˈa	0.678
ˈe	-	0.298
ˈi	ˈi	0.898
a	a	0.89
m	-	0.069
s	s	0.939
t	t	0.919
w	w	0.139
ð	-	0.279
ˈe	ˈɛ	0.109
