Czech	Kashubian	probability
a	a	1.0
b	b	1.0
f	f	1.0
j	j	1.0
m̩	m_ə	1.0
p	p	1.0
r̝	ʐ	1.0
r̝̊	-	1.0
s	s	1.0
ɟ	ʣ	1.0
ɪ	ə	1.0
ɲ	ɲ	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈl̩	ˈɞ_w	1.0
ˈr̩	ˈɛ_r	1.0
ˈu	ˈõ	1.0
ˈuː	ˈu	1.0
ˈɛː	ˈe	1.0
ˈɪ	ˈə	1.0
iː	i	0.761
x	x	0.651
ɛ	-	0.051
ɦ	-	0.131
ˈaː	-	0.351
m	m_j	0.582
v	v	0.822
ˈa	ˈa	0.312
ˈo	ˈɔ	0.282
ˈɛ	ˈe	0.112
l	w	0.563
z	z	0.893
ˈa	ˈɞ	0.383
ˈiː	ˈa	0.173
d	ʣ	0.144
k	k	0.84
n	n	0.964
o	ɔ	0.644
r	ˈa_r	0.094
t	ʦ	0.434
c	ʦ	0.175
c	ʧ	0.825
ˈa	ˈɔ	0.305
ˈiː	j_ˈɞ	0.25
ˈɛ	ˈɞ	0.135
d	d	0.856
k	-	0.16
o	u̯ɛ	0.356
r	r	0.906
t	t	0.566
ɛ	a_ŋ	0.146
ɛ	ɛ	0.646
l	l	0.437
v	v_j	0.137
z	ŋ_z	0.107
ˈiː	ˈi	0.577
ˈɛ	ˈɛ	0.537
iː	ʤ_i	0.08
m	m	0.418
ɛ	a	0.068
ˈo	u̯ˈɛ	0.668
iː	ʧ_i	0.159
x	k	0.349
ɛ	e	0.089
ɦ	ɡ	0.869
ˈaː	ˈɞ	0.649
ˈɛ	ˈa	0.199
