Bavarian	Faroese	probability
a	a	0.266
a	ɪ	0.23
a	ʊ	0.174
a	ɹ_ʊ	0.088
a	ɡ̊_a	0.074
a	n̥	0.055
b̥	b̥	0.73
b̥	v	0.182
d̥	d̥	0.373
d̥	tʰ	0.198
d̥	w	0.161
d̥	j	0.091
d̥	-	0.077
eɐ̯	a	1.0
f	f	0.593
f	v	0.141
f	p	0.133
f	-	0.071
f	ʰpː	0.052
h	h	0.895
h	-	0.105
i	a	0.489
i	l	0.256
i	ŋ	0.256
j	l̥	0.418
j	l	0.386
j	-	0.104
j	w	0.059
k	ʰʧ	0.228
k	ɡ̊ː	0.205
k	ʰʧː	0.205
k	ʰkː	0.129
k	k	0.119
k	-	0.113
kʰ	kʰ	0.874
kʰ	ʧʰ	0.103
l	l	0.878
l	j	0.052
m	m	0.701
m	-	0.153
m	v	0.092
m	mː	0.054
n	n	0.335
n	a	0.291
n	-	0.178
n	nː	0.083
p	tː	1.0
p͡f	ʰp	0.924
p͡f	tː	0.076
r	ɹ	0.785
r	-	0.176
s	s	0.58
s	t	0.26
s	ʰt	0.066
s	ʃ	0.058
t	t	0.369
t	-	0.188
t	v	0.182
t	j	0.087
t	ʰt	0.066
t	tʰ	0.059
x	k	0.439
x	ʰtː	0.245
x	-	0.153
x	v	0.084
x	ʧ	0.079
ç	k	0.931
ŋ	ŋ	0.565
ŋ	ɡ̊	0.194
ŋ	ɲ	0.098
ŋ	ʰkː	0.088
ɐ	ɹ	0.842
ɐ	ˈœ	0.138
ə	-	0.431
ə	a	0.254
ə	ɪ	0.254
ə	ʊ	0.061
ɡ̊	ɡ̊	0.546
ɡ̊	-	0.158
ɡ̊	ʤ̊ː	0.095
ɡ̊	ɹ	0.067
ɡ̊	ʤ̊	0.066
ʃ	s	0.611
ʃ	ʃ	0.366
ʋ	v	0.599
ʋ	-	0.221
ʋ	kʰ_v	0.119
ʋ	ˈʉːu̯	0.061
ʦ	tʰ	0.585
ʦ	ʈ	0.115
ʦ	t	0.104
ʦ	ʰtː	0.102
ʦ	-	0.061
ˈa	ˈa	0.547
ˈa	ˈɔ	0.193
ˈa	w	0.166
ˈa	ˈɛːa̯	0.065
ˈai̯	ˈʊ̯iː	0.629
ˈai̯	ˈʊ	0.183
ˈai̯	ˈɛ	0.08
ˈai̯	ˈai̯	0.056
ˈai̯	ˈa	0.052
ˈau̯	ˈʉːu̯	0.645
ˈau̯	ˈɪ	0.093
ˈau̯	ˈʏ	0.086
ˈau̯	ˈʊ	0.082
ˈau̯	ˈɛːi̯	0.06
ˈaː	ˈɛːi̯	0.331
ˈaː	ˈʊ	0.278
ˈaː	ˈa	0.15
ˈaː	ˈɔːi̯	0.09
ˈaː	ˈɛːa̯	0.09
ˈaː	ˈœ	0.062
ˈe	ˈɛ	0.298
ˈe	ˈuː	0.203
ˈe	j	0.138
ˈe	ˈøː	0.115
ˈe	ˈɔːu̯	0.067
ˈe	ˈɔ	0.064
ˈe	ˈeː	0.064
ˈe	ˈɔːi̯	0.051
ˈeɐ̯	ˈøː	0.291
ˈeɐ̯	ˈɔːu̯	0.283
ˈeɐ̯	ˈʊ̯iː	0.283
ˈeɐ̯	ˈʊ	0.143
ˈeː	ˈɛ	0.35
ˈeː	ˈeː	0.253
ˈeː	ˈɔ̯aː	0.146
ˈeː	ˈɛːa̯	0.104
ˈeː	ˈøː	0.095
ˈeː	ˈiː	0.053
ˈi	ˈɪ	0.512
ˈi	ˈeː	0.151
ˈi	ˈiː	0.096
ˈi	ˈɛ	0.072
ˈi	ˈʊ̯iː	0.066
ˈi	ˈɔ	0.065
ˈiɐ̯	ˈɔːu̯	0.299
ˈiɐ̯	ˈøː	0.227
ˈiɐ̯	ˈɪ	0.169
ˈiɐ̯	ˈʉːu̯	0.169
ˈiɐ̯	ˈɛːa̯	0.069
ˈiɐ̯	ˈʏ	0.067
ˈiː	ˈɪ	0.593
