Bavarian	Faroese	probability
a	ʊ_ɹ	0.27
a	a	0.251
a	ɪ_ɹ	0.24
a	n̥	0.101
a	w	0.051
b̥	b̥	0.756
b̥	v	0.148
b̥	tʰ	0.058
b̥	ɹ	0.042
d̥	d̥	0.396
d̥	-	0.207
d̥	w	0.194
d̥	j	0.065
d̥	j_ʊ	0.059
f	f	0.684
f	v	0.079
f	v_ʊ	0.079
f	p	0.079
f	p_ʊ	0.045
h	h	0.937
h	-	0.062
i	l	0.361
i	ʊ	0.361
i	a	0.201
j	l̥	0.503
j	l	0.153
j	-	0.133
j	ʎ	0.069
j	l_ʊ	0.062
j_b̥	l	0.234
k	k	0.425
k	ʰʧ	0.236
k	ʰkː	0.131
kʰ	kʰ	0.808
kʰ	ʧʰ	0.079
kʰ	-	0.071
l	l	0.768
l	-	0.101
l	nː	0.075
l	j	0.045
m	m	0.585
m	m_ʊ	0.13
m	v_a	0.091
m	-	0.06
m	v	0.052
n	n	0.35
n	a	0.323
n	-	0.136
n	nː	0.088
n	n̥	0.073
p	tː	0.234
p͡f	ʰp	0.66
p͡f	tː	0.154
r	ɹ	0.919
r	r	0.049
r	-	0.042
s	s	0.555
s	t	0.27
s	ʰt	0.127
s	sː	0.038
s	ʃ	0.028
t	t	0.445
t	-	0.396
t	v	0.087
t	j	0.055
t	d̥	0.033
x	k	0.618
x	v	0.242
x	s	0.093
x_t	ʰtː	1.0
ç	k	0.74
ç	ʧ	0.131
ŋ	ŋ	0.44
ŋ	ɡ̊	0.149
ŋ	a	0.116
ŋ	ʰkː	0.087
ŋ	ɲ	0.085
ɐ	ɹ	0.736
ɐ	ˈœ_t	0.176
ɐ	-	0.088
ə	-	0.403
ə	ɪ	0.266
ə	a	0.148
ə	w	0.089
ɡ̊	ɡ̊	0.503
ɡ̊	ʤ̊	0.151
ɡ̊	-	0.139
ɡ̊	ʊ_ɹ	0.095
ɡ̊	k	0.068
ʃ	s	0.492
ʃ	ʃ	0.261
ʃ	s_k	0.158
ʃ	-	0.073
ʋ	v	0.545
ʋ	-	0.202
ʋ	kʰ	0.099
ʋ	ˈʉːu̯	0.069
ʋ	ˈɪ	0.069
ʦ	tʰ	0.452
ʦ	t	0.168
ʦ	ɹ_ʈ	0.096
ʦ	ʧʰ	0.096
ʦ	-	0.096
ˈa	ˈa	0.329
ˈa	ˈɔ	0.195
ˈa	ˈɛːa̯	0.195
ˈa	ˈɛːi̯	0.129
ˈa	w	0.129
ˈai̯	ˈʊ̯iː	0.455
ˈai̯	ˈʊ̯iː_ɹ	0.16
ˈai̯	ʊ̯ˈiː	0.106
ˈai̯	ˈa	0.081
ˈai̯	ˈai̯	0.081
ˈau̯	ˈʉːu̯	0.616
ˈau̯	ˈʊ	0.203
ˈau̯	ˈɪ	0.136
ˈaː	ˈa	0.202
ˈaː	ɹ	0.202
ˈaː	ˈɔːi̯	0.202
ˈaː	ˈɛːi̯	0.195
ˈaː	ˈœ	0.09
ˈe	ˈɛ	0.245
ˈe	j	0.213
ˈe	ˈøː	0.213
ˈe	ˈeː	0.122
ˈe	ˈɔːi̯	0.122
ˈeɐ̯	ˈøː	0.361
ˈeɐ̯	ˈʊ̯iː	0.361
ˈeɐ̯	ˈɔːu̯	0.201
ˈeː	ˈøː	0.232
ˈeː	ˈɛ	0.232
ˈeː	ˈeː	0.14
ˈeː	ˈiː	0.14
ˈeː	ˈʊ	0.066
ˈi	ˈɪ	0.364
ˈi	ˈiː	0.194
ˈi	ˈeː	0.136
ˈi	ˈʊ̯iː	0.1
ˈi	ˈɛ	0.074
ˈiɐ̯	ˈøː	0.349
ˈiɐ̯	ˈɛːa̯	0.265
ˈiɐ̯	ˈʏ	0.16
ˈiɐ̯	ˈɔːu̯	0.108
ˈiː	ˈɔːu̯	0.294
ˈiː	ˈɪ	0.142
ˈiː	ˈɛːi̯	0.044
ˈo	ˈa	0.324
ˈo	ˈʊ	0.158
ˈo	ˈœ	0.104
ˈo	ˈeː	0.104
ˈo	ˈiː	0.104
ˈou̯	ˈɔ̯aː	0.415
ˈou̯	ˈɛːi̯	0.35
ˈoɐ̯	ˈaːi̯	0.259
ˈoɐ̯	ˈɛːi̯	0.154
ˈoɐ̯	ˈɔ_t	0.134
ˈoɐ̯	ˈa	0.134
ˈoɐ̯	ˈai̯	0.106
ˈoː	ˈɛːa̯	0.577
ˈoː	ˈɔ	0.153
ˈoː	-	0.153
ˈoː	ˈʊ	0.102
ˈu	ˈʊ	0.331
ˈu	ˈɔ	0.266
ˈu	ˈœ	0.197
ˈu	ˈɪ	0.09
ˈu	ˈuː	0.071
ˈuɐ̯	ˈɔːu̯	0.889
ˈuɐ̯	ˈɪ	0.083
ˈy	ˈiː	0.234
ˈɒ	ˈa	0.425
ˈɒ	ˈɛ	0.28
ˈɒ	ˈɛːa̯	0.108
ˈɒ	ˈɔ	0.065
ˈɒː	ˈɛːa̯	0.388
ˈɒː	ˈɔ̯aː	0.163
ˈɔ	ˈɔ	0.404
ˈɔ	ˈɔ̯aː	0.16
ˈɔ	ˈœ	0.113
ˈɔ	ˈuː	0.109
ˈɔ	ˈoː	0.109
ˈɛ	j	0.143
ˈɛ	ˈœ	0.143
ˈɛ	-	0.143
ˈɛ	ˈeː	0.143
ˈɛ	ˈøː	0.143
ˈʏ	ˈɪ	0.234
