American English	Ripuarian	probability
b	b	0.971
d	d	0.447
d	t	0.25
d	k	0.152
d	-	0.106
f	f	0.93
h	h	0.951
i	ə	0.689
i	e	0.165
i	ɪ	0.145
j	j	0.91
j	ˈyː	0.09
k	k	0.469
k	ɕ	0.332
k	x	0.133
kʰ	k	0.94
kʰ	-	0.06
l	l	1.0
m	m	1.0
n	n	0.643
n	ŋ	0.329
oʊ̯	-	0.703
oʊ̯	ə	0.297
p	f	0.852
p	p	0.148
pʰ	p	0.73
pʰ	f	0.27
s	z	0.494
s	s	0.317
s	ʃ	0.173
t	t	0.487
t	-	0.452
t	ʦ	0.061
tʰ	ʦ	0.955
tː	ʦ	1.0
v	v	0.521
v	n	0.253
v	ə_f	0.189
w	ʋ	0.822
w	v	0.101
z	s	0.587
z	ʀ	0.247
z	z	0.166
ð	d	1.0
ŋ	ŋ	1.0
ə	ə	0.833
ə	-	0.106
ə	ˈe	0.06
ɚ	ɐ	0.845
ɚ	-	0.109
ɡ	j	0.955
ɪ	-	1.0
ɫ	l	0.801
ɫ	ə_l	0.125
ɫ	-	0.074
ɹ	ʀ	0.627
ɹ	ɐ	0.321
ɾ	x	0.571
ɾ	s	0.429
ʃ	ʃ	1.0
ʔ	s	0.646
ʔ	ɕ	0.114
ʔ	x	0.096
ʔ	ʦ	0.095
ʤ	k	1.0
ʧ	k	0.63
ʧ	ɕ	0.224
ʧ	x	0.146
ˈaɪ̯	ˈɪ	0.261
ˈaɪ̯	ˈyː	0.197
ˈaɪ̯	ˈe	0.129
ˈaɪ̯	ˈeː	0.1
ˈaɪ̯	ˈuː	0.086
ˈaɪ̯	ˈʏ	0.083
ˈaʊ̯	ˈuː	0.418
ˈaʊ̯	ˈoː	0.155
ˈaʊ̯	ˈo	0.144
ˈaʊ̯	ˈaʊ̯	0.1
ˈaʊ̯	ˈyː	0.086
ˈaʊ̯	ˈoʊ̯	0.063
ˈeɪ̯	ˈaː	0.343
ˈeɪ̯	ˈɛː	0.285
ˈeɪ̯	ˈa	0.275
ˈeɪ̯	ˈuː	0.051
ˈi	ˈoː	0.24
ˈi	ˈøː	0.189
ˈi	ˈeː	0.182
ˈi	ˈiː	0.101
ˈi	ˈaʊ̯	0.078
ˈi	ˈyː	0.051
ˈoʊ̯	ˈeː	0.418
ˈoʊ̯	ˈoː	0.143
ˈoʊ̯	ˈiː	0.119
ˈoʊ̯	ˈa	0.097
ˈoʊ̯	ˈaː	0.055
ˈu	ˈoː	0.304
ˈu	ˈɔ	0.217
ˈu	ɐ	0.168
ˈu	ˈa	0.125
ˈu	ˈe	0.105
ˈu	ˈeː	0.051
ˈæ	ˈa	0.829
ˈæ	ˈaː	0.108
ˈɑ	ˈɛː	0.258
ˈɑ	ˈaː	0.212
ˈɑ	ˈa	0.168
ˈɑ	ˈɔ	0.163
ˈɑ	ˈɛ	0.128
ˈɔ	ˈoː	0.232
ˈɔ	ˈɛ	0.202
ˈɔ	ˈa	0.133
ˈɔ	ˈyː	0.133
ˈɔ	ˈɔ	0.11
ˈɔ	ʋ	0.095
ˈɔ	ˈiː	0.095
ˈɛ	ˈɛ	0.248
ˈɛ	ˈeː	0.143
ˈɛ	ˈœ	0.119
ˈɛ	ˈuː	0.1
ˈɛ	ˈɛː	0.07
ˈɛ	ˈa	0.054
ˈɛ	ˈaː	0.05
ˈɝ	ˈʊ	0.518
ˈɝ	ˈiː	0.161
ˈɝ	ˈøː	0.15
ˈɝ	ˈoː	0.087
ˈɝ	ˈɛː	0.084
ˈɪ	ˈe	0.276
ˈɪ	ˈœ	0.178
ˈɪ	ˈɪ	0.154
ˈɪ	ˈɛ	0.146
ˈɪ	ˈʏ	0.092
ˈɪ	ˈeː	0.087
ˈʊ	ˈoː	0.54
ˈʊ	ˈɔ	0.46
ˈʌ	ˈo	0.481
ˈʌ	ˈʊ	0.118
ˈʌ	ˈoː	0.1
ˈʌ	ˈɔ	0.086
ˈʌ	ˈu	0.082
ˈʌ	ˈeː	0.069
ˈʌɪ̯	ˈiː	0.454
ˈʌɪ̯	ˈeː	0.234
ˈʌɪ̯	ˈɪ	0.106
ˈʌɪ̯	ˈaː	0.104
ˈʌɪ̯	ˈɛː	0.102
θ	d	0.61
θ	t	0.339
