Kashubian	Belarusian	probability
ʣ	ʣʲ	1.0
ʒ̊	ʐ̊	1.0
ʒ	ʐ	1.0
ʉ	u	1.0
ɾ	r	1.0
ɲ	nʲ	1.0
ɡ̊	x	1.0
ɡ	ɣ	1.0
ɛ_l	a_lʲ	1.0
ə_ˈ	ɨ_ˈ	1.0
ɔ_ˈ	a	1.0
x	x	1.0
w_u	o	1.0
v_j	vʲ	1.0
v	v	1.0
t	t	1.0
r̝	r	1.0
r	r	1.0
p_j	pʲ	1.0
õ	u	1.0
n	n	1.0
m_ə	m	1.0
m_j	mʲ	1.0
l	lʲ	1.0
j_a	e	1.0
f	vʲ	1.0
e_ˈ	a	1.0
b̥	b̥	1.0
k	k	0.909
ʃ	-	0.852
e	e	0.807
ˈ	ˈ	0.802
ã	æ	0.794
i	ɨ	0.786
ʦ	ʦʲ	0.767
d̥	d̥	0.75
w	ɫ	0.743
m	m	0.729
ʤ	-	0.724
j	æ	0.651
d	d	0.639
u	o	0.616
ə	i	0.604
ʧ	ʧ	0.599
u̯ɛ	a	0.576
z	z	0.558
ɔ	o	0.545
b	b	0.539
p	pʲ	0.538
s	sʲ	0.496
s	s	0.47
p	p	0.462
b	bʲ	0.461
ɔ	-	0.455
z	zʲ	0.442
ɛ	e	0.436
u̯ɛ	o	0.424
ɞ	o	0.413
a	a	0.383
j	e	0.349
ʧ	kʲ	0.326
ɞ	a	0.301
ɞ	æ	0.286
ʤ	ɣʲ	0.276
m	mʲ	0.271
ə	ɨ	0.252
d̥	d̥ʲ	0.25
a	-	0.24
ʦ	ʦ	0.233
i	i	0.214
u	a	0.21
d	-	0.208
a	a_ˈ	0.208
ã	u	0.206
ˈ	-	0.198
ɛ	a	0.198
e	a	0.193
u	ɵ	0.173
a	e	0.17
d	ʣʲ	0.153
ʃ	ʃ	0.148
ə	ʉ	0.144
w	w	0.106
ɛ	ɵ	0.097
w	-	0.097
ɛ	o	0.096
k	-	0.091
ɛ	ɛ	0.083
ʧ	ʤ̥	0.074
ɛ	æ	0.058
w	ʌ_ɫ	0.053
