Old High German	Zeelandic	probability
ˈɛ_r	ɾ	1.0
ˈɛ_h	ˈiːə̯	1.0
ˈɑː	ˈɛː	1.0
ˈɑ_r	ˈæ_ɾ	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈɑ_h	ˈɛː	1.0
ˈuː	ˈyː	1.0
ˈoː	ˈʊə̯	1.0
ˈou̯	ˈʊə̯	1.0
ˈio̯	ˈiː	1.0
ˈie̯	ˈiː	1.0
ˈeː	ˈɪə̯	1.0
ʦː	t	1.0
ʦ	t	1.0
ɡ	x	1.0
ɛ_h	iː	1.0
ɛ	ə	1.0
ə	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ɑ	k_ə	1.0
x_t	x_t	1.0
x	-	1.0
v	ʋ	1.0
s̻ː	t	1.0
s̻	t	1.0
s_ɑ	z_ə	1.0
s_t	s_t	1.0
s_k	s	1.0
rː	-	1.0
p͡f	p	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈʊə̯	1.0
nː	n	1.0
m	m	1.0
lː	ɫ	1.0
j	j	1.0
i_f	v̥	1.0
h	-	1.0
fː	p	1.0
eː_n	ə	1.0
e_n	ə	1.0
b_ɑ	v_ə	1.0
l	ɫ	0.957
n	n	0.926
f	v	0.92
r	ɾ	0.897
d	d	0.897
ɑ	ə	0.809
w	ʋ	0.793
b	b	0.759
u	ə	0.753
o	-	0.698
ˈiː	ˈi	0.658
ˈɑ	ˈɑ	0.655
i	-	0.641
s	z	0.621
ˈuo̯	ˈuː	0.612
k	x	0.595
t	d̥	0.593
ˈe	ˈæ	0.59
kː	k	0.581
ˈiu̯	ˈiː	0.568
ˈei̯	ˈɪə̯	0.53
ˈi	ˈɪ	0.479
ˈiu̯	-	0.432
ˈu	ˈɔ	0.423
kː	x	0.419
ˈe	-	0.41
k	k	0.405
ˈi	ˈi	0.401
ˈɛ	ˈæ	0.384
i	ə	0.359
ˈiː	-	0.342
s	s	0.315
o	ə	0.302
ˈo	ˈɔ	0.293
ˈo	ˈʊə̯	0.287
ˈei̯	ˈæi̯	0.272
u	-	0.247
ˈɑ	ˈɛː	0.239
ˈuo̯	ˈu	0.23
ˈɛ	ˈɛː	0.224
ˈɛ	ˈeː	0.224
ˈei̯	-	0.198
ˈu	ˈu	0.174
ˈu	ˈøː	0.169
ˈɛ	-	0.167
ɑ	-	0.166
ˈu	ˈʏ	0.165
ˈuo̯	ˈuːə̯	0.158
t	t	0.146
t	-	0.137
t	d	0.124
ˈo	ˈoː	0.12
b	v	0.12
b	-	0.12
w	-	0.113
ˈo	ˈʏ	0.111
ˈo	ˈøː	0.111
d	-	0.103
w	w	0.095
f	p	0.08
ˈo	-	0.078
n	-	0.074
ˈi	ˈæ	0.073
r	ɾ_ə	0.073
ˈu	ˈɪ	0.069
ˈɑ	ˈɒː	0.064
s	z̥	0.064
