Nynorsk Norwegian	Alsatian	probability
b	b̥	0.941
b	-	0.062
d	d̥	0.552
d	t	0.441
e	-	0.684
e	ə	0.258
e	i	0.056
f	f	1.0
h	h	0.895
h	-	0.086
j	-	0.258
j	ɡ̊	0.224
j	l	0.148
j	v	0.148
j	ˈɛ	0.106
k	ʃ	0.54
k	-	0.31
k	k	0.118
kʰ	kʰ	0.516
kʰ	-	0.268
kʰ	f	0.128
kʰ	ɡ̊	0.078
l	l	1.0
lː	l	1.0
m	m	0.927
m	e	0.072
m_j	m	1.0
n	n	0.755
n	-	0.242
nː	n	0.462
nː	n_d̥	0.342
nː	-	0.099
nː	l	0.077
p	f	0.77
p	p͡f	0.229
s	s	0.54
s	ʃ	0.457
s_e	s	1.0
sː	s	0.501
t	s	0.572
t	t	0.239
t	ʦ	0.124
t	s_ə	0.06
tʰ	ʦ	0.59
tʰ	d̥	0.381
v	ʋ	0.251
ç	-	0.208
ç	kʰ	0.208
ç	t	0.208
çː	ʦ	1.0
ŋ	i	1.0
ŋː	ŋ	1.0
ŋː_e	ŋ	1.0
ɑ	ə	0.804
ɑ	-	0.074
ɑ	i	0.072
ɑ	ʋ	0.049
ə	m	0.501
ɛ	ə	0.66
ɛ	-	0.166
ɡ	ɡ̊	0.472
ɡ	-	0.22
ɡ	j	0.187
ɡ	x	0.08
ɡ	v	0.044
ɡː	k	0.758
ɡː	-	0.185
ɲ	ŋ	1.0
ɾ	ʁ	0.968
ɾ	-	0.035
ɾ_e	ʁ	0.501
ʃ	ʃ	0.496
ʃ	s	0.484
ʉ	ˈo	0.251
ʋ	-	0.429
ʋ	ʋ	0.427
ʋ	w	0.054
ʋ	v	0.054
ʋ	kʰ	0.049
ʰkː	k	1.0
ʰtː	x	0.794
ʰtː	t	0.165
ˈeː	ˈæ	0.53
ˈeː	ˈei̯	0.259
ˈeː	ˈe	0.103
ˈeː	ˈɒ	0.076
ˈiː	ˈiː	0.487
ˈiː	ˈi	0.296
ˈiː	ˈeː	0.093
ˈiː	ˈiː_t	0.087
ˈoː	ˈoː	0.514
ˈoː	ˈɒ	0.117
ˈoː	ˈæː	0.117
ˈoː	ˈɒː	0.087
ˈoː	ˈeː	0.087
ˈuː	ˈʊː	0.479
ˈuː	ˈʊː_t	0.168
ˈuː	ˈiː	0.111
ˈuː	ˈøː	0.108
ˈuː	ˈəi̯	0.065
ˈyː	ˈiː	0.843
ˈyː	ˈei̯	0.106
ˈæ	ˈæ	0.063
ˈæɪ̯	ˈəi̯	0.824
ˈæɪ̯	ˈaː	0.174
ˈæʉ̯	ˈoː_t	0.32
ˈæʉ̯	ˈʊː	0.211
ˈæʉ̯	ˈoː	0.211
ˈæʉ̯	ˈœ	0.139
ˈæːɪ̯	ˈəi̯	1.0
ˈøː	ˈeː	0.422
ˈøː	ˈiː	0.376
ˈøː	ə	0.146
ˈœ	ˈi	0.288
ˈœ	ˈæː	0.288
ˈœʏ̯	ˈʊː	0.37
ˈœʏ̯	ˈeː	0.213
ˈœʏ̯	ˈoː	0.123
ˈœʏ̯	ˈai̯	0.083
ˈɑ	ˈɒ	0.713
ˈɑ	ˈɒː	0.26
ˈɑ	ˈaː	0.042
ˈɑː	ˈɒ	0.537
ˈɑː	ˈɒː	0.441
ˈɔ	ˈoː	0.375
ˈɔ	ˈu	0.234
ˈɔ	ˈɒ	0.134
ˈɔ	-	0.098
ˈɛ	ˈe	0.293
ˈɛ	ˈi	0.283
ˈɛ	ˈɒ	0.102
ˈɛ	ˈəi̯	0.083
ˈɛ	ˈɛ	0.081
ˈɛː	ˈe	0.251
ˈɪ	ˈi	0.755
ˈɪ	ˈe	0.121
ˈɪ	ˈɔi̯	0.121
ˈʉ	ˈo	0.519
ˈʉ	ˈø	0.187
ˈʉ	ˈyː	0.13
ˈʉ	ˈe	0.124
ˈʉː	ˈyː	0.502
ˈʉː	ˈʊː	0.125
ˈʉː	ˈæː	0.095
ˈʉː	ˈøi̯	0.095
ˈʉː	ˈo	0.093
ˈʊ	ˈu	0.389
ˈʊ	ˈo	0.312
ˈʊ	ˈi	0.272
ˈʏ	ˈu	0.388
ˈʏ	w	0.244
ˈʏ	ˈi	0.23
ˈʏ	ˈiː	0.104
