Zeelandic	Swiss German	probability
ˈɛː_t	ˈɒ_sː	1.0
ˈɔ_n	ˈøi̯	1.0
ˈɒː	ˈɒ	1.0
ˈɑu̯	ˈɒ_l	1.0
ˈæi̯	ˈæi̯	1.0
ˈuːə̯	-	1.0
ˈoː	-	1.0
ˈiːə̯	ˈeː	1.0
ɾ_d̥	r_t	1.0
ɾ	r	1.0
ɪ	i	1.0
ŋ_k	ɡ̊	1.0
ŋ	ŋ	1.0
x_t	χ_t	1.0
v̥	f	1.0
s_x	ʒ̊	1.0
n_d̥	ŋ	1.0
m	m	1.0
l	l	1.0
k_ə	k͡χ	1.0
iː	æ	1.0
i	i	1.0
d̥	t	1.0
b	b̥	1.0
ɫ	l	0.905
ʋ	ʋ	0.903
ˈyː	ˈuː	0.866
z	z̥	0.866
ə	ə	0.822
n	n	0.784
x	ɡ̊	0.782
v	v̥	0.769
ˈu	ˈu	0.755
ˈɪ	ˈi	0.667
ˈɑ	ˈɒ	0.666
z̥	z̥	0.609
ˈeː	ˈæ	0.573
d	d̥	0.572
ˈuː	ˈuə̯	0.571
ˈæ	ˈæ	0.57
ˈɔ	ˈu	0.56
j	-	0.516
ˈiː	ˈyː	0.511
ˈɪə̯	ˈæi̯	0.499
j	j	0.484
ˈʊə̯	ˈoː	0.458
k	ɣ̊	0.458
ˈʏ	ˈu	0.45
p	f	0.437
ˈuː	ˈyə̯	0.429
ˈi	ˈi	0.429
d	t	0.428
ˈeː	-	0.427
t	t	0.412
s	ʒ̊	0.392
z̥	s	0.391
ˈøː	-	0.389
ˈɛː	ˈɒː	0.384
s	ʃ	0.381
ˈi	ˈiː	0.377
ˈiː	ˈiə̯	0.355
ˈʏ	ˈø	0.349
ˈʊə̯	ˈau̯	0.323
ˈøː	ˈu	0.309
ˈøː	ˈo	0.302
t	ʦ	0.301
p	p͡f	0.291
t	sː	0.287
p	fː	0.272
ˈɪə̯	-	0.269
k	χː	0.264
ˈɛː	ˈoː	0.246
ˈu	-	0.245
ˈɔ	ˈo	0.234
ˈɪə̯	ˈeː	0.232
v	b̥	0.231
s	ʃː	0.227
ˈʊə̯	ˈo	0.219
n	-	0.216
ˈɔ	-	0.206
ˈʏ	-	0.201
ˈi	ˈi_r	0.194
ˈɪ	ˈy	0.183
x	ɡ̊ː	0.177
ˈɑ	ˈɒː	0.175
ˈæ	ˈɒ	0.169
k	χ	0.166
ˈɑ	ˈæ	0.159
ˈɪ	-	0.15
ə	-	0.149
ˈɛː	ˈæː	0.134
ˈyː	-	0.134
ˈiː	-	0.134
z	ʒ̊	0.134
ˈæ	ˈi	0.13
ˈæ	-	0.13
ˈɛː	-	0.125
ˈɛː	ˈɒ	0.111
ʋ	ʋ_ˈiː	0.097
k	ɡ̊	0.067
ɫ	l_ˈiə̯	0.065
