Afrikaans	Swedish	probability
b	b	1.0
d	d	0.453
d	tʰ	0.243
d	-	0.209
d	ɕ	0.052
d	t	0.039
f	f	0.69
f	v	0.15
f	v_a	0.083
f	-	0.048
j	-	0.574
j	ˈɵ	0.272
k	k	0.453
k	kʰ	0.265
k	ɡ	0.117
k	-	0.096
k	ɕ	0.058
l	l	1.0
m	m	0.78
m	mː_a	0.159
m	mː	0.058
n	n	0.728
n	-	0.138
n	nː	0.124
n_t	nː	1.0
p	p	0.617
p	pː	0.12
p	pʰ	0.12
p	v	0.084
p	-	0.044
r	r	0.776
r	-	0.098
r	r_a	0.04
r	rː	0.037
r	ɳ	0.034
r_t	ɖ	1.0
r_ə	ɳ	1.0
s	s	0.719
s	ɧ	0.134
s	sː	0.059
s	s_a	0.038
s	-	0.038
t	d	0.338
t	t	0.254
t	-	0.202
t	tʰ	0.1
t	tː	0.038
v	v	0.632
v	-	0.339
v	f	0.036
v_ˈɔ	ˈɵ	0.473
w	v	0.476
w	ɕ	0.176
w	ˈɔ	0.176
w	ˈøː	0.115
ŋ	ŋː	0.562
ŋ	-	0.231
ŋ	ŋ	0.186
ŋ_k	kː	1.0
ə	ɛ	0.41
ə	-	0.327
ə	ɪ	0.084
ə	ʊ	0.084
ə	a	0.048
ɦ	h	1.0
ɫ	l	0.786
ɫ	lː	0.085
ɫ	-	0.072
ɫ	ɛ_l	0.048
ˈa	ˈa	0.559
ˈa	ˈɑː	0.13
ˈa	ˈɛ	0.116
ˈa	ˈoː	0.057
ˈa	-	0.049
ˈi	j_ˈʉː	0.275
ˈi	ˈyː	0.26
ˈi	ˈʉː	0.11
ˈi	ˈeː	0.096
ˈi	ˈæː	0.073
ˈoːi̯	ˈøː	0.224
ˈu	ˈuː	0.764
ˈu	ˈøː	0.169
ˈu	ˈœ	0.049
ˈuː	ˈuː	0.473
ˈuːi̯	ˈuː	1.0
ˈyː	ˈyː	1.0
ˈæ	ˈa	0.5
ˈæ	ˈɑː	0.5
ˈæː	ˈɛ	0.574
ˈæː	ˈæː	0.272
ˈœ	ˈʏ	0.549
ˈœ	ˈʊ	0.253
ˈœ	ˈɵ	0.149
ˈœi̯	ˈiː	0.473
ˈœu̯	ˈa	0.683
ˈœu̯	ˈɵ	0.213
ˈœɪ̯	ˈʉː	0.644
ˈœɪ̯	ˈʏ	0.11
ˈœɪ̯	ˈɵ	0.107
ˈœɪ̯	ˈœ	0.072
ˈɑː	ˈoː	0.472
ˈɑː	ˈɑː	0.329
ˈɑː	-	0.07
ˈɑː	ˈa	0.066
ˈɑː	ˈæː	0.054
ˈɔ	ˈʊ	0.28
ˈɔ	ˈɵ	0.264
ˈɔ	ˈɔ	0.264
ˈɔ	ˈʉː	0.079
ˈɔ	-	0.062
ˈɔː	ˈœ	0.574
ˈɔː	ˈɑː	0.272
ˈə	ˈɪ	0.607
ˈə	ˈɛ	0.112
ˈə	ˈɵ	0.085
ˈə	ˈiː	0.068
ˈə	ˈɔ	0.05
ˈəɪ̯	ˈiː	0.482
ˈəɪ̯	ˈeː	0.271
ˈəɪ̯	ˈɛ	0.171
ˈəɪ̯	ˈɛː	0.068
ˈɛ	ˈɛ	0.276
ˈɛ	ˈœ	0.173
ˈɛ	ˈʏ	0.114
ˈɛ	ˈɛː	0.114
ˈɛ	ˈæ	0.114
ˈɛː	jː	0.312
ˈɛː	ˈɑː	0.148
ˈɪ	ˈʉː	1.0
ˈɪø̯	ˈoː	0.608
ˈɪø̯	ˈɛː	0.251
ˈɪə̯	ˈeː	0.286
ˈɪə̯	ˈɛ	0.172
ˈɪə̯	ˈʉː	0.138
ˈɪə̯	ˈɛː_d	0.121
ˈɪə̯	ˈøː	0.08
ˈʊə̯	ˈøː	0.391
ˈʊə̯	ˈœ	0.145
ˈʊə̯	ˈuː	0.134
ˈʊə̯	ŋ	0.057
ˈʊə̯	ˈɔ	0.057
χ	ɡ	0.385
χ	j	0.217
χ	ɡ_a	0.126
χ	-	0.099
χ	ɡː	0.069
χ_t	tː	0.106
