Čakavian	Ukrainian	probability
ʒ	ʒ	1.0
ɲ	nʲ	1.0
ɡ	ɦ	1.0
x	x	1.0
uː	ʊ	1.0
s_#>	s_#>	1.0
o_#>	ɔ_#>	1.0
o	ɔ	1.0
j	j	1.0
êː	j_ˈɑ	1.0
ê	ˈɛ	1.0
eː	ɐ	1.0
d_a	d	1.0
d	d	1.0
b	b	1.0
ǎː	ˈɔ	1.0
â	ˈɑ	1.0
a_n	m	1.0
a_k	ˈɪ_j	1.0
a_#>	ˈɑ_#>	1.0
<#_t	<#_t	1.0
<#_n	<#_nʲ	1.0
#>	e_j_#>	1.0
m	m	0.818
z	z	0.8
n	n	0.769
p	p	0.75
ôː	ˈi	0.75
k	k	0.739
ô	ˈɔ	0.7
r	r	0.696
s	s	0.684
i	e	0.667
î	ˈi	0.643
t	t	0.615
ʦ	ʦ	0.6
ûː	ˈu	0.6
e	ɛ	0.6
a	ɐ	0.6
îː	ˈi	0.571
ʋ	ʋ	0.524
l	ɫ	0.524
r̩̂	ˈɛ_r	0.5
r̩̂	r	0.5
îː	ˈɪ	0.429
ʦ	ʦʲ	0.4
ûː	ˈɔ_ʍ	0.4
t	tʲ	0.385
î	ˈɪ	0.357
l	lʲ	0.333
i	ˈɪ	0.333
s	sʲ	0.316
ô	ɔ	0.3
ʋ	ʋʲ	0.286
p	b	0.25
ôː	ˈɔ	0.25
n	nʲ	0.231
z	zʲ	0.2
e	ɐ	0.2
e	i	0.2
a	ɔ	0.2
a	-	0.2
ʋ	w	0.19
m	mʲ	0.182
r	rʲ	0.174
k	ɦ	0.174
l	ɔ_ɫ	0.143
r	ɔ_r	0.13
k	kʲ	0.087
