Dutch	Westphalian	probability
b	b	1.0
i	aɪ̯	1.0
k	k	1.0
m	m	1.0
t	t	1.0
ɪ	ɪ	1.0
ˈøː	ˈɪə̯	1.0
p	b	0.11
ŋ	ŋ	0.951
ə	-	0.711
ɦ	h	0.981
ɾ	r	0.391
ˈaː	ˈɛː	0.061
ˈaː	ˈaː	0.121
ˈeː	ˈɛː	0.091
ˈi	ˈɪɛ̯	0.051
ˈoː	ˈuːə̯	0.1
ˈoː	ˈøː	0.111
ˈyː	ˈuː	0.271
ˈœy̯	ˈuː	0.381
ˈɑu̯	ˈɔ	0.511
ˈɔ	ˈuːə̯	0.271
ˈɛi̯	ɐ	0.111
ˈɛi̯	ˈiː	0.811
χ	-	0.211
d̥	-	0.102
z	z	0.132
ɾ	-	0.2
ˈeː	ˈɪɛ̯	0.262
ˈoː	ˈuə̯	0.072
ˈɑ	ˈɛ	0.052
ˈɑu̯	ˈʏ	0.22
ˈɑu̯	ˈuː	0.22
ˈɔ	ˈuː	0.072
χ	ç	0.212
χ	x	0.342
n	-	0.083
z	s	0.803
z̥	s	0.33
ʋ	v	0.73
ˈeː	ˈeː	0.473
ˈoː	ˈaʊ̯	0.313
ˈʏ	ˈʏ	0.703
d	-	0.124
d̥	d	0.584
v	f	0.824
v̥	ʋ	0.104
v̥	f	0.174
ə	ɐ	0.254
ɾ	ɐ	0.404
ˈaː	ˈɔː	0.64
ˈi	ˈeː	0.054
ˈi	ˈaɪ̯	0.624
ˈu	ˈøː	0.394
ˈɑ	ˈaʊ̯	0.064
ˈɛ	ˈɛ	0.474
j	j	0.375
j	ˈiɛ̯	0.625
s	-	0.05
s	s	0.415
s	ʃ	0.535
w	ˈaɪ̯	0.5
w	ˈiː	0.5
z	ʃ	0.065
ˈeː	ˈɪə̯	0.115
ˈu	ˈoː	0.525
χ	ɡ	0.175
d	d	0.876
d̥	l_t	0.066
v̥	v	0.706
ˈaː	ˈœː	0.086
ˈoː	ˈaɪ̯	0.06
ˈoː	ˈɔː	0.086
ˈɔ	ˈʊ	0.56
ˈɛ	ˈiɛ̯	0.076
f	f	0.127
f	ʋ	0.207
f	v	0.667
n	n	0.917
v	v	0.167
z̥	z	0.67
ʋ	ʋ	0.27
ˈi	ˈiː	0.187
ˈu	ˈuə̯	0.067
ˈɛ	ˈɛː	0.077
ˈɛ	ˈa	0.077
ˈɛ	-	0.077
ˈɛ	ˈɪɛ̯	0.157
ˈɪ	ˈɪ	0.967
ˈʏ	ˈyə̯	0.297
d̥	t	0.248
ˈoː	ˈʊ	0.078
ˈœy̯	ˈyː	0.28
ˈɑ	ˈa	0.78
ˈɔ	ˈɔ	0.058
p	p	0.89
ɫ	l	0.99
ˈyː	ˈyː	0.729
ˈœy̯	ˈʊ	0.339
ˈɛi̯	ˈɪ	0.059
