Neapolitan	Occitan	probability
a	a	1.0
f	f	1.0
l	l	1.0
m	m	1.0
nː	n	1.0
o	u	1.0
rː	r	1.0
tː	t	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʤː	-	1.0
kː	s_#>	0.061
lː	-	0.371
u	u	0.561
v	b	0.081
w	ɥ	0.411
ə	e	0.141
ʃ	-	0.091
ʤ	ʤ	0.671
ˈo	ˈu	0.911
d	d	0.902
e	-	0.562
k	ɣ	0.052
mː	-	0.2
n	n	0.862
r	ɾ	0.362
t	ð	0.452
ɾ	ɾ	0.442
ʃ	<#_e	0.072
ʎː	ʎ	0.592
ˈe	ˈe	0.702
ˈɛ	ˈɛ	0.862
k	k	0.683
ɾ	r	0.183
ʃː	s	0.673
ˈi	ˈi	0.673
ˈɔ	ˈu	0.283
i	i	0.274
kː	-	0.334
w	w	0.194
ɡ	ɡ	0.924
v	v	0.665
w	-	0.395
ˈɔ	ˈɔ	0.45
j	l	0.716
p	p	0.856
t	t	0.46
ɡ	ɣ	0.076
ɾ	-	0.356
ˈa	s_#>	0.076
k	p	0.107
kː	k	0.557
ə	ɔ	0.337
ʃː	j_s	0.327
ˈi	ˈe	0.327
ˈu	ˈy	0.487
d	ʤ	0.098
e	e	0.438
i	-	0.138
i	e	0.588
j	j	0.278
k	-	0.158
mː	m	0.8
n	-	0.138
r	r	0.638
u	-	0.358
v	β	0.208
ə	-	0.468
ʎː	l	0.408
ˈe	ˈɛ	0.298
ˈu	ˈu	0.38
ˈɔ	ˈa_w	0.178
ˈɛ	ˈe	0.138
lː	l	0.629
p	β	0.139
s	s	0.989
t	j	0.089
ʃ	s	0.789
ʤ	-	0.329
ˈa	ˈa	0.889
ˈo	ˈe	0.089
