Emilian	Emilian	probability
ˈɛː	ˈe	1.0
ˈiː_r	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈa_j	ˈe	1.0
ˈa_d	e_ʝ	1.0
ʤ	ʧ	1.0
ɲ	ɲ	1.0
ŋ_t	ˈe_n	1.0
ŋ_#>	n_o_#>	1.0
z_#>	θ_#>	1.0
v_#>	w_#>	1.0
t_#>	#>	1.0
r_e	ɾ_n	1.0
r_a	ɾ_a	1.0
r_#>	#>	1.0
p_j	p_l	1.0
p	p	1.0
l_ˈa	l_ˈe	1.0
k_#>	k_o_#>	1.0
j_ˈɔː	ˈi	1.0
j_ˈa	l_ˈa	1.0
f	f	1.0
d_e	j	1.0
a_r	e_ɾ	1.0
<#_θ	<#_θ	1.0
<#_ˈaː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
k	k	0.947
a	a	0.937
r	ɾ	0.902
m	m	0.893
n	n	0.867
ˈaː	ˈa	0.846
t	t	0.778
ʧ	ʎ	0.75
ɡ	ɣ	0.733
#>	o_#>	0.723
e_r	ɾ_o	0.714
d	ð	0.706
ˈʌu̯	ˈo	0.7
u	o	0.7
ˈɛ	ˈa	0.68
s	s	0.676
ð	ʧ	0.667
w	w	0.667
ˈa	ˈa	0.65
ˈe	ˈi	0.647
ˈæ	j	0.625
ˈʌ	ˈo	0.6
ˈiː	ˈe	0.6
l	l	0.591
ˈuː	ˈu	0.583
θ	θ	0.571
v	b	0.552
ˈɔ	w_ˈe	0.545
l_#>	l_#>	0.545
ˈo	ˈu	0.538
b	b	0.538
ŋ	n	0.531
ˈɔː	w_ˈe	0.5
z	s	0.5
n_#>	o_#>	0.5
n_#>	e_#>	0.5
j	ʎ	0.5
i	i	0.5
i	-	0.5
l_#>	ʎ_o_#>	0.455
θ	-	0.429
ˈuː	w_ˈe	0.417
ˈʌ	-	0.4
ˈiː	ˈi	0.4
ˈæ	ˈe	0.375
ˈa	ˈe	0.35
ð	-	0.333
z	s_e	0.333
w	-	0.333
e	ɾ	0.333
ˈɔː	ˈo	0.312
ˈo	w_ˈe	0.308
b	β	0.308
ˈʌu̯	ˈu	0.3
u	u	0.3
e_r	ɾ_e	0.286
v	β	0.276
ˈɔ	ˈo	0.273
ɡ	ɡ	0.267
e	ˈe	0.267
e	e	0.267
ʧ	k_l	0.25
j	l	0.25
j	-	0.25
ŋ	ŋ	0.219
ˈɔː	w	0.188
ˈɔ	ˈu	0.182
ˈɛ	j_ˈe	0.18
ˈe	ˈe	0.176
ˈe	-	0.176
d	-	0.176
z	z	0.167
s	e_s	0.162
ˈo	ˈo	0.154
ˈaː	j	0.154
b	b_w	0.154
l	ʎ	0.136
n	-	0.133
e	ˈi	0.133
ŋ	-	0.125
#>	e_#>	0.123
d	d	0.118
s	ʃ	0.108
m	b_ɾ	0.107
v	β_j	0.103
l	o	0.091
l	l_ˈe	0.091
l	-	0.091
t	ð	0.083
t	j_t	0.083
#>	a_#>	0.077
v	p	0.069
ŋ	ˈe_n	0.062
ŋ	o	0.062
ˈɛ	ˈe	0.06
t	-	0.056
s	o	0.054
k	-	0.053
