Latvian	Slovenian	probability
ʧ	ʃ	1.0
ʎ	l	1.0
ʃ	-	1.0
ɲ	-	1.0
ɡ̊	ɡ̊	1.0
ɛː	eː_́	1.0
æː	eː	1.0
z̥	z	1.0
z	z	1.0
w	-	1.0
v	ʋ	1.0
u	-	1.0
r̩	ə	1.0
r	r	1.0
l̩	l_ɔ	1.0
k_t	ʧ	1.0
j	t_ə	1.0
iː	iː	1.0
e	ə_ʦ	1.0
d̥	d̥	1.0
d_u	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
ai̯	eː_̀	1.0
a_r	r_aː	1.0
m	m	0.843
ɡ	ɡ	0.819
t	t	0.808
ʣ	ʒ	0.8
uː	i_́	0.642
n	n	0.612
l	w	0.594
ʦ	-	0.581
aː	-	0.567
uɔ̯	-	0.547
p	p	0.545
k	k	0.545
iɛ̯	eː	0.521
au̯	u	0.5
au̯	-	0.5
æ	-	0.485
iɛ̯	-	0.479
p	-	0.455
k	-	0.455
uɔ̯	oː	0.453
aː	aː	0.433
ʦ	k_o	0.419
n	-	0.388
uː	iː	0.358
a	a	0.358
s	s	0.357
i	-	0.354
æ	eː	0.343
l	l	0.315
ɛ	a	0.268
s	oː_́	0.259
a	oː	0.247
a	-	0.247
i	ə	0.217
ɛ	ɛ	0.209
ʣ	ʒ̊	0.2
ɛ	ɛː_̀	0.193
ɛ	-	0.193
t	-	0.192
ɡ	-	0.181
æ	ɔː	0.172
m	-	0.157
a	aː	0.147
i	ə_́	0.144
ɛ	e	0.136
s	n	0.126
s	x	0.117
s	-	0.102
l	l_eː	0.091
i	ɔː_́	0.088
i	eː	0.085
i	́_t	0.057
i	eː_́	0.055
