Swedish	Middle English	probability
ˈʊ	ˈu	1.0
ˈɑː_ɡ	ˈæi̯	1.0
ˈœː_r	r	1.0
ˈæː	ˈɛː	1.0
ˈæ	ˈɛ	1.0
ʊ	-	1.0
ʈː	r_t	1.0
ʈ	t	1.0
ʂ	r_s	1.0
ɪ	iː	1.0
ɛ_r	ə_r	1.0
ɖ	r_d	1.0
ɕ	ʧ	1.0
ɔ	eː	1.0
v_ˈɛː	w	1.0
tː	t	1.0
tʰ	θ	1.0
s_k	ʃ	1.0
rː	r_θ	1.0
pː	p	1.0
pʰ	p	1.0
p	p	1.0
nː	n	1.0
m	m	1.0
lː	ɫ	1.0
kʰ	k	1.0
jː	ˈæi̯	1.0
j_ˈʉː	ˈeː	1.0
h	h	1.0
f	f	1.0
b	b	1.0
d	d	0.933
r	r	0.887
t	t	0.849
s	s	0.823
n	n	0.806
ŋ	-	0.773
mː	m	0.768
ˈiː	ˈiː	0.749
kː	k	0.746
ˈɛː	-	0.628
v	w	0.622
ˈeː	ˈɔː	0.62
ˈuː	ˈoː	0.616
ˈʏ	ˈi	0.598
ɡː	ʤ	0.596
ɳ	r_n	0.591
ˈa	ˈa	0.584
l	l	0.577
ɡ	-	0.554
a	ə_n	0.553
ˈɑː	ˈaː	0.532
ɧ	s	0.529
ˈoː	ˈɛː	0.513
ˈœ	-	0.492
ɛ	ə	0.477
ˈøː	ˈɛː	0.474
ɧ	ʃ	0.471
k	k	0.465
ŋː	ŋ	0.463
j	-	0.449
l	ɫ	0.423
ˈʉː	ˈuː	0.421
ˈɛ	ˈɛ	0.415
ɳ	r	0.409
ɡː	-	0.404
ˈʏ	-	0.402
ˈɵ	ˈu	0.397
ˈɔ	ˈɔ	0.386
ˈɛː	ˈɔː	0.372
a	ə	0.37
ˈɪ	ˈi	0.362
j	h	0.336
ˈʉː	-	0.335
ˈyː	ˈiː	0.333
ˈyː	ˈeː	0.333
ˈyː	-	0.333
k	ʧ	0.333
ˈøː	ˈeː	0.33
ˈɔ	ˈu	0.327
ˈœ	ˈeː	0.321
ˈɪ	ˈiː	0.319
ɛ	-	0.315
ˈɑː	ˈa	0.313
ɡ	ˈæi̯	0.308
v	v	0.297
ˈɔ	-	0.287
ŋː	ɡ	0.269
ŋː	n_ɡ	0.269
ˈɛ	-	0.257
kː	k_ə	0.254
ˈoː	ˈoː	0.25
mː	m_b	0.232
ŋ	ŋ_ɡ	0.227
ˈɵ	ˈi	0.22
j	l	0.215
ˈa	ˈɔː	0.209
ɛ	ɡ_ə	0.208
ˈuː	ˈɔ	0.204
ˈoː	ˈɔː	0.203
k	ç	0.202
ˈɪ	ˈi_ŋ	0.199
ˈøː	-	0.196
ˈeː	ˈi	0.194
ˈɵ	ˈuː	0.192
ˈœ	ˈɔ	0.187
ˈuː	-	0.18
ˈʉː	ˈeː	0.169
ˈɑː	-	0.155
t	t_ə	0.151
ˈɛ	ˈi	0.139
ɡ	x	0.138
ˈeː	ˈeː	0.132
s	z	0.129
ˈiː	ˈi	0.126
ˈiː	ˈeː	0.126
ˈɪ	-	0.121
ˈa	-	0.121
ˈɵ	w_ˈu	0.12
n	n_ə	0.102
ˈɛ	ˈeː	0.096
ˈɛ	ˈɔː	0.093
n	-	0.093
ˈa	ˈaː	0.086
v	ʍ	0.081
ˈʉː	ˈɔ	0.075
ˈɵ	-	0.072
d	θ	0.067
ˈeː	ˈau̯	0.054
