Sicilian	Campidanese	probability
a	a	0.885
a	-	0.092
b	b	1.0
bː	bː	0.884
bː	v	0.116
c	p	0.622
c	t	0.378
cː	j	0.892
cː	ɣ	0.108
d	d	0.667
d	-	0.242
d	b	0.091
dː	ð	1.0
f	f	1.0
i	e	0.703
i	-	0.213
i	i	0.084
j	-	0.544
j	d	0.253
j	z	0.099
k	k	0.649
k	ɣ	0.23
k	-	0.121
kː	k	1.0
l	l	0.976
lː	lː	1.0
m	m	0.983
mː	mː	0.56
mː	m	0.408
n	n	0.905
n	nː	0.054
nː	nː	0.373
nː	ɖ	0.318
nː	n	0.187
nː	s	0.055
o	o	1.0
p	p	0.783
p	β	0.102
p	b	0.061
p	k	0.054
r	r	0.515
r	j	0.192
r	-	0.173
r	a_r	0.087
s	s	1.0
sː	sː	1.0
t	t	0.534
t	ð	0.439
tː	t	0.974
u	u	0.386
u	ˈo	0.375
u	o	0.21
v	b	0.611
v	-	0.26
v	v	0.063
v	β	0.06
w	w	0.414
w	-	0.157
w	o	0.133
w	ˈo	0.133
w	ɡ	0.087
z	ʒ	0.576
z	z	0.424
ç	f	1.0
ŋ	ŋ	0.684
ŋ	v	0.316
ɕ	ʒ	0.536
ɕ	ʧ	0.301
ɕ	ʤ	0.078
ɕ	k	0.056
ɖː	ɖː	0.709
ɖː	sː	0.186
ɖː	-	0.105
ɟː	ʣ	0.843
ɟː	β	0.101
ɟː	-	0.056
ɡ	ɡ	0.635
ɡ	ɣ	0.343
ɪ	i	0.619
ɪ	e	0.216
ɪ	-	0.098
ɲ	ɲː	1.0
ɲː	n	0.362
ɲː	ɲː	0.35
ɲː	nː	0.241
ɽ	r	0.791
ɽ	u	0.209
ɾ	r	0.786
ɾ	rː	0.099
ɾ	-	0.083
ʃ	i_s	0.902
ʃ	s	0.098
ʃː	ʃː	0.91
ʃː	s	0.09
ʈ	bː	0.48
ʈ	t	0.26
ʈ	ð	0.26
ʈː	t	1.0
ʊ	u	0.889
ʊ	i	0.062
ʐ	r	1.0
ʐː	rː	1.0
ʤ	b	1.0
ʤː	-	0.5
ʤː	ʤ	0.5
ʦ	ʦ	0.884
ʦ	t	0.116
ʦː	z	0.488
ʦː	sː	0.429
ʦː	ʦ	0.083
ʧː	ʧ	0.897
ʧː	t	0.103
ˈa	ˈa	0.917
ˈa	-	0.074
ˈe	ˈe	1.0
ˈi	ˈi	0.76
ˈi	ˈe	0.222
ˈo	ˈo	1.0
ˈu	ˈu	0.604
ˈu	ˈo	0.371
ˈɔ	ˈo	0.874
ˈɔ	ˈu	0.067
ˈɛ	ˈe	1.0
