Danish	Danish	probability
ˈʌˀ	-	1.0
ˈɛː	-	1.0
ˈɛˀ	-	1.0
ˈɔː	-	1.0
ˈɑˀ	-	1.0
ˈœː	ˈæ	1.0
ˈy_ɡ̊	kː	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈi	ˈi	1.0
ˈeː	-	1.0
ʨ	-	1.0
ɡ̊_ʁ	ɡ̊_r	1.0
ə_n	æ	1.0
ə_#>	#>	1.0
ɕ	z̥	1.0
ɐˀ	r	1.0
ŋˀ	ŋ	1.0
ŋ	-	1.0
ð̞ˠ_#>	tː_#>	1.0
w_#>	b̥_#>	1.0
pʰ	p͡f	1.0
n_ə	n_d̥	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ	ɣ̊	1.0
jˀ	ɡ̊	1.0
j_ˈɛ	ˈæ	1.0
j_#>	ɡ̊_#>	1.0
i	i	1.0
h	h	1.0
f	v̥	1.0
d̥_#>	ʦ_#>	1.0
<#_ˈɔ	<#	1.0
<#_ˈæ	<#_ˈɒ	1.0
<#_ʦʰ	<#_d̥	1.0
<#_ʁ	<#_r	1.0
<#_ɡ̊	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_h	1.0
n	n	0.909
ʋ	ʋ	0.889
ə	ə	0.872
ʁ	r	0.857
d̥	tː	0.848
lˀ	l	0.833
ˈæ	ˈɒ	0.786
s_#>	z̥_#>	0.778
b̥	b̥	0.75
ʦʰ	ʦ	0.727
ˈuˀ	ˈuː	0.7
ˈøː	-	0.667
ˈøˀ	-	0.667
ˈoˀ	ˈuə̯	0.667
ˈiˀ	ˈiː	0.667
nˀ_#>	ŋ_#>	0.667
ð̞ˠ	sː	0.654
ˈʌ	-	0.625
ˈɔˀ	ˈɒː	0.625
ˈo	-	0.625
ˈœˀ	-	0.6
ˈyː	ˈyː	0.6
ɡ̊	kː	0.583
ˈø	-	0.571
ˈiː	-	0.571
nˀ	n_d̥	0.571
ˈe	ˈi	0.556
s_ɡ̊	ʒ̊	0.545
ˈu	ˈu	0.538
ˈeˀ	ˈæi̯	0.533
ɐ	r	0.531
ˈɛ	-	0.5
ˈɑ	-	0.455
s_ɡ̊	ʃː	0.455
j	ˈæ	0.444
ˈø	ˈy	0.429
ˈiː	ˈiː	0.429
nˀ	n	0.429
s	z̥	0.421
ɡ̊	χː	0.417
<#	<#_ʋ	0.417
ˈœˀ	ˈoː	0.4
ˈyː	-	0.4
w	ɡ̊	0.385
ˈʌ	ˈɒ	0.375
ˈɔˀ	-	0.375
ˈœ	ˈu	0.375
ˈœ	-	0.375
ˈyˀ	ˈyː	0.375
ˈyˀ	ˈiə̯	0.375
ˈo	ˈo	0.375
ɐ	ə_r	0.375
ˈɑ	ˈɒ	0.364
#>	ə_#>	0.353
s	ʒ̊	0.342
ˈøː	ˈøː	0.333
ˈøˀ	ˈoː	0.333
ˈoˀ	-	0.333
ˈiˀ	-	0.333
nˀ_#>	#>	0.333
j	χː	0.333
ˈu	ˈo	0.308
ˈuˀ	-	0.3
ˈe	ˈæ	0.278
ʦʰ	tː	0.273
ˈeˀ	-	0.267
ˈœ	ˈy	0.25
ˈyˀ	-	0.25
b̥	fː	0.25
<#	<#_ɡ̊	0.25
w	b̥_ə	0.231
w	-	0.231
s_#>	#>	0.222
j	ɡ̊	0.222
ˈɛ	ˈæ	0.214
ˈæ	ˈɒː	0.214
ˈeˀ	ˈeː	0.2
ð̞ˠ	d̥	0.192
ˈɑ	ˈæ	0.182
ˈe	-	0.167
lˀ	l_d̥	0.167
<#	<#_ˈɒ	0.167
<#	<#_ʋ_ˈu	0.167
ˈu	-	0.154
ð̞ˠ	tː	0.154
w	χː	0.154
#>	tː_#>	0.147
#>	r_#>	0.147
ˈɛ	χː	0.143
ˈɛ	ˈe	0.143
ʁ	r_ˈy	0.143
s	ʃː	0.132
#>	ɡ̊_#>	0.118
#>	b̥_#>	0.118
ʋ	fː	0.111
ɐ	-	0.094
n	ə	0.091
d̥	χː_tː	0.091
ə	-	0.085
d̥	ʦ	0.061
#>	χː_#>	0.059
#>	fː_#>	0.059
s	z̥_ˈuː	0.053
s	-	0.053
