Scots	Swiss German	probability
b	b̥	1.0
d	t	0.713
d	d̥	0.205
d	tː	0.033
d	ɡ̊	0.033
d	ʦ	0.032
e	-	0.594
e	ə	0.392
f	f	0.854
f	b̥	0.141
h	h	1.0
i	i	1.0
j	j	0.384
j	-	0.164
j	ˈæ	0.164
j	ˈøi̯	0.155
k	χ	0.542
k	k	0.319
k	χ_ə	0.114
kʰ	χ	0.693
kʰ	f	0.278
l	l	0.838
l	l_ə	0.056
l	ɡ̊_l	0.053
l	l_ɡ̊	0.037
l	ə_l	0.032
m	m	0.932
m	mː	0.047
m	-	0.041
n	n	0.683
n	-	0.315
n_d	ŋ	1.0
p	f_ə	0.283
p	fː	0.246
p	f	0.246
p	p͡f	0.151
pʰ	p͡f	1.0
r	r	0.924
r	-	0.046
s	s	0.597
s	ʃ	0.368
s	-	0.033
t	t	0.442
t	sː	0.245
t	s	0.151
t	ʦ	0.139
tʰ	ʦ	0.935
tʰ	b̥	0.056
v	b̥	0.57
v	f	0.389
w	ʋ	0.878
w	r	0.068
w	-	0.056
x	χ	1.0
z	s	0.683
z	r	0.221
ç	ɡ̊	0.241
ð	d̥	0.543
ð	tː	0.35
ð	t	0.08
ŋ	ŋ	0.964
ŋ	i	0.04
ə	ə	0.78
ə	-	0.106
ə	ˈe	0.061
ə	i	0.052
əi̯	i	0.822
əi̯	ə	0.111
ɡ	ɡ̊	0.825
ɡ	-	0.174
ɪ	ə	0.667
ɪ	-	0.333
ɫ	l	1.0
ɹ	ˈiː	1.0
ʃ	ʃ	1.0
ʍ	ʋ	1.0
ʧ	χ	1.0
ˈa	ˈø	0.118
ˈaːɪ̯	ˈuː	0.372
ˈaːɪ̯	ˈyː	0.182
ˈe	ˈɒ	0.255
ˈe	ˈæi̯	0.163
ˈe	ˈɒː	0.131
ˈe	ˈyː	0.089
ˈe	ˈɛi̯	0.089
ˈe_n	ˈei̯	1.0
ˈei̯	ˈoː	0.183
ˈei̯	ˈau̯	0.154
ˈei̯	ˈæ	0.124
ˈei̯	ˈou̯	0.111
ˈei̯	ˈøː	0.097
ˈeː	ˈɒː	0.715
ˈeː	ˈæ	0.197
ˈi	ˈau̯	0.209
ˈi	ˈyː	0.127
ˈi	ˈy	0.118
ˈi	ˈiə̯	0.118
ˈi	ˈeː	0.076
ˈiː	ˈyː	0.164
ˈiː	ˈy	0.112
ˈiː	ˈyə̯	0.112
ˈiː	ˈoː	0.112
ˈiː	ˈou̯	0.085
ˈoe̯	ˈe	0.241
ˈø	ˈuə̯	0.576
ˈø	ˈɒ	0.281
ˈø	ˈo	0.113
ˈɑ	ˈɒː	0.314
ˈɑ	ˈæ	0.22
ˈɑ	ˈɒ	0.191
ˈɑ	ˈa	0.145
ˈɑ	ˈɛi̯	0.098
ˈɑː	ˈɒ	0.297
ˈɑː	ˈa	0.171
ˈɑː	ˈɒ_l	0.167
ˈɑː	ˈeː	0.139
ˈɑː	ˈøi̯	0.11
ˈɔ	ˈo	0.52
ˈɔ	ˈu	0.19
ˈɔ	ˈoː	0.143
ˈɔ	ˈɒ	0.066
ˈəi̯	ˈiː	0.484
ˈəi̯	ˈyː	0.198
ˈəi̯	ˈæ	0.114
ˈəi̯	ˈi	0.082
ˈəi̯	ˈo	0.082
ˈɛ	ˈæ	0.19
ˈɛ	ˈe	0.19
ˈɛ	ˈei̯	0.175
ˈɛ	ˈɒː	0.113
ˈɛ	ˈæː	0.091
ˈɪ	ˈi	0.345
ˈɪ	ˈɒ	0.131
ˈɪ	ˈy	0.075
ˈɪ	ˈyə̯	0.069
ˈɪ	ˈiə̯	0.069
ˈʉ	ˈuː	0.46
ˈʉ	ˈu	0.218
ˈʉ	ˈo	0.149
ˈʉ	-	0.073
ˈʉ	ˈuə̯	0.073
ˈʉ_θ	ˈuː	1.0
ˈʌ	ˈo	0.304
ˈʌ	ˈu	0.186
ˈʌ	ˈæ	0.171
ˈʌ	ˈøi̯	0.171
ˈʌʉ̯	ˈo	0.192
ˈʌʉ̯	ˈiə̯	0.192
ˈʌʉ̯	ˈy	0.146
ˈʌʉ̯	w	0.118
θ	d̥	0.793
θ	ŋ	0.094
θ	t	0.092
