Spanish	Latin	probability
d	d	1.0
f	f	1.0
p	p	1.0
r	r	1.0
ɣ	k	1.0
x	-	0.371
ɟ͡ʝ	<#_f	0.131
ɾ	-	0.111
ɾ	r_ɛ	0.311
ˈi	ˈɛ	0.081
β	p_ɛ	0.051
θ	s_k	0.061
θ	k_ɛ̃ː	0.261
e	ɛ̃ː	0.42
k	k	0.822
w	-	0.792
x	sː	0.2
ŋ	ŋ	0.822
ɲ	n_e	0.12
ɲ	n	0.732
ˈa	ˈa	0.442
ˈe	ˈa	0.052
ˈe	ˈɪ	0.202
β	p	0.372
a	a	0.173
b	b	0.333
i	-	0.073
i	iː	0.793
o	oː	0.063
s	s	0.943
ˈe	ɛ	0.153
ˈi	ˈiː	0.803
ˈu	ˈuː	0.683
i	i	0.134
j	ɛ̃ː	0.104
m	m	0.904
ʝ	-	0.074
ˈe	ɪ	0.054
ˈo	ˈoː	0.364
θ	-	0.174
θ	k	0.404
a	ãː	0.5
j	i	0.185
j	-	0.655
l	ɫ	0.635
o	ɔ	0.085
o	ʊ̃ː	0.665
ɟ͡ʝ	ɡ	0.205
ʧ	ɫ_t	0.055
ʧ	k_t	0.945
ˈa	ˈaː	0.515
ˈi	ˈi	0.065
e	ɛ	0.226
k	kː	0.066
m	-	0.096
t	tː	0.066
x	k_ʊ	0.36
ɡ	ɡʷ	0.136
ɡ	ɡ	0.736
ɾ	r	0.536
ˈo	ˈʊ	0.306
β	b	0.296
θ	s	0.056
b	w	0.667
n	n_ɛ̃ː	0.07
n	n	0.877
ð	t	0.917
ɟ͡ʝ	ɫ	0.447
ˈe	ˈeː	0.17
ˈe	ˈɛ	0.207
ˈu	ˈʊ	0.317
β	w	0.237
a	i_ãː	0.058
a	aː	0.08
e	ɪ	0.258
k	kʷ	0.088
w	ˈɔ	0.208
x	j	0.068
ŋ	-	0.178
ɟ͡ʝ	<#_h	0.078
ɡ	k	0.128
ɲ	nː	0.148
ʝ	d_i	0.058
ʝ	lʲː	0.868
ˈo	ˈau̯	0.078
ˈo	ˈɔ	0.138
l	ʊ_ɫ	0.059
l	l	0.189
t	t	0.89
ɟ͡ʝ	p_ɫ	0.139
