Afrikaans	Old English	probability
b	b	0.984
d	d	0.588
d	θ	0.36
f	f	0.858
f	v	0.09
i	iːy̯	1.0
j	j	1.0
k	ʧ	0.387
k	k	0.349
k	-	0.156
k	ʧː	0.059
m	m	0.916
m	mː	0.071
n	n	0.81
n	-	0.094
n	nː	0.087
p	p	0.902
p	pː	0.098
r	r	0.892
s	s	0.775
s	ʃ	0.116
s	z	0.061
t	t	0.525
t	d	0.262
t	θ	0.09
v	w	0.702
v	ʍ	0.19
v	v	0.081
w	w	1.0
ŋ	ŋ	0.952
ə	e	0.398
ə	o	0.346
ə	i	0.126
ə	-	0.122
ɦ	h	1.0
ɫ	l	0.654
ɫ	ɫ	0.238
ɫ	o_l	0.063
ˈa	ˈɑ	0.347
ˈa	ˈæɑ̯	0.213
ˈa	ˈæ	0.151
ˈa	ˈoː	0.126
ˈa	ˈɛ	0.05
ˈi	ˈeːo̯	0.775
ˈi	ˈiːy̯	0.076
ˈi	ˈɑː	0.072
ˈoːi̯	ˈæːɑ̯	1.0
ˈu	ˈoː	0.555
ˈu	ˈeː	0.445
ˈuː	ˈoː	1.0
ˈuːi̯	ˈeː	0.679
ˈuːi̯	ˈuː	0.321
ˈyː	ˈuː	0.482
ˈyː	ˈiːy̯	0.261
ˈyː	ˈyː	0.167
ˈyː	ˈæː	0.09
ˈæ	ˈi	1.0
ˈæː	ˈeo̯	0.714
ˈæː	ˈæɑ̯	0.241
ˈœ	ˈy	0.855
ˈœ	ˈeo̯	0.145
ˈœi̯	ˈiː	1.0
ˈœu̯	ˈæɑ̯	0.717
ˈœu̯	ɫ	0.187
ˈœu̯	w	0.096
ˈœɪ̯	ˈuː	0.812
ˈœɪ̯	ˈyː	0.129
ˈœɪ̯	ˈeːo̯	0.059
ˈɑː	ˈæːɑ̯	0.225
ˈɑː	ˈɑ	0.16
ˈɑː	ˈæː	0.154
ˈɑː	ˈæ	0.118
ˈɑː	ˈeo̯	0.11
ˈɑː	ˈoː	0.095
ˈɔ	ˈu	0.624
ˈɔ	ˈo	0.201
ˈɔ	ˈoː	0.07
ˈɔ	ˈuː	0.059
ˈɔː	ˈeːo̯	0.738
ˈɔː	ˈæ	0.262
ˈə	ˈi	0.868
ˈə	ˈo	0.053
ˈə	ˈeːo̯	0.052
ˈəɪ̯	ˈiː	0.421
ˈəɪ̯	ˈɑː	0.288
ˈəɪ̯	ˈeː	0.16
ˈəɪ̯	ˈeːo̯	0.097
ˈɛ	ˈi	0.448
ˈɛ	ˈe	0.437
ˈɛ	ˈyː	0.064
ˈɛ	ˈeo̯	0.051
ˈɛː	ˈɑ	0.679
ˈɛː	ˈe	0.321
ˈɪ	ˈiy̯	0.675
ˈɪ	ˈeː	0.325
ˈɪø̯	ˈu	0.873
ˈɪø̯	ˈo	0.127
ˈɪə̯	ˈe	0.447
ˈɪə̯	ˈɑː	0.218
ˈɪə̯	ˈi	0.151
ˈɪə̯	ˈeo̯	0.075
ˈɪə̯	ˈæː	0.07
ˈʊə̯	ˈo	0.355
ˈʊə̯	ˈæːɑ̯	0.241
ˈʊə̯	ˈiːy̯	0.183
ˈʊə̯	ˈɑː	0.068
ˈʊə̯	ˈy	0.068
χ	ɡ	0.249
χ	j	0.213
χ	ʤ	0.189
χ	ɣ	0.154
χ	ç	0.077
χ	x	0.076
