East Low German	Swabian	probability
ae̯	eə̯	1.0
b	b	0.961
d	d	0.99
f	f	0.852
f	b	0.145
h	h	0.954
j	ɡ	0.911
j	j	0.089
k	ç	0.411
k	ɡ	0.346
k	x	0.243
kʰ	kʰ	1.0
l	l	1.0
m	m	0.844
m	b	0.056
m	-	0.056
n	n	0.596
n	a	0.296
n	ʁ_a	0.055
n	-	0.053
p	f	0.912
p	b̥͡f	0.062
r	ʁ	1.0
s	s	0.617
s	ʃ	0.324
s	ɡ_s	0.058
t	s	0.403
t	d	0.358
t	ʦ	0.08
t	ʕ_ʦ	0.051
tʰ	ʦ	0.91
tʰ	d	0.09
v	ʋ	0.919
w	ʋ	1.0
x	x	0.61
x	ɡ	0.39
z	s	1.0
æ	ʌ	0.489
æ	-	0.396
æ	ˈiː	0.066
ç	ɡ	0.643
ç	ç	0.3
ç	x	0.057
ŋ	ŋ	0.597
ŋ	ɡ	0.403
ɡ	ɡ	1.0
ɣ	-	1.0
ɪ	ɪ	0.45
ɪ	i	0.341
ɪ	-	0.209
ɾ	d	0.857
ɾ	s	0.143
ʃ	ʃ	1.0
ˈa	ˈa	0.766
ˈa	ˈaː	0.094
ˈa	ˈɔː	0.074
ˈa	ˈɛ	0.066
ˈae̯	ˈɔe̯	0.471
ˈae̯	ˈiə̯	0.241
ˈae̯	ˈae̯	0.103
ˈae̯	ˈeː	0.095
ˈae̯	ˈeə̯	0.056
ˈaɪ̯	ˈiː	0.804
ˈaɪ̯	ˈeː	0.196
ˈaʊ̯	ˈuə̯	0.348
ˈaʊ̯	ˈoː	0.242
ˈaʊ̯	ˈao̯	0.191
ˈaʊ̯	ˈɔə̯	0.088
ˈaː	ˈa	0.479
ˈaː	ˈaː	0.381
ˈaː	ˈe	0.085
ˈaː	ˈʌ	0.056
ˈeː	ˈae̯	0.714
ˈeː	ˈeː	0.286
ˈiː	ˈəi̯	0.432
ˈiː	ˈi	0.218
ˈiː	ˈɛ	0.167
ˈiː	ˈae̯	0.071
ˈiː	ˈʌ	0.058
ˈiː	-	0.054
ˈoː	ˈɔː	0.656
ˈoː	ˈɛː	0.243
ˈoː	ˈoː	0.102
ˈuː	ˈao̯	0.696
ˈuː	ˈɔ	0.186
ˈyː	ˈəi̯	0.513
ˈyː	ˈeː	0.487
ˈøː	ˈeː	1.0
ˈœ	ˈu	0.497
ˈœ	ˈe	0.211
ˈœ	ˈao̯	0.173
ˈœ	ˈɔ	0.119
ˈœː	ˈoː	0.493
ˈœː	ˈi	0.236
ˈœː	ˈiː	0.139
ˈœː	ˈu	0.082
ˈɒː	ˈoː	0.246
ˈɒː	ˈa	0.191
ˈɒː	ˈɔː	0.181
ˈɒː	ˈaː	0.157
ˈɒː	ˈo	0.098
ˈɒː	ˈɛː	0.073
ˈɒː	ˈɔ	0.054
ˈɔ	ˈo	0.436
ˈɔ	ˈɔ	0.231
ˈɔ	ˈoː	0.136
ˈɔ	ˈa	0.121
ˈɔ	ˈu	0.075
ˈɔʏ̯	ˈae̯	0.219
ˈɔʏ̯	ˈeə̯	0.219
ˈɔʏ̯	ˈiə̯	0.186
ˈɔʏ̯	ˈeː	0.14
ˈɔʏ̯	ˈuə̯	0.118
ˈɔʏ̯	ˈɔ	0.068
ˈɔʏ̯	ˈiː	0.052
ˈɛ	ˈɛ	0.49
ˈɛ	ˈɛː	0.102
ˈɛ	ˈaː	0.092
ˈɛ	ˈeː	0.092
ˈɛ	ˈe	0.091
ˈɛ	ˈeə̯	0.07
ˈɛɪ̯	ˈɛː	1.0
ˈɛː	ˈɛ	0.495
ˈɛː	ˈɛː	0.219
ˈɛː	ˈaː	0.071
ˈɛː	-	0.07
ˈɛː	ˈo	0.053
ˈɛː	ˈɔː	0.053
ˈɪ	ˈe	0.249
ˈɪ	ˈɪ	0.219
ˈɪ	ˈi	0.185
ˈɪ	ˈiː	0.069
ˈɪ	ˈɛ	0.064
ˈɪ	ˈɔe̯	0.059
ˈʊ	ˈo	0.898
ˈʊ	ˈu	0.071
ˈʏ	ˈae̯	0.341
ˈʏ	ˈu	0.292
ˈʏ	ˈɛ	0.188
ˈʏ	ˈɪ	0.123
ˈʏ	ˈo	0.054
