Portuguese	Portuguese	probability
β	v	1.0
ˈɨ_#>	#>	1.0
ˈɐ̃_w̃	ˈũ	1.0
ˈɐ_j	ˈɛ	1.0
ˈũ	ˈỹ	1.0
ˈõ	ˈũ	1.0
ˈo_β	ˈuː	1.0
ˈo_ʃ	ˈu_s	1.0
ˈo_w	ˈoː	1.0
ˈi_ɲ	ˈĩ	1.0
ˈẽ	ˈẽ	1.0
ˈa_t	ˈɑː_t	1.0
ʒ	ʒ	1.0
ʎ_ɐ	a	1.0
ʎ_u	ʧ	1.0
ʎ	j	1.0
ʃ_#>	#>	1.0
ʁ	r	1.0
ɾ_ɐ	a	1.0
ɾ_u	r	1.0
ɾ_#>	#>	1.0
ɣ_u_#>	k_#>	1.0
ɣ	ɡ	1.0
ɔ	u	1.0
ɐ̃	ã	1.0
ɐ_ɣ	a_ɡ	1.0
ɐ_#>	#>	1.0
ð_ɨ	t	1.0
w̃_#>	#>	1.0
v_ɨ	f	1.0
v_ɐ̃	ẽ	1.0
v_u	f	1.0
ũ	ũ	1.0
t_ɨ	t	1.0
t_ɐ	t_a	1.0
t	t	1.0
s	s	1.0
p	p	1.0
õ	ũ	1.0
o	u	1.0
n	n	1.0
m	m	1.0
k_ˈe	ʃ	1.0
k_ɾ	k_r	1.0
k	k	1.0
j̃_#>	#>	1.0
j_ʃ	s	1.0
ĩ	ĩ	1.0
i_ʃ	s	1.0
f	f	1.0
d_u	t	1.0
b	b	1.0
<#_ˈo	<#	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_ʧ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
u_#>	#>	0.946
l	l	0.846
ɫ	l	0.818
j	-	0.812
ɐ	a	0.771
ɾ	r	0.76
ɡ	ɡ	0.727
v	v	0.72
ˈɐ̃	ˈã	0.667
ɲ	ɲ	0.667
j_t	t	0.667
ɨ	-	0.654
ʃ	s	0.632
ˈɛ	ˈɛ	0.619
ˈĩ	ˈĩ	0.6
ɾ_ɨ	r	0.6
<#	<#_v	0.6
ˈu	ˈyː	0.579
ˈa	ˈa	0.541
ˈe_ɾ_#>	ˈɛ_#>	0.5
ˈe_ɾ_#>	#>	0.5
z	-	0.5
i	i	0.5
i	-	0.5
ˈa	ˈɑː	0.459
ð	d	0.444
w	w	0.417
ˈi	ˈiː	0.409
ˈĩ	ˈẽ	0.4
ɾ_ɨ	e_r	0.4
<#	<#_ˈa	0.4
ˈo	ˈɔ	0.387
#>	l_#>	0.375
#>	a_#>	0.375
ɨ	e	0.346
ˈe	ˈɛ	0.333
ɲ	n	0.333
ð	t	0.333
w	-	0.333
j_t	ʧ	0.333
ˈi	ˈi	0.318
ˈɐ	ˈa	0.316
u	u	0.312
ˈɔ	-	0.3
ɡ	k	0.273
ˈɔ	ˈɔ	0.25
ˈɔ	ˈuː	0.25
ˈe	ˈeː	0.25
z	ʒ	0.25
z	d	0.25
w	l	0.25
u	r	0.25
#>	r_#>	0.25
ˈɛ	ˈeː	0.238
ð	-	0.222
ˈɐ	ˈɑː	0.211
ˈɐ	ˈeː	0.211
ˈɔ	ˈøː	0.2
ˈɐ̃	ˈɑː_n	0.2
v	b	0.2
ˈo	ˈøː	0.194
ˈo	ˈu	0.194
u	y	0.188
j	j	0.188
ˈi	-	0.182
ɫ	-	0.182
ˈe	ˈi	0.167
ˈɐ	ˈɛ	0.158
ʃ	ʧ	0.158
l	-	0.154
ˈɛ	ˈe	0.143
ˈɐ̃	-	0.133
ˈo	ˈuː	0.129
ˈe	ˈe	0.125
ˈe	-	0.125
u	o	0.125
u	-	0.125
ˈɐ	-	0.105
ˈu	ˈy	0.105
ˈu	ˈu	0.105
ˈu	ˈi	0.105
ˈu	-	0.105
ʃ	p_j	0.105
ʃ	f_j	0.105
ˈi	ˈɑː	0.091
ɐ	-	0.086
ɾ	e	0.08
ɾ	-	0.08
v	z_ɡ	0.08
ˈo	-	0.065
ɐ	n_a	0.057
u_#>	l_#>	0.054
