Alsatian	Northern Low Saxon	probability
b̥	b	0.924
b̥	-	0.063
b̥	f	0.038
d̥	d	0.83
d̥	-	0.163
e	-	0.25
f	f	0.772
f	b	0.14
f	-	0.083
h	h	1.0
i	ɪ	0.437
i	i	0.202
i	n	0.202
i	-	0.133
i_ʃ	ɡ	1.0
j	ʒ	0.275
j	ˈaɪ̯	0.208
j	ç	0.104
j	ˈeɪ̯	0.069
k	ɡ	0.596
k	ç	0.275
k_s	s	1.0
kʰ	kʰ	1.0
l	l	0.993
l	-	0.032
m	m	0.968
m	v	0.045
n	n	0.912
n	m	0.044
n	-	0.044
p	p	1.0
p͡f	b	0.5
s	d	0.354
s	z	0.331
s	s	0.289
s	t	0.033
t	d	0.702
t	t	0.17
t	-	0.098
t	tʰ	0.034
v	ɡ	0.45
v	m	0.225
v	ŋ	0.13
w	v	0.392
w	ˈʏ	0.392
w	ˈø	0.13
x	x	0.79
x	ɡ	0.209
ŋ	ŋ	1.0
ə	n	0.421
ə	-	0.321
ə	m	0.183
ə	ə	0.047
ə	ŋ	0.038
ə_ʁ	ɐ	1.0
ɡ̊	ɡ	0.85
ɡ̊	kʰ	0.072
ɡ̊	j	0.07
ʁ	r	0.655
ʁ	-	0.314
ʁ	x	0.036
ʁ_m	m	1.0
ʃ	ʃ	0.606
ʃ	s	0.218
ʃ	-	0.096
ʃ	ɡ	0.073
ʃ_t	ç	1.0
ʋ	v	0.929
ʋ	-	0.071
ʦ	tʰ	0.585
ʦ	d	0.411
ˈai̯	ˈɔʏ̯	1.0
ˈaː	ˈoː	0.66
ˈaː	ˈɛ	0.165
ˈe	ˈɪ	0.239
ˈe	ˈɛ	0.208
ˈe	-	0.12
ˈe	ˈœː	0.12
ˈe	ˈɛɪ̯	0.12
ˈei̯	ˈiː	0.548
ˈei̯	ˈaɪ̯	0.415
ˈeː	ˈaɪ̯	0.305
ˈeː	ˈɔʏ̯	0.231
ˈeː	ˈœː	0.153
ˈeː	ˈeɪ̯	0.109
ˈeː	ˈeː	0.109
ˈi	ˈɪ	0.598
ˈi	ˈʏ	0.081
ˈi	ˈøː	0.049
ˈi	ˈɛ	0.049
ˈi	ˈyː	0.048
ˈiː	ˈiː	0.236
ˈiː	ˈɔʏ̯	0.198
ˈiː	ˈɪ	0.135
ˈiː	ˈaɪ̯	0.084
ˈiː	ˈeː	0.078
ˈiː_ʁ	ˈyː	0.25
ˈo	ˈʊ	0.63
ˈo	ˈɔ	0.189
ˈo	ˈoː	0.113
ˈo_ʁ	ɐ	0.5
ˈoː	ˈaʊ̯	0.511
ˈoː	ˈoː	0.322
ˈoː	ˈøː	0.083
ˈoː	ˈɔ	0.065
ˈoː_ʁ	ˈoː	0.5
ˈu	ˈʊ	0.433
ˈu	ˈɔ	0.21
ˈu	ˈʏ	0.159
ˈu	ˈɔː	0.105
ˈu	ˈɔʏ̯	0.079
ˈyː	ˈuː	1.0
ˈæ	ˈeː	0.548
ˈæ	ˈaː	0.196
ˈæ	ˈɛ	0.122
ˈæː	ˈoː	0.461
ˈæː	ˈaɪ̯	0.101
ˈæː	ˈeː	0.101
ˈæː	ˈɛɪ̯	0.101
ˈæː	-	0.066
ˈø	ˈoː	0.25
ˈøi̯	ˈuː	1.0
ˈøː	ˈaʊ̯	0.5
ˈœ	ˈaʊ̯	1.0
ˈɒ	ˈa	0.577
ˈɒ	ˈaʊ̯	0.158
ˈɒ	ˈoː	0.087
ˈɒ	ˈɪ	0.057
ˈɒ	ˈɔ	0.05
ˈɒː	ˈa	0.432
ˈɒː	ˈøː	0.169
ˈɒː	ˈaː	0.134
ˈɒː	ˈoː	0.117
ˈɒː	ˈeː	0.081
ˈɔi̯	ˈuː	0.5
ˈəi̯	ˈaɪ̯	0.559
ˈəi̯	ˈɪ	0.325
ˈəi̯	ˈeɪ̯	0.103
ˈɛ	ˈɛ	1.0
ˈʊː	ˈaʊ̯	0.903
ˈʊː	ˈuː	0.091
