Alsatian	Northern Low Saxon	probability
b̥	b	0.965
d̥	d	0.8
d̥	-	0.2
e	-	1.0
eː	aɪ̯	1.0
f	f	0.744
f	b	0.202
h	h	1.0
i	ɪ	0.534
i	i	0.353
i	-	0.113
j	ʒ	0.51
j	ç	0.282
j	-	0.104
j	ŋ	0.104
k	ɡ	0.558
k	ç	0.442
kʰ	kʰ	1.0
l	l	0.984
m	m	0.895
m	-	0.105
n	n	0.898
n	-	0.067
p	p	1.0
p͡f	b	1.0
s	z	0.37
s	d	0.362
s	s	0.25
t	d	0.817
t	t	0.107
v	m	0.604
v	ŋ	0.198
v	ɡ	0.198
w	v	0.607
w	ˈʏ	0.393
x	x	0.689
x	ɡ	0.311
ŋ	ŋ	1.0
ə	ɐ	0.402
ə	n	0.387
ə	m	0.162
ɡ̊	ɡ	0.89
ɡ̊	kʰ	0.072
ʁ	-	0.588
ʁ	r	0.41
ʃ	ʃ	0.614
ʃ	-	0.134
ʃ	s	0.117
ʃ	ç	0.088
ʋ	v	0.987
ʦ	tʰ	0.675
ʦ	d	0.293
ˈai̯	ˈɔʏ̯	1.0
ˈaː	ˈoː	0.5
ˈaː	ˈɛ	0.5
ˈe	ˈɪ	0.286
ˈe	ˈɛ	0.176
ˈe	ˈɛɪ̯	0.096
ˈe	ˈœ	0.091
ˈe	ˈœː	0.086
ˈe	ˈeː	0.069
ˈe	ˈø	0.069
ˈe	-	0.065
ˈe	ˈøː	0.062
ˈei̯	ˈaɪ̯	0.5
ˈei̯	ˈiː	0.5
ˈeː	ˈɔʏ̯	0.285
ˈeː	ˈaɪ̯	0.187
ˈeː	ˈiː	0.166
ˈeː	ˈeɪ̯	0.116
ˈeː	ˈœː	0.114
ˈeː	ˈoː	0.108
ˈi	ˈɪ	0.595
ˈi	ˈiː	0.094
ˈi	ˈʏ	0.088
ˈi	ˈɔʏ̯	0.06
ˈi	ˈø	0.059
ˈiː	ˈaɪ̯	0.21
ˈiː	ˈyː	0.152
ˈiː	ˈɔʏ̯	0.148
ˈiː	ˈiː	0.134
ˈiː	ˈeː	0.115
ˈiː	ˈaː	0.096
ˈiː	ˈɪ	0.085
ˈo	ˈaʊ̯_ɐ	0.45
ˈo	ˈʊ	0.377
ˈo	ˈɔ	0.148
ˈoː	ˈoː	0.537
ˈoː	ˈaʊ̯	0.269
ˈoː	ˈøː	0.139
ˈoː	ˈɔ	0.055
ˈu	ˈʊ	0.461
ˈu	ˈʏ	0.288
ˈu	ˈɔ	0.066
ˈu	ˈoː	0.059
ˈu	ˈɔː	0.056
ˈyː	ˈuː	0.939
ˈyː	ˈʊ	0.061
ˈæ	ˈeː	0.518
ˈæ	ˈɛ	0.322
ˈæ	ˈœ	0.129
ˈæː	ˈoː	0.551
ˈæː	ˈaɪ̯	0.273
ˈæː	ˈeɪ̯	0.085
ˈæː	ˈɛɪ̯	0.055
ˈø	ˈoː	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈaʊ̯	1.0
ˈœ	ˈaʊ̯	1.0
ˈɒ	ˈa	0.594
ˈɒ	ˈaʊ̯	0.132
ˈɒ	ˈoː	0.098
ˈɒ	ˈɪ	0.071
ˈɒ	ˈɛ	0.054
ˈɒː	ˈaː	0.364
ˈɒː	ˈa	0.343
ˈɒː	ˈøː	0.141
ˈɒː	ˈeː	0.088
ˈɒː	ˈoː	0.064
ˈɔi̯	ˈuː	1.0
ˈəi̯	ˈaɪ̯	0.568
ˈəi̯	ˈɪ	0.347
ˈəi̯	ˈeɪ̯	0.085
ˈɛ	ˈɛ	1.0
ˈʊː	ˈaʊ̯	0.869
ˈʊː	ˈɔʏ̯	0.074
ˈʊː	ˈuː	0.057
