East Low German	Old English	probability
ae̯	iːy̯	1.0
b	b	0.864
b	bː	0.077
d	d	0.575
d	θ	0.425
f	f	0.917
h	h	1.0
j	ɡ	0.631
j	j	0.369
k	k	0.52
k	ʧ	0.275
k	ʤ	0.088
kʰ	ʧ	0.604
kʰ	k	0.386
l	l	0.573
l	ɫ	0.288
l	o_l	0.059
m	m	0.715
m	v	0.122
m	-	0.067
m	n	0.06
n	n	0.865
n	-	0.052
p	p	0.852
p	pː	0.114
r	r	0.918
r	r̥	0.066
s	s	0.753
s	z	0.133
s	k_s	0.094
t	t	0.593
t	d	0.288
t	r_t	0.058
tʰ	t	1.0
v	w	0.796
v	ʍ	0.159
w	w	1.0
x	ç	0.304
x	x	0.291
x	ɣ	0.245
x	j	0.159
z	s	0.957
æ	r	0.423
æ	e	0.319
æ	o	0.134
ç	j	0.275
ç	ʤ	0.229
ç	x	0.126
ç	-	0.112
ç	ɣ	0.095
ç	ɡ	0.083
ç	ʧ	0.065
ŋ	ŋ	0.674
ŋ	j	0.126
ŋ	ʤː	0.126
ŋ	ɣ	0.075
ɡ	ɡ	0.545
ɡ	ɣ	0.241
ɡ	j	0.19
ɣ	ɣ	1.0
ɪ	i	1.0
ɾ	d	0.447
ɾ	ð	0.367
ɾ	dː	0.13
ɾ	e	0.056
ʃ	ʃ	0.566
ʃ	s	0.391
ˈa	ˈɑ	0.529
ˈa	ˈæ	0.21
ˈa	ˈæɑ̯	0.09
ˈa	ˈoː	0.08
ˈae̯	ˈɑː	0.395
ˈae̯	ˈeːo̯	0.375
ˈae̯	ˈiːy̯	0.093
ˈae̯	ˈæː	0.067
ˈaɪ̯	ˈeːo̯	1.0
ˈaʊ̯	ˈoː	0.457
ˈaʊ̯	ˈæːɑ̯	0.351
ˈaː	ˈæ	0.313
ˈaː	ˈæɑ̯	0.294
ˈaː	ˈeo̯	0.237
ˈaː	ˈɑ	0.156
ˈeː	ˈɑː	0.824
ˈeː	ˈæː	0.089
ˈeː	ˈe	0.087
ˈiː	ˈiː	0.57
ˈiː	ˈeːo̯	0.172
ˈiː	ˈeː	0.136
ˈiː	ˈeo̯	0.052
ˈoː	ˈæːɑ̯	0.278
ˈoː	ˈe	0.241
ˈoː	ˈæː	0.241
ˈoː	ˈæɑ̯	0.153
ˈoː	ˈy	0.086
ˈuː	ˈuː	0.581
ˈuː	ˈo	0.295
ˈuː	ˈyː	0.053
ˈyː	ˈiːy̯	0.454
ˈyː	ˈi	0.282
ˈyː	ˈæː	0.159
ˈyː	ˈeːo̯	0.065
ˈøː	ˈy	1.0
ˈœ	ˈi	0.427
ˈœ	ˈe	0.372
ˈœ	ˈæːɑ̯	0.202
ˈœː	ˈu	0.543
ˈœː	ˈo	0.246
ˈœː	ˈeo̯	0.171
ˈɒː	ˈoː	0.213
ˈɒː	ˈɑ	0.209
ˈɒː	ˈɑː	0.122
ˈɒː	ˈæː	0.107
ˈɒː	ˈu	0.098
ˈɒː	ˈo	0.098
ˈɒː	ˈæːɑ̯	0.077
ˈɒː	ˈæ	0.075
ˈɔ	ˈo	0.538
ˈɔ	ˈu	0.226
ˈɔ	ˈæɑ̯	0.135
ˈɔ	o	0.061
ˈɔʏ̯	ˈeː	0.684
ˈɔʏ̯	ˈiːy̯	0.246
ˈɛ	ˈe	0.738
ˈɛ	ˈi	0.119
ˈɛ	ˈeo̯	0.095
ˈɛɪ̯	ˈiːy̯	1.0
ˈɛː	ˈe	0.536
ˈɛː	ˈi	0.154
ˈɛː	j	0.088
ˈɛː	ˈoː	0.079
ˈɛː	ˈiy̯	0.078
ˈɛː	ˈo	0.065
ˈɪ	ˈi	0.751
ˈɪ	ˈeː	0.075
ˈɪ	ˈeːo̯	0.065
ˈʊ	ˈu	0.854
ˈʊ	ˈuː	0.127
ˈʏ	ˈy	0.564
ˈʏ	ˈeːo̯	0.1
ˈʏ	ˈu	0.097
ˈʏ	ˈɛ	0.093
ˈʏ	ˈyː	0.079
ˈʏ	ˈeo̯	0.067
