Afrikaans	Danish	probability
b	b̥	1.0
d	d̥	0.459
d	ʦʰ	0.342
d	-	0.162
d	ʨ	0.035
f	f	0.68
f	w	0.078
f	-	0.07
f	ʋ	0.068
f	mˀ	0.051
f_r	kʰ	1.0
j	-	0.463
k	kʰ	0.342
k	k	0.228
k	-	0.213
k	j	0.141
k	f	0.049
l	l	0.883
l	lˀ	0.098
m	m	0.849
m	mˀ	0.115
m	wˀ	0.039
n	n	0.663
n	-	0.223
n	nˀ	0.084
n	m	0.03
n_d	n	1.0
n_t	nˀ	1.0
p	b̥	0.386
p	b̥_ə	0.204
p	-	0.178
p	p	0.082
p	pʰ	0.082
r	ɐ	0.372
r	ʁ	0.338
r	-	0.165
r	ɐˀ	0.037
r	ɐ_n	0.037
r_m	m	0.215
r_t	ɐˀ	1.0
s	s	0.937
s	-	0.058
t	ð̞ˠ	0.449
t	-	0.229
t	t	0.169
t	ʦʰ	0.078
t	lˀ	0.044
v	ʋ	0.595
v	-	0.288
v	f	0.062
v	v	0.049
v_ˈɔ	ˈu	0.215
w	ʦʰ	0.417
w	ʋ	0.248
w	ˈo	0.163
w	-	0.163
ŋ	ŋ	0.399
ŋ	ŋˀ	0.365
ŋ	n	0.227
ŋ_k	k	1.0
ə	-	0.504
ə	ɐˀ	0.135
ə	w	0.118
ə	ə	0.085
ə	i	0.064
ɦ	h	0.864
ɦ	j	0.133
ɫ	l	0.853
ɫ	lˀ	0.119
ɫ	-	0.031
ˈa	ˈa	0.294
ˈa	ˈɛ	0.2
ˈa	ˈɑ	0.151
ˈa	-	0.074
ˈa	ˈe	0.042
ˈa_r	ˈɑˀ	1.0
ˈi	ˈyː	0.222
ˈi	ˈyˀ	0.205
ˈi	ˈeˀ	0.129
ˈi	ˈɛˀ	0.112
ˈi	ˈɑ	0.074
ˈoːi̯	ˈœˀ	1.0
ˈu	ˈoˀ	0.563
ˈu	ˈœ	0.148
ˈu	ˈoː	0.148
ˈu	ˈœˀ	0.077
ˈuː	ˈo	0.463
ˈuːi̯	ˈoˀ	0.215
ˈyː	ˈyˀ	0.403
ˈyː	ˈi	0.087
ˈæ	ˈa	0.306
ˈæ	ˈɑ	0.306
ˈæː	ˈæ	0.574
ˈæː	j	0.266
ˈœ	ˈœ	0.447
ˈœ	ˈo	0.157
ˈœ	ˈy	0.148
ˈœ	ˈø	0.086
ˈœi̯	ˈiˀ	0.463
ˈœu̯	lˀ	0.265
ˈœu̯	ˈoː	0.265
ˈœu̯	ˈʌ	0.265
ˈœu̯	ˈu	0.153
ˈœɪ̯	ˈuˀ	0.738
ˈœɪ̯	ˈuː	0.149
ˈœɪ̯	ˈy	0.095
ˈɑː	ˈɔˀ	0.292
ˈɑː	ˈa	0.162
ˈɑː	ˈɑː	0.111
ˈɑː	ˈɒˀ	0.096
ˈɑː	ˈʌ	0.073
ˈɔ	ˈu	0.309
ˈɔ	ˈɔ	0.204
ˈɔ	ˈʌ	0.173
ˈɔ	ˈœˀ	0.087
ˈɔ	ˈœ	0.065
ˈɔː	jˀ	0.574
ˈɔː	ˈœ	0.266
ˈə	ˈe	0.557
ˈə	ˈiˀ	0.178
ˈə	ˈyˀ	0.06
ˈə	ˈø	0.049
ˈə	ˈɛ	0.047
ˈəɪ̯	ˈiˀ	0.269
ˈəɪ̯	ˈiː	0.235
ˈəɪ̯	ˈɛ	0.16
ˈəɪ̯	ˈeˀ	0.16
ˈəɪ̯	ˈɛˀ	0.074
ˈɛ	ˈɛ	0.178
ˈɛ	ˈœ	0.178
ˈɛ	ˈe	0.155
ˈɛ	ˈɑˀ	0.102
ˈɛ	ˈæ	0.102
ˈɛː	ˈɛː	0.351
ˈɛː	ˈiː	0.163
ˈɪ	ˈyː	1.0
ˈɪø̯	ˈœ	0.361
ˈɪø̯	ˈʌ	0.361
ˈɪø̯	ˈɛː	0.192
ˈɪə̯	ˈeˀ	0.292
ˈɪə̯	ˈiˀ	0.154
ˈɪə̯	ˈɛˀ	0.077
ˈɪə̯	jˀ	0.077
ˈɪə̯	ˈɛː	0.061
ˈʊə̯	ˈøː	0.209
ˈʊə̯	ˈœˀ	0.204
ˈʊə̯	ˈo	0.102
ˈʊə̯	ˈœ	0.089
ˈʊə̯	ˈʌˀ	0.077
ˈʊə̯_r	ˈo	1.0
χ	ɡ̊	0.454
χ	-	0.24
χ	w	0.115
χ	j	0.085
χ	t	0.048
χ_t	t	0.463
