Afrikaans	Danish	probability
b	b̥	1.0
ɡ̊	-	1.0
ˈoːɪ̯	ˈœˀ	1.0
d	-	0.211
j	ð̞ˠ	0.221
r	-	0.071
ɦ	h	0.801
ˈa	-	0.081
ˈə	ˈø	0.1
ˈʊə̯	ˈœ	0.101
f	-	0.072
k	-	0.122
p	pʰ	0.152
p	-	0.192
s	s	0.942
t	t	0.272
ˈa	ˈɑˀ	0.052
ˈa	ˈɛ	0.192
ˈa	ˈa	0.272
ˈi	ˈiˀ	0.052
ˈyː	ˈuˀ	0.232
ˈyː	ˈyˀ	0.502
ˈœu̯	ˈoː	0.082
ˈœɪ̯	ˈʌ	0.082
ˈœɪ̯	ˈuː	0.252
ˈɑː	j	0.072
ˈɑː	ˈɔˀ	0.262
ˈɔ	ˈʌ	0.212
ˈəɪ̯	-	0.072
χ	ɡ̊	0.552
d̥	n	0.073
d̥	-	0.073
ˈi	ˈeː	0.073
ˈi	ˈɛˀ	0.153
ˈu	ˈoː	0.063
ˈu	ˈøˀ	0.063
ˈu	ˈøː	0.163
ˈɑː	ˈɛ	0.063
ˈə	ˈiˀ	0.063
ˈɛː	ˈe	0.373
ˈɪø̯	ˈœ	0.493
ˈʊə̯	ˈɔˀ	0.063
i	ɐ	0.934
r	ɐ	0.424
w	ˈyː	0.214
ə	ə	0.114
ɫ	l	0.794
ˈi	ˈyː	0.204
ˈu	ˈœˀ	0.084
ˈu	ˈoˀ	0.484
ˈæ	ˈɑ	0.14
ˈɔ	ˈɶ	0.064
ˈɔː	-	0.34
ˈɪ	ˈʌ	0.454
d	ʦʰ	0.35
j	ˈi	0.15
k	kʰ	0.365
n	-	0.055
n	n	0.685
v	ʋ	0.715
v̥	-	0.355
v̥	w	0.355
w	-	0.095
w	ʋ	0.195
ŋ	ŋ	0.395
ə	ʌ	0.095
ə	-	0.675
ˈu	ˈo	0.05
ˈæ	ˈe	0.065
ˈœu̯	ˈʌ	0.165
ˈœu̯	lˀ	0.445
ˈɑː	ˈɔː	0.175
ˈɔ	ˈu	0.245
ˈɔ	ˈɔ	0.315
ˈəɪ̯	ˈiː	0.145
ˈɛ	ˈø	0.095
ˈɪø̯	ˈœˀ	0.095
ˈɪø̯	ˈɛː	0.165
ˈɪə̯	jˀ	0.105
ˈɪə̯	ˈɛˀ	0.105
ˈɪə̯	ˈeˀ	0.385
ˈʊə̯	ˈœˀ	0.155
χ	w	0.165
d̥	ð̞ˠ	0.756
i	-	0.066
k	k	0.356
r	ʁ	0.366
w	ˈoˀ	0.376
ˈa	ˈe	0.06
ˈi	ˈiː	0.066
ˈi	ˈyˀ	0.26
ˈyː	ˈi	0.266
ˈæ	ˈeˀ	0.06
ˈœ	ˈø	0.106
ˈœ	ˈœ	0.596
ˈɔː	jˀ	0.66
ˈə	ˈe	0.646
ˈɛ	ˈœ	0.16
ˈɪ	w	0.546
ˈʊə̯	ˈɶ	0.056
d̥	lˀ	0.097
f	ʋ	0.067
k	j	0.157
t	ð̞ˠ	0.47
ŋ	n	0.247
ˈæ	ˈɑˀ	0.067
ˈæ	ˈi	0.467
ˈæː	ˈa	0.137
ˈœɪ̯	ˈuˀ	0.607
ˈɑː	ˈa	0.137
ˈɛ	ˈœː	0.257
ˈɪə̯	ˈiː	0.057
ˈɪə̯	-	0.077
ˈʊə̯	ˈo	0.227
χ	-	0.07
χ	j	0.167
d	d̥	0.428
m	mˀ	0.088
m	m	0.888
p	p	0.168
t	ʦʰ	0.208
v	-	0.258
ŋ	ŋˀ	0.358
ɫ	lˀ	0.188
ˈa	ˈɑ	0.158
ˈi	ˈeˀ	0.078
ˈæː	ˈæ	0.258
ˈœu̯	ˈœ	0.308
ˈɑː	ˈɒˀ	0.098
ˈəɪ̯	ˈeˀ	0.108
ˈəɪ̯	ˈɛ	0.128
ˈəɪ̯	ˈɛˀ	0.148
ˈɛ	ˈɛ	0.098
ˈɛː	ˈɛː	0.198
ˈɪø̯	ˈʌ	0.248
ˈʊə̯	ˈʌ	0.078
f	f	0.779
j	-	0.629
n	nˀ	0.259
p	b̥	0.489
r	ɐˀ	0.09
v̥	ʋ	0.289
w	ˈo	0.119
ɦ	j	0.199
ˈæ	ˈɛ	0.169
ˈæː	j	0.559
ˈœ	ˈy	0.109
ˈœ	ˈo	0.189
ˈœɪ̯	ˈy	0.059
ˈəɪ̯	ˈiˀ	0.399
ˈɛ	ˈe	0.39
ˈɛː	ˈiː	0.429
ˈʊə̯	ˈøː	0.159
