English	Bokmål Norwegian	probability
b	b	1.0
d	d	0.626
d	-	0.36
d	tʰ	0.028
f	f	0.758
f	ʋ	0.171
f	ɡ	0.041
f	-	0.04
h	h	0.931
h	-	0.069
j	-	0.23
j	ˈoː	0.185
j	ɡ	0.161
j	ˈyː	0.161
k	k	0.801
k	lː	0.116
k	kː	0.053
kʰ	kʰ	1.0
l	l	0.925
l	-	0.046
l	lː	0.039
m	m	0.631
m	ɾ_m	0.167
m	mː	0.146
m	n	0.053
n	n	0.575
n	-	0.19
n	nː	0.113
n	ɳ	0.068
n	nː_ə	0.029
n_d	nː	1.0
p	p	0.75
p	-	0.107
p	ɾ	0.103
pʰ	pʰ	1.0
s	s	0.901
s	ʂ	0.059
s	sː	0.045
t	t	0.553
t	tː	0.222
t	-	0.059
t	ʈ	0.039
t	d	0.039
tʰ	tʰ	0.863
tʰ	ç	0.136
v	ʋ	0.595
v	-	0.32
v	m	0.067
w	ʋ	0.667
w	-	0.28
w	ˈuː	0.052
w_ˈʊ	ˈʉ	1.0
z	s_ə	1.0
ð	ɾ	0.671
ð	d	0.163
ð	nː	0.163
ŋ	ŋː	0.866
ŋ	ŋ	0.112
ŋ_k	kː	1.0
ə	-	0.238
ə	ə	0.217
ə	ɾ	0.2
ə	ə_ɾ	0.192
ə	ɾ_ə	0.103
əʊ̯	ə	0.53
əʊ̯	-	0.293
ɡ	ɡ	0.604
ɡ	-	0.197
ɡ	ɡː	0.095
ɡ	j	0.065
ɪ	ə	0.346
ɪ	i	0.262
ɪ	ɪ	0.199
ɪ	ˈɛ	0.173
ɫ	l	0.74
ɫ	lː	0.256
ɫ_d	lː	1.0
ɹ	ɾ	1.0
ʃ	s_k	0.687
ʃ	f	0.127
ʃ	ʃ	0.121
ʤ	ɡː	1.0
ʧ	ç	0.517
ʧ	k	0.45
ˈaɪ̯	ˈiː	0.371
ˈaɪ̯	ˈʉː	0.156
ˈaɪ̯	ˈyː	0.133
ˈaɪ̯	ˈɪ	0.122
ˈaɪ̯	ˈɛ	0.1
ˈaʊ̯	ˈʉː	0.75
ˈaʊ̯	ˈʉ	0.123
ˈaʊ̯	ˈʊ	0.081
ˈe	ˈɛ	0.192
ˈe	ˈøː	0.154
ˈe	ˈʉː	0.145
ˈe	ˈæː	0.092
ˈe	-	0.06
ˈe_d	ˈøː	1.0
ˈeɪ̯	ˈɑː	0.392
ˈeɪ̯	ˈæɪ̯	0.237
ˈeɪ̯	ʋ	0.116
ˈeɪ̯	ˈɔ	0.088
ˈeɪ̯	ˈiː	0.064
ˈiː	ˈeː	0.203
ˈiː	ˈœ	0.185
ˈiː	ˈøː	0.144
ˈiː	ˈoː	0.118
ˈiː	ˈyː	0.093
ˈuː	ˈuː	0.534
ˈuː	ˈoː	0.253
ˈuː	-	0.085
ˈuː	ˈɑ	0.085
ˈæ	ˈɑ	0.768
ˈæ	ˈɛ	0.117
ˈæ	ˈɑː	0.085
ˈæ	ˈæ	0.034
ˈɐ	ˈuː	0.259
ˈɐ	ˈʊ	0.136
ˈɐ	ˈʉ	0.134
ˈɐ	ˈɔ	0.102
ˈɐ	ˈeː	0.102
ˈɑː	ˈɑ	0.326
ˈɑː	ˈɑː	0.284
ˈɑː	ˈɑ_ɾ	0.082
ˈɑː	ˈɛ	0.079
ˈɑː	ˈæː	0.059
ˈɒ	ˈɑ	0.514
ˈɒ	ˈœ	0.219
ˈɒ	ˈeː	0.097
ˈɒ	ˈʉː	0.088
ˈɔː	ˈɑ	0.442
ˈɔː	ˈuː	0.325
ˈɔː	ˈɔ	0.074
ˈɔː	ˈɛː	0.072
ˈɔː	ˈɛ	0.056
ˈəʊ̯	ˈæɪ̯	0.267
ˈəʊ̯	ˈoː	0.176
ˈəʊ̯	ˈʉ	0.101
ˈəʊ̯	ˈeː	0.101
ˈəʊ̯	ˈøː	0.101
ˈɛ	ˈoː	0.392
ˈɛ	ˈɑː	0.217
ˈɛ	j	0.217
ˈɜː	ˈuː	0.45
ˈɜː	ˈɪ	0.392
ˈɜː	ˈʊ	0.072
ˈɪ	ˈɪ	0.218
ˈɪ	ˈʏ	0.148
ˈɪ	ˈiː	0.106
ˈɪ	ˈœ	0.092
ˈɪ	ˈyː	0.08
ˈʊ	ˈuː	0.74
ˈʊ	ˈʉ	0.189
θ	tʰ	0.503
θ	ɾ	0.163
θ	nː	0.142
θ	-	0.072
θ	d	0.054
