English	Bokmål Norwegian	probability
b	b	0.959
d	d	0.594
d	-	0.397
f	f	0.706
f	ʋ	0.185
f	-	0.059
h	h	0.915
h	j	0.085
j	ɡ	0.332
j	ˈoː	0.26
j	ˈyː	0.221
j	-	0.135
j	ˈeː	0.052
k	k	0.747
k	kː	0.101
k	lː	0.064
kʰ	kʰ	0.858
kʰ	ɕ	0.142
l	l	0.907
l	lː	0.055
m	m	0.597
m	mː	0.212
m	ɾ_m	0.076
m	-	0.061
m	n	0.054
n	n	0.465
n	nː	0.418
p	p	0.787
p	-	0.183
pʰ	pʰ	1.0
s	s	0.923
s	ʂ	0.059
t	t	0.52
t	tː	0.334
t	-	0.109
tʰ	tʰ	0.912
tʰ	ɕ	0.088
v	ʋ	0.469
v	m	0.337
v	-	0.194
w	ʋ	0.761
w	-	0.169
z	s	1.0
ð	ɾ	0.833
ð	nː	0.13
ŋ	ŋː	0.86
ŋ	ŋ	0.14
ə	ə	0.48
ə	ɾ	0.19
ə	-	0.17
ə	ɾ_ə	0.131
əʊ̯	-	0.5
əʊ̯	ə	0.5
ɜː	ˈɛ	1.0
ɡ	ɡ	0.789
ɡ	j	0.092
ɡ	-	0.078
ɪ	i	0.302
ɪ	ɪ	0.3
ɪ	ə	0.273
ɪ	-	0.108
ɫ	l	0.669
ɫ	lː	0.331
ɹ	ɾ	1.0
ʃ	s	0.509
ʃ	ʃ	0.364
ʃ	f	0.126
ʤ	ɡː	1.0
ʧ	ɕ	0.456
ʧ	k	0.41
ʧ	kː	0.134
ˈaɪ̯	ˈiː	0.296
ˈaɪ̯	ˈɪ	0.287
ˈaɪ̯	ˈʉː	0.114
ˈaɪ̯	ˈɛ	0.104
ˈaɪ̯	ˈyː	0.102
ˈaʊ̯	ˈʉː	0.627
ˈaʊ̯	ˈʉ	0.256
ˈaʊ̯	ˈuː	0.117
ˈe	ˈɛ	0.309
ˈe	ˈøː	0.208
ˈe	ˈʉː	0.159
ˈe	ˈiː	0.06
ˈe	ˈæː	0.054
ˈeɪ̯	ˈɑː	0.484
ˈeɪ̯	ˈæɪ̯	0.274
ˈeɪ̯	ʋ	0.095
ˈeɪ̯	ˈoː	0.055
ˈeɪ̯	ˈiː	0.051
ˈiː	ˈœ	0.189
ˈiː	ˈeː	0.188
ˈiː	ˈøː	0.136
ˈiː	ˈiː	0.096
ˈiː	ˈoː	0.089
ˈiː	ˈyː	0.076
ˈiː	ˈɪ	0.053
ˈiː	ə	0.052
ˈuː	ˈuː	0.577
ˈuː	ˈoː	0.137
ˈuː	ə	0.1
ˈuː	ˈʏ	0.091
ˈuː	ˈyː	0.057
ˈæ	ˈɑ	0.897
ˈæ	ˈɛ	0.056
ˈɐ	ˈʉ	0.414
ˈɐ	ˈɔ	0.17
ˈɐ	ˈʊ	0.137
ˈɐ	ˈœ	0.062
ˈɐ	ˈoː	0.052
ˈɑː	ˈɑː	0.367
ˈɑː	ˈɑ	0.33
ˈɑː	ˈeː	0.133
ˈɑː	ˈɛ	0.089
ˈɑː	ˈæː	0.081
ˈɒ	ˈɑ	0.552
ˈɒ	ˈʉː	0.289
ˈɒ	ˈeː	0.11
ˈɔː	ˈuː	0.433
ˈɔː	ˈɔ	0.233
ˈɔː	ˈɑ	0.21
ˈɔː	ˈæː	0.064
ˈəʊ̯	ˈæɪ̯	0.394
ˈəʊ̯	ˈɛ	0.264
ˈəʊ̯	ˈoː	0.141
ˈəʊ̯	ˈeː	0.058
ˈəʊ̯	ˈɑ	0.058
ˈəʊ̯	ˈøː	0.052
ˈɛ	ˈæː	0.341
ˈɛ	ˈɑː	0.194
ˈɛ	j	0.179
ˈɛ	ˈɛ	0.179
ˈɛ	ˈoː	0.107
ˈɜː	ˈʊ	0.478
ˈɜː	ˈɪ	0.243
ˈɜː	j	0.132
ˈɜː	-	0.073
ˈɜː	ˈœ	0.073
ˈɪ	ˈɪ	0.292
ˈɪ	ˈʏ	0.193
ˈɪ	ˈiː	0.101
ˈɪ	ˈyː	0.075
ˈɪ	ˈœ	0.057
ˈɪ	ˈɛ	0.051
ˈʊ	ˈuː	0.718
ˈʊ	ˈʉ	0.282
θ	tʰ	0.604
θ	nː	0.129
θ	ɾ	0.106
θ	ɕ	0.083
