Štokavian	Slovak	probability
̌	-	1.0
̂	-	1.0
ʨ	ʦ	1.0
ʧ	ʧ	1.0
ʎ	ʎ	1.0
ʋ_o	ʋ_ɔ	1.0
ʋ	ʋ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɦ	1.0
x	x	1.0
uː_̌	uː	1.0
u_̂	ɫ̩	1.0
t_i	c	1.0
t_a	t_a	1.0
s_a	s	1.0
s	s	1.0
r̩ː	r̩	1.0
r̩	r̩	1.0
r	r	1.0
m	m	1.0
i_̂	i	1.0
eː_̂	æ	1.0
d̥	d̥	1.0
d_a	d	1.0
a_m	ɛ_m	1.0
z	z	0.928
p	p	0.909
k	k	0.909
o	ɔ	0.868
b	b	0.857
aː	a	0.821
oː	ɔ	0.809
iː	i	0.799
t	t	0.792
n	n	0.745
ʦ	ʦ	0.684
u	u	0.676
a	a	0.665
a_̂	ɛ	0.641
j_eː	ɛ	0.635
e	ɛ	0.63
d	d	0.626
ʒ	ʒ	0.617
i	-	0.599
uː	u	0.594
o_̂	ʊ̯ɔ	0.583
l	ɫ	0.544
j	ɪ̯ɛ	0.5
j	-	0.5
o_̂	ɛ	0.417
i	i	0.401
ʒ	ʒ̊	0.383
d	ɟ	0.374
j_eː	ɪ̯ɛ	0.365
a_̂	aː	0.359
ʦ	-	0.316
eː	ɛ	0.275
uː	ɫ̩	0.265
eː	-	0.264
eː	a	0.257
n	ɲ	0.255
l	ʎ	0.237
u	v	0.233
l	l	0.218
t	c	0.208
eː	ɪ̯a	0.204
iː	iː	0.201
e	-	0.197
oː	ʊ̯ɔ	0.191
aː	aː	0.179
b	b̥	0.143
uː	uː	0.141
a	ɔ	0.111
a	-	0.109
e	a	0.097
a	ɛ	0.095
u	l̩	0.091
p	f	0.091
k	-	0.091
o	ɫ	0.077
z	-	0.072
o	-	0.055
