Spanish	Aragonese	probability
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
p	p	1.0
r	r	1.0
s	s	1.0
t	t	1.0
u	u	1.0
ŋ	ŋ	1.0
ɡ	ɡ	1.0
ɣ	ɣ	1.0
ɲ	ɲ	1.0
ˈu	ˈu	1.0
ɟ͡ʝ	l	0.141
ʧ	j	0.141
ˈo	ˈa	0.051
i	i	0.692
w	w	0.932
x	ʧ	0.242
ˈe	ˈe	0.902
x	ʎ	0.713
ð	t	0.263
ˈo	ˈu	0.063
ˈo	ˈo	0.813
β	β	0.903
θ	θ	0.793
e	i	0.054
j	-	0.164
k	k	0.964
l	l	0.974
ð	ð	0.694
ʝ	ð	0.054
ʝ	ʎ	0.74
n	n	0.975
ɟ͡ʝ	k_l	0.15
e	e	0.916
j	j	0.836
o	o	0.906
ʝ	l	0.206
ˈi	ˈi	0.946
ˈa	ˈa	0.97
β	p	0.097
θ	s	0.077
i	e	0.308
w	-	0.068
a	a	0.979
ɟ͡ʝ	p_l	0.709
ɾ	ɾ	0.969
ʧ	j_t	0.859
θ	j_ʃ	0.079
