Romansch	Romansch	probability
ˈuɔ̯	ˈu	1.0
ˈu_s	ˈo_j	1.0
ˈo	-	1.0
ˈiə̯	-	1.0
ˈeː	e̯ˈa	1.0
ˈaː	ˈa	1.0
ˈa_w	ˈɨ	1.0
ʒ	z	1.0
ʎ	ʎ	1.0
ə_r	i_r	1.0
ə_#>	#>	1.0
ŋ	-	1.0
z	s	1.0
v_ə	i	1.0
u	u	1.0
r_ˈiː	r_ˈi	1.0
r_ə	r_ə	1.0
p_ˈɛ	k_e̯ˈa	1.0
p	p	1.0
l_#>	r_#>	1.0
k	k	1.0
j_ˈɛ	ˈo	1.0
i	i	1.0
f_#>	#>	1.0
d_ə	t_ə	1.0
b	b	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_ʦ	1.0
<#_ʎ	<#_l	1.0
<#_ʃ	<#_ʣ	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_a	1.0
t	t	0.9
n	n	0.867
r	r	0.822
m	m	0.81
n_#>	n_#>	0.8
ˈe	e̯ˈa	0.714
ˈa	ˈa	0.714
ʨ_ə	k_ə	0.714
ˈa_j	e̯ˈa	0.667
ʨ	k	0.667
s	s	0.667
ɡ	ɡ	0.625
ˈɔː	ˈo	0.6
ˈi	ˈi	0.6
ɲ	ɲ	0.6
#>	i_#>	0.589
ə	ə	0.575
ˈuː	ˈu	0.556
ˈu	ˈu	0.556
ˈɔ	ˈo	0.538
d	d	0.529
ˈɛː	ˈe_l	0.5
ˈɛː	-	0.5
ʧ	ʦ	0.5
ʧ	-	0.5
ʥ	ʤ	0.5
ʥ	-	0.5
v	j	0.5
j	-	0.5
f	f	0.5
ʃ	s	0.462
ˈiː	ˈi	0.455
ˈɛ	ˈi	0.438
w	p	0.417
ˈɔː	o̯ˈa	0.4
ˈi	ˈu	0.4
ɲ	-	0.4
ɡ	b	0.375
ˈiː	ˈu	0.364
v	v	0.357
d	ʣ	0.353
ˈa_j	ˈe	0.333
l	l	0.32
ˈɛ	ˈe	0.312
ʃ	ʦ_i	0.308
ˈe	ˈe	0.286
ʨ_ə	k	0.286
f	w	0.278
w	k	0.25
j	ˈi	0.25
j	r	0.25
l	ʎ	0.24
#>	u_#>	0.233
ʃ	ʃ_t	0.231
ə	i	0.225
ˈuː	ˈo	0.222
ˈuː	o̯ˈa	0.222
f	ç	0.222
ʨ	ʦ	0.2
n_#>	#>	0.2
m	ɲ	0.19
ˈiː	ˈə	0.182
ˈu	ˈu_k	0.167
ˈu	o̯ˈa	0.167
w	v_r	0.167
w	l	0.167
l	r	0.16
ˈɔ	ˈɨ	0.154
ˈɔ	ˈa	0.154
ˈɔ	o̯ˈa	0.154
v	b	0.143
ʨ	p_t	0.133
n	-	0.133
ˈɛ	ˈo_k	0.125
ˈɛ	ˈa	0.125
s	ʃ	0.125
s	-	0.125
l	i	0.12
d	-	0.118
ˈu	o̯ˈa_m	0.111
r	u	0.111
#>	ə_#>	0.11
t	d	0.1
ˈa	ˈɨ	0.095
ˈa	ˈe	0.095
ˈa	-	0.095
s	i	0.083
l	l_b	0.08
l	-	0.08
ə	a	0.075
ə	-	0.075
r	i_r	0.067
