Mecklenburgisch-Vorpommersch	Middle High German	probability
ˈɛɪ̯	ˈæː	1.0
ˈœ	-	1.0
ˈøː	ˈy	1.0
ˈyː	ˈyː	1.0
ˈeː	ˈeː	1.0
ˈaɪ̯	-	1.0
ˈa	ˈɑ	1.0
ʃ_p	p	1.0
ɪ	i	1.0
ɣ̊	ɡ̊	1.0
ɣ	ˈyː	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
z̥	s_ə	1.0
w	w	1.0
v	w	1.0
tʰ	ʦ	1.0
r_ˈɪ	r_ˈi	1.0
pʰ	-	1.0
n_ɪ	n_ə	1.0
h	h	1.0
f	v	1.0
b	b	1.0
ae̯	ɛ_h	1.0
l	l	0.975
z	s	0.892
r	r	0.883
d	d	0.853
n	n	0.808
s	s	0.797
m	m	0.79
kʰ	kʰ	0.785
j	ɡ	0.783
ʃ	ʃ	0.778
ˈɪ	ˈi	0.774
ɾ	t_ə	0.757
v̥	b̥	0.75
ˈʊ	ˈu	0.726
ˈiː	ˈiː	0.616
x	x	0.615
ˈuː	ˈuː	0.6
æ	r	0.558
ˈʏ	ˈy	0.534
d̥	t	0.531
ˈoː	-	0.511
ˈɔʏ̯	ˈyə̯	0.508
ˈɛː	-	0.506
ˈaʊ̯	ˈuə̯	0.501
ˈɛː	ˈɛ	0.494
ˈae̯	ˈei̯	0.49
ˈaː	ˈɑ_r	0.488
ˈɒː	ˈɑː	0.478
d̥	d̥	0.469
ˈʏ	-	0.466
ˈɔ	ˈo	0.464
ˈɛ	ˈɛ	0.451
ç	ɡ̊	0.449
ˈœː	ˈu	0.418
ˈɔʏ̯	-	0.412
ˈoː	ˈɑː	0.412
ˈɒː	ˈɑ	0.405
x	-	0.385
k	xː	0.359
t	s̻	0.356
ŋ	ŋ	0.348
ŋ	ŋ_ɡ	0.34
ˈuː	ˈo	0.332
ˈœː	ˈy	0.325
ˈae̯	ˈiə̯	0.319
p	f_ə	0.314
ŋ	ɡ_ə	0.312
ˈaː	ˈɑ	0.307
ˈiː	ˈiə̯	0.294
p	f	0.294
k	x	0.289
t	t	0.276
ˈʊ	ˈo	0.274
ˈɔ	ˈu	0.268
ˈœː	-	0.257
p	p͡f	0.256
v̥	b_ə	0.25
k	kː	0.25
ˈɛ	ˈe	0.248
ˈaʊ̯	ˈou̯	0.248
ɾ	tː	0.243
ʃ	ʃː	0.222
j	j	0.217
æ	ə_r	0.214
ˈaː	ˈɛ_r	0.205
s	x	0.203
ç	x	0.193
ç	kː	0.193
ˈaʊ̯	ˈoː	0.184
m	ə_n	0.182
ç	ə	0.166
t	s̻ː	0.151
ˈɛ	ˈɑ	0.15
ˈɛ	ˈi	0.15
d	t	0.147
kʰ	k	0.143
ˈɔ	ˈɑ	0.136
ˈɔ	b	0.131
t	ʦ	0.13
æ	r_ə	0.121
ˈɒː	-	0.117
r	r_ˈiː	0.117
ˈɪ	ˈei̯	0.115
ˈae̯	ˈɛ_h	0.108
z	s_ˈɛ	0.108
æ	ə	0.107
k	k	0.102
p	ə_t	0.1
ˈiː	ˈi_r	0.09
n	n_d	0.083
ˈae̯	-	0.082
ˈɔʏ̯	rː	0.08
ˈoː	ou̯	0.077
n	nː	0.077
kʰ	-	0.072
ˈɪ	-	0.069
ˈuː	-	0.068
ˈaʊ̯	ˈɑ	0.067
t	ʦː	0.067
