Belarusian	Belarusian	probability
ˈ	-	1.0
ʧ	k	1.0
ʦ	-	1.0
ʣʲ	d	1.0
ʐ̊	ɡ_i	1.0
ʐ	ɡ	1.0
ʂ	k	1.0
ɵ_ˈ	d	1.0
ɫ	l	1.0
ɣ	ɡ	1.0
z̥	-	1.0
zʲ	z	1.0
z	z	1.0
xʲ	au̯	1.0
x_#>	ɡ_i_s_#>	1.0
x	u_s	1.0
w	l	1.0
v_u	a_ŋ	1.0
sʲ	s	1.0
s	s	1.0
r_o	r	1.0
r	r	1.0
pʲ	p	1.0
p	p	1.0
nʲ	aː	1.0
mʲ	m	1.0
m	m	1.0
lʲ_æ	eː	1.0
lʲ	l	1.0
k	k	1.0
j	-	1.0
i_ˈ	oːu̯	1.0
e_ˈ	e	1.0
e	-	1.0
d̥	-	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_ˈ_#>	e_#>	1.0
a_ʣʲ	ai̯	1.0
<#_v	<#	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
v	v	0.857
o_ˈ	a	0.833
ʦʲ	t	0.75
vʲ	v	0.75
ɨ	-	0.667
n	n	0.667
ɨ_ˈ	u	0.6
t	t	0.6
o	i	0.6
i	a	0.6
#>	n_#>	0.6
a_#>	o_#>	0.571
u	i_n	0.5
u	-	0.5
a_ˈ	o	0.5
a_ˈ	a	0.5
a_#>	#>	0.429
ɨ_ˈ	uː	0.4
t	-	0.4
o	l	0.4
i	e	0.4
æ	n	0.375
æ	e	0.375
ɨ	n	0.333
n	n_a	0.333
a	u	0.312
ʦʲ	t_o	0.25
æ	e_n	0.25
vʲ	w	0.25
a	e	0.25
#>	o_#>	0.2
#>	e_#>	0.2
a	-	0.188
o_ˈ	o	0.167
v	aːu̯	0.143
a	v_o	0.125
a	a	0.125
