Saterland Frisian	German	probability
ˈɪ	ˈɪ	1.0
ˈɛɪ̯_#>	ˈaɪ̯_#>	1.0
ˈɛ_l	ˈɛ_l	1.0
ˈɔː_r	ˈʊ_ɐ	1.0
ˈyː	ˈɔʏ̯	1.0
ˈuː_n	ˈoː_n	1.0
ˈoːu̯_n	ˈa_n	1.0
ˈoːu̯_l	ˈɔ_l	1.0
ˈoːu̯_d	ˈɔ_ɐ	1.0
ˈoː_l	ˈa_l	1.0
ˈiː_n	ˈɪ_n	1.0
ˈi_t	ˈaɪ̯_s	1.0
ˈi_#>	ˈiː_ɐ_#>	1.0
ˈeː_#>	ˈeː_#>	1.0
ˈaːi̯	ɡ̊	1.0
ɪ	ɪ	1.0
ɣ_j	ɡ	1.0
ə_n	n	1.0
ŋ_ə	ŋ	1.0
ŋ_#>	ŋ_#>	1.0
ŋ	ŋ	1.0
z_ə	z_ə	1.0
x_t	ç_t	1.0
v_ə	b	1.0
s_t	s_t	1.0
s_k_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
r_#>	ɐ_#>	1.0
p_ə	f_n	1.0
p_#>	f_#>	1.0
p	p͡f	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈoːu̯	l_ˈuː	1.0
l_#>	l_#>	1.0
l	l	1.0
k_ə	k	1.0
j_ˈʊ	ˈɪ	1.0
j_ˈuː	ˈɔʏ̯	1.0
j_ˈoː	ˈiː	1.0
f_#>	b̥_#>	1.0
d_ə	d	1.0
<#_ˈɔː	<#_ˈa	1.0
<#_ɣ	<#_ɡ	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#_v	1.0
<#_r	<#_ʁ	1.0
<#_p	<#_p͡f	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_h	<#_h	1.0
<#_f	<#_f	1.0
<#_b	<#_b	1.0
n	n	0.913
ə	-	0.875
n_#>	n_#>	0.84
x_#>	#>	0.727
ɣ	ɡ	0.714
x	x	0.714
<#_d	<#_tʰ	0.7
v	v	0.667
t_#>	s_#>	0.667
r	ʁ	0.647
ˈeː	ˈaɪ̯	0.643
ˈi	ˈaɪ̯	0.625
ˈʊ	ˈʊ	0.615
ˈaː	ˈa	0.6
ə_#>	n_#>	0.6
k_#>	ç_#>	0.6
j	-	0.6
ˈɛː	ˈa	0.571
ˈɔ	ˈɔ	0.571
<#_j	<#_ɡ	0.571
k	-	0.55
d_#>	t_#>	0.533
<#_s	<#_ʃ	0.523
ˈɔː	ˈa	0.5
ˈoːu̯	ˈuː	0.5
ˈa	ˈɛ	0.5
ˈa	ˈa	0.5
t_ə	t	0.5
t_ə	s	0.5
<#_t	<#_d	0.471
d_#>	d̥_#>	0.467
ˈoː	ˈoː	0.444
<#_s	<#_z	0.432
ˈɛː	ˈʏ	0.429
ˈɛ	ˈaː	0.429
ˈɔ	ˈa	0.429
<#_j	<#	0.429
t	ʦ	0.412
<#_t	<#_ʦ	0.412
ˈuː	ˈaʊ̯	0.4
ˈiː	ˈɪ	0.4
ˈaː	ˈaɪ̯	0.4
ə_#>	ə_#>	0.4
d	t	0.4
ˈi	ˈiː	0.375
t	t	0.353
r	ɐ	0.353
ˈɔː	ˈaː	0.333
ˈoː	ˈaʊ̯	0.333
t_#>	t_#>	0.333
ˈɛɪ̯	ˈyː	0.308
ˈoːu̯	ˈoː	0.3
d	d	0.3
d	-	0.3
<#_d	<#_d	0.3
ˈɛ	ˈɛ	0.286
ˈɛ	ˈaɪ̯	0.286
ɣ	-	0.286
x	k_n	0.286
x_#>	ç_#>	0.273
t	s	0.235
ˈʊ	ˈɔ	0.231
ˈɛɪ̯	ˈaː	0.231
ˈeː	ˈɛ	0.214
ˈuː	ˈʊ	0.2
ˈoːu̯	ɐ	0.2
ˈiː	ˈɛ	0.2
ˈiː	ˈaː	0.2
ˈiː	ˈaɪ̯	0.2
k_#>	x_#>	0.2
k_#>	k_#>	0.2
k	k	0.2
j	ˈyː	0.2
j	ˈeː	0.2
ˈɔː	ˈɛː	0.167
v	b	0.167
v	-	0.167
n_#>	#>	0.16
ˈʊ	ˈɛ	0.154
ˈɛɪ̯	ˈuː	0.154
ˈɛɪ̯	ˈa	0.154
ˈɛɪ̯	ɐ	0.154
ˈuː	ˈɔʏ̯	0.15
ˈuː	ˈɔ	0.15
k	x	0.15
ˈeː	ˈøː	0.143
ə	d̥	0.125
<#_t	<#	0.118
ˈoː	ˈaː	0.111
ˈoː	-	0.111
ˈuː	ˈuː	0.1
k	ç	0.1
n	-	0.087
