Westphalian	Yiddish	probability
aɪ̯	-	1.0
h	h	1.0
j	j	1.0
l	l	1.0
r	ʀ	1.0
ɪ	ɪ	1.0
ˈoː	ˈʊ	1.0
ˈyə̯	ˈɛ	1.0
ˈyːœ̯	ˈɪ	1.0
ˈɒː	ˈɔ	1.0
d	t	0.651
p	p	0.191
t	t	0.311
v	b	0.211
ç	k	0.531
ɣ	ɡ	0.161
ʃ	ʃ	0.971
ʋ	f	0.091
ˈiɛ̯	ˈɪ	0.131
ˈiɛ̯	ˈɛ	0.271
ˈiɛ̯	ˈɔ	0.441
ˈɔ	ˈʊ	0.331
ˈɔː	ˈɔ	0.871
ˈɛ	ˈa	0.071
ˈɪɛ̯	ˈɛ	0.681
k	χ	0.452
m	ɛ_m	0.062
s	d_z	0.052
t	ʦ	0.332
ə	ɛ	0.212
ˈaɪ̯	ˈɛɪ̯	0.092
ˈaː	ˈɔ	0.472
ˈuːə̯	ˈɔɪ̯	0.082
ˈøː	ˈɛɪ̯	0.242
ˈɪ	ˈɪ	0.862
ˈɪə̯	ˈɪ	0.422
ˈɪɛ̯	ˈa	0.162
m	m	0.873
z	z	0.603
ə	ə	0.173
ɡ	ɡ	0.893
ˈiː	ˈɪ	0.123
ˈuə̯	ˈɔɪ̯	0.113
ˈyː	ˈʊ	0.333
ˈɪə̯	ˈaɪ̯	0.243
m	n	0.064
s	z	0.654
ɐ	ʀ	0.414
ʋ	v	0.714
ˈa	ˈa	0.774
ˈaɪ̯	ˈɪ	0.344
ˈaʊ̯	ˈɔɪ̯	0.874
ˈuː	ˈɔɪ̯	0.844
ˈuːə̯	ˈɔ	0.324
ˈuːə̯	ˈʊ	0.594
ˈø	ˈaɪ̯	0.714
ˈɔ	ˈɔɪ̯	0.104
ˈʊ	ˈɔɪ̯	0.094
b	b	0.995
k	k	0.525
n	n	0.985
x	χ	0.295
x	ɡ	0.705
ə	-	0.615
ʋ	b	0.195
ˈa	ˈɔ	0.185
ˈeː	ˈɪ	0.075
ˈeː	ˈɛɪ̯	0.925
ˈøː	ˈa	0.115
ˈøː	ˈɪ	0.525
ˈœː	ˈɛ	0.315
ˈœː	ˈɔ	0.685
ˈɛ	ˈɪ	0.165
ˈɛː	ˈɔ	0.315
ˈɛː	ˈɛ	0.685
ˈʏ	ˈɪ	0.655
ɐ	ə	0.56
ˈuː	ˈʊ	0.156
ˈø	ˈɛ	0.286
ˈɔ	ˈa	0.356
ˈɪ	ˈa	0.076
s	ʃ	0.067
s	s	0.227
t	s	0.357
z	ʀ	0.397
ɡ	k	0.107
ˈaɪ̯	ˈaɪ̯	0.077
ˈaʊ̯	ˈʊ	0.067
ˈiɛ̯	ˈaɪ̯	0.157
ˈiː	ˈaɪ̯	0.877
ˈuə̯	ˈʊ	0.887
ˈyː	ˈaɪ̯	0.667
ˈɛ	ˈɔ	0.077
ˈɛ	ˈɛ	0.687
ˈɪɛ̯	ˈɪ	0.157
ˈʏ	ˈɔ	0.107
f	f	0.968
ˈaɪ̯	ˈɔɪ̯	0.108
ˈaɪ̯	ˈɛ	0.378
ˈaː	ˈa	0.528
ˈøː	ˈʊ	0.118
ˈɔ	ˈɔ	0.208
ˈɪə̯	ˈɛ	0.168
ˈɪə̯	ˈɔ	0.168
ˈʊ	ˈʊ	0.858
ˈʏ	ˈɛ	0.238
d	d	0.349
p	f	0.809
v	f	0.069
v	v	0.719
ç	ɡ	0.139
ç	χ	0.329
ŋ	ŋ	0.929
ɣ	-	0.839
ˈaʊ̯	ˈa	0.059
ˈɔː	ˈɛɪ̯	0.09
