Portuguese	Friulian	probability
b	b	1.0
f	f	1.0
i	i	1.0
ĩ	i	1.0
j̃	ŋ	1.0
p	p	1.0
w̃	ŋ	1.0
ɐ̃	-	1.0
ɔ	o	1.0
ɫ	l	1.0
ʁ	r	1.0
ˈõ	ˈo	1.0
j	ʧ	0.061
k	k_w	0.131
m	-	0.131
n	n	0.951
t	n_t	0.41
v	-	0.071
ɐ	-	0.091
ɐ	a	0.121
ɲ	n	0.271
ˈɔ	ˈuː	0.31
ˈɛ	-	0.051
k	-	0.072
s	s	0.542
u	-	0.382
ð	-	0.082
ɡ	ɡ	0.972
ɨ	i_s	0.072
ɾ	-	0.182
ɾ	r	0.742
ʎ	-	0.402
ʎ	l	0.462
ʒ	-	0.302
ˈa	ˈa	0.532
ˈi	ˈi	0.852
β	v	0.682
ɨ	e	0.423
ɲ	ŋ	0.253
ʃ	-	0.063
ˈo	w_ˈɛ	0.063
ˈu	ˈu	0.63
ˈɐ	ˈe	0.163
ˈɔ	ˈoː	0.113
ˈɔ	w_ˈa	0.223
j	-	0.814
u	u	0.074
z	z	0.874
ɣ	ɡ	0.354
ˈĩ	ˈi_ŋ	0.764
ˈo	ˈɔ	0.14
ˈɐ̃	ˈa_n	0.274
ˈɐ̃	ˈa	0.54
ˈɛ	ˈɛ	0.054
l	j	0.075
s	ʧ	0.405
v	b	0.065
v	v	0.805
w	l	0.165
w	w	0.835
ʃ	s	0.925
ˈe	ˈeː	0.165
ˈu	ˈuː	0.095
ˈu	ˈo	0.275
ˈɛ	ˈiː	0.085
k	k	0.26
v	f	0.06
z	-	0.126
ɣ	-	0.646
ɲ	ɲ	0.476
ɾ	l	0.076
ˈĩ	ˈi	0.236
ˈo	ˈa	0.136
ˈɔ	ˈɛ	0.126
β	-	0.296
k	c	0.537
t	ʧ	0.057
u	i	0.47
ɐ	e	0.737
ɨ	-	0.367
ʎ	ˈɛ_l	0.137
ˈe	ˈe	0.617
ˈo	ˈuː	0.077
ˈɐ̃	ˈa_ŋ	0.107
ˈɔ	ˈo	0.17
ð	d	0.918
ɨ	i	0.138
ʒ	ʤ	0.698
ˈa	ˈaː	0.468
ˈe	-	0.058
ˈẽ	ˈi	0.988
ˈo	ˈoː	0.178
ˈɐ	-	0.148
ˈɔ	ˈe	0.058
d	d	0.989
j	j	0.109
l	l	0.909
m	m	0.869
t	t	0.529
ˈe	ˈiː	0.089
ˈi	ˈiː	0.109
ˈo	ˈo	0.369
ˈɐ	ˈa	0.69
ˈɐ̃	ˈo	0.079
ˈɛ	j_ˈɛ	0.809
