Lithuanian	Lithuanian	probability
ʒ	z	1.0
ɫ	ɫ	1.0
ɛʊ̯	ʉ	1.0
ɛɪ̯	i	1.0
ɛ_ŋʲ_kʲ	æ	1.0
ɐʊ̯	-	1.0
ɐɪ̯	ɪ	1.0
ɐ_s_#>	#>	1.0
æɪ̯	i	1.0
z	ɐ	1.0
uː	ɨ	1.0
uə̯	a	1.0
tʲ_ɪ	tʲ	1.0
tʲ	-	1.0
t_ɐ	ɨ	1.0
sʲ	-	1.0
s_#>	#>	1.0
r_̌	r	1.0
pʲ	pʲ	1.0
p	-	1.0
mʲ	mʲ	1.0
kʲ	ʨ	1.0
j	fʲ	1.0
iː	-	1.0
dʲ	dʲ	1.0
bʲ	bʲ	1.0
aʊ̯	o	1.0
aɪ̯	-	1.0
<#_ɡ	<#_ɡ	1.0
<#_tʲ	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_bʲ	<#	1.0
<#	<#_ʂ	1.0
#>	ˈ_#>	1.0
r	r	0.833
̂	ˈ	0.783
t	t	0.778
̌	ˈ	0.769
b	b	0.75
lʲ	lʲ	0.714
ˈ_#>	ˈ_#>	0.667
ʑ	z	0.667
ɡʲ	ʐ	0.667
ŋ	-	0.667
rʲ	rʲ	0.667
ˈ	ˈ	0.647
aː	o	0.636
ʃ	s	0.625
oː	a	0.625
nʲ	-	0.6
iə̯	e	0.6
s	j	0.588
ɪ	-	0.577
ʊ	-	0.571
m	m	0.556
d	d	0.545
k	k	0.538
ʊ_ˈ	ˈ	0.5
ʊ_ˈ	j	0.5
ɕ	sʲ	0.5
ɕ	s	0.5
v	v	0.5
n	n	0.5
n	-	0.5
vʲ	vʲ	0.455
eː	ə	0.455
d	d̥	0.455
ɡ	ɡ	0.444
m	-	0.444
ʊ	ɨ	0.429
æː	ɵ	0.429
nʲ	sʲ	0.4
iə̯	ɪ	0.4
ʃ	-	0.375
oː	-	0.375
vʲ	v	0.364
ˈ	-	0.353
ˈ_#>	#>	0.333
ʑ	zʲ	0.333
ɡʲ	-	0.333
ɛ	ɪ	0.333
ɛ	-	0.333
ŋ	ʐ̊	0.333
rʲ	r	0.333
k	-	0.308
æː	o	0.286
æː	-	0.286
lʲ	-	0.286
eː	e	0.273
eː	a	0.273
ɛ	e	0.25
v	vʲ	0.25
v	-	0.25
b	b̥	0.25
ɡ	ɡ̊	0.222
ɡ	ɡ_ə	0.222
t	-	0.222
ɐ	ə	0.22
ɐ	a	0.22
ɪ	o	0.192
vʲ	-	0.182
aː	e	0.182
aː	-	0.182
s	s	0.176
s	-	0.176
r	-	0.167
̌	-	0.154
k	t	0.154
̂	a_ˈ	0.13
ɐ	ɨ	0.122
ɐ	o	0.122
ɪ	ɪ	0.115
ɪ	e	0.115
ɡ	ɡʲ	0.111
ɐ	-	0.098
̂	-	0.087
ɛ	ɛ	0.083
̌	o_ˈ	0.077
ɐ	ɐ	0.073
ɐ	u	0.073
ɐ	j	0.073
s	xʲ	0.059
