Phone1	Phone2	Surprisal
aɪ̯	-	0.0
aʊ̯	o	0.0
aː	o	0.725
aː	-	2.171
aː	e	2.532
aː_̂	ɐ	0.0
b	b	0.0
bʲ	bʲ	0.0
d	d̥	0.899
d	d	1.109
dʲ	dʲ	0.474
dʲ	-	1.836
eː	e	1.398
eː	ə	1.536
eː	a	1.859
iə̯	e	0.559
iə̯	ɪ	1.638
iː	-	0.574
iː	ɨ	1.606
j	fʲ	0.0
k	k	0.679
k	-	1.413
kʲ	ʨ	0.0
lʲ	lʲ	0.926
lʲ	-	1.078
m	m	0.669
m	-	1.43
m_b	b̥	0.0
mʲ	m	0.886
mʲ	mʲ	1.123
n	n	0.923
n	-	1.081
n_d	d	0.0
nʲ	-	0.0
oː	a	0.752
oː	-	1.299
p	-	0.0
pʲ	pʲ	0.0
r	r	0.253
r	-	2.637
rʲ	rʲ	0.724
rʲ	r	1.342
s	j	0.544
s	s	2.529
s	-	2.827
s_ʊ	xʲ	0.0
sʲ	-	0.678
sʲ	x	1.415
t	t	0.29
t	-	2.457
t_ɐ	ɨ	0.0
tʲ	-	0.0
tʲ_ɪ	tʲ	0.0
uə̯	-	0.0
uː	ɨ	0.0
v	v	0.505
v	vʲ	1.759
vʲ	vʲ	1.193
vʲ	v	1.451
vʲ	-	2.346
z	ɐ	0.0
æɪ̯	i	0.0
æː	-	1.422
æː	ɵ	1.422
æː	o	1.98
ŋ	-	0.959
ŋ	ʐ̊	1.043
ɐ	ə	2.273
ɐ	o	2.429
ɐ	a	2.467
ɐ	u	2.625
ɐ	ɨ	3.132
ɐ	ɐ	3.69
ɐ	-	3.778
ɐ_s	j	0.0
ɐɪ̯	ɪ	0.0
ɐʊ̯	-	0.0
ɕ	sʲ	0.425
ɕ	s	1.972
ɛ	ɪ	1.151
ɛ	-	1.734
ɛ	e	2.377
ɛ	ɛ	4.142
ɛ_ŋʲ_kʲ	æ	0.0
ɛɪ̯	i	0.0
ɛʊ̯	ʉ	0.0
ɡ	ɡ	0.44
ɡ	ɡ̊	2.21
ɡ	ɡʲ	4.422
ɡʲ	ʐ	0.52
ɡʲ	-	1.724
ɪ	-	1.282
ɪ	o	2.357
ɪ	e	2.565
ɪ	ɵ	2.902
ɪ	tʲ	3.458
ɪ_ˈ	ə	0.0
ɫ	ɫ	0.0
ʃ	s	0.745
ʃ	x	1.309
ʊ	-	0.412
ʊ	ɨ	2.008
ʑ	z	0.967
ʑ	zʲ	1.033
ʒ	z	0.0
ˈ	ˈ	0.807
ˈ	-	1.222
̂	ˈ	0.485
̂	a_ˈ	2.392
̂	-	3.392
̌	ˈ	0.431
̌	-	2.369
̌	o_ˈ	3.954
