Alsatian	Alsatian	probability
ˈɔi̯	ˈɪ_nː	1.0
ˈœ	ˈøː	1.0
ˈøː	ˈuː	1.0
ˈøi̯	ˈʉː	1.0
ˈø	ˈoː	1.0
ˈæː	-	1.0
ˈyː	ˈʉː	1.0
ˈeː_#>	ˈøː_#>	1.0
ˈeː	-	1.0
ˈei̯	ˈeː	1.0
ˈaː	-	1.0
ˈai̯	ˈœ	1.0
ʃ_w	s	1.0
ʃ_t	s_t	1.0
ʁ_ʦ	ʈː	1.0
ʁ_ʃ	ʂ	1.0
ʁ_t	ɖ	1.0
ʁ_n	ɳ	1.0
ʁ_#>	#>	1.0
ə_ʁ	r	1.0
ŋ	ŋː	1.0
z̥_#>	s_#>	1.0
t_#>	#>	1.0
s_#>	#>	1.0
p͡f	pː	1.0
p	p	1.0
n_d̥	nː	1.0
n_#>	#>	1.0
k_ə	rː	1.0
h	h	1.0
f_#>	#>	1.0
eː	ɔ	1.0
e	m	1.0
b̥_#>	v_#>	1.0
<#_ʋ	<#	1.0
<#_ʁ	<#_r	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_ˈɛ	1.0
ʁ	r	0.927
b̥	b	0.895
ʋ	v	0.824
ɡ̊	ɡ	0.818
kʰ	kʰ	0.8
l	l	0.793
ˈəi̯	ˈeː	0.75
n	n	0.735
#>	a_#>	0.727
m	m	0.714
t	d	0.69
ə	a	0.689
ˈɒ	ˈa	0.667
ʦ	tʰ	0.667
k	ɡː	0.667
d̥	d	0.633
ˈo	ˈɵ	0.625
f	f	0.625
s	t	0.611
x	-	0.6
i	-	0.6
ˈʊː	ˈuː	0.583
ˈe	-	0.583
ˈoː	ˈoː	0.533
ˈæ	ˈɛː	0.5
ˈæ	ˈeː	0.5
j	ɡ	0.5
j	-	0.5
ˈi	ˈɪ	0.48
ˈɒː	ˈa	0.444
ʃ	k	0.444
ˈe	ˈɛ	0.417
x	ˈɔ	0.4
i	ŋ	0.4
ˈo	ˈuː	0.375
ˈiː	ˈiː	0.368
ˈɒː	ˈɑː	0.333
ˈoː	ˈøː	0.333
ʦ	tː	0.333
k	kː	0.333
m	mː	0.286
ʃ	ɧ	0.278
ʃ	s	0.278
ə	ɛ	0.267
d̥	tʰ	0.267
ˈu	ˈɵ	0.263
ˈʊː	ˈøː	0.25
ˈəi̯	-	0.25
ˈɒ	ˈɑː	0.238
ˈɒː	ˈɛː	0.222
ˈu	ˈʏ	0.211
ˈu	ˈʊ	0.211
ˈu	ˈɔ	0.211
ˈiː	ˈyː	0.211
ˈi	ˈɛ	0.2
ˈi	-	0.2
kʰ	ɕ	0.2
ɡ̊	j	0.182
ˈʊː	-	0.167
s	ɧ	0.167
f	v	0.167
t	tː	0.138
t	-	0.138
l	lː	0.138
#>	ɡ_#>	0.136
#>	k_#>	0.136
ˈoː	-	0.133
f	p	0.125
ˈi	ˈɵ	0.12
ʋ	-	0.118
n	-	0.118
s	s	0.111
s	-	0.111
ˈu	ˈœ	0.105
ˈiː	ˈʉː	0.105
ˈiː	ˈøː	0.105
ˈiː	j_ˈʉː	0.105
ˈiː	-	0.105
b̥	v	0.105
d̥	-	0.1
ˈɒ	-	0.095
n	nː	0.088
f	pː	0.083
ʁ	ˈœː_r	0.073
l	j	0.069
ʋ	jː	0.059
n	ʊ	0.059
